input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_,final_url
analyzerqa.cs.redislabs.com,Redis Enterprise Analyzer,200,1297,analyzerqa.cs.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-10-28T03:52:56Z,2022-10-28T03:52:56Z,"O=RedisLabs Enterprise Cluster, OU=Admin UI, CN=ip-172-16-0-53",ip-172-16-0-53,*.internal.analyzerqa.cs.redislabs.com,"O=RedisLabs Enterprise Cluster, OU=Admin UI, CN=ip-172-16-0-53",ip-172-16-0-53,RedisLabs Enterprise Cluster,94ad427c5ebed16dfc2b85831d6bed4a,33c4c4a52492e6197f87e267aea2d581c8cdf35ab70d9decd8d362364475d11c,True,ctls,analyzerqa.cs.redislabs.com,,443,https://analyzerqa.cs.redislabs.com:443,https,nginx/1.21.3,text/html,GET,18.206.149.25,/,-1721144186,18.206.149.25,Nginx:1.21.3,31,False,,True,True,,RedisLabs Enterprise Cluster,wss://analyzer.cs.redislabs.com,
api-dev.qa.redislabs.com,404 Not Found,404,280,api-dev.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,api-dev.qa.redislabs.com,incapsula,443,https://api-dev.qa.redislabs.com:443,https,,text/html,GET,45.60.123.1,/,2024580775,45.60.123.1,Imperva,8,False,True,,,,,,
api-stg.redislabs.com,,200,52,api-stg.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,api-stg.redislabs.com,,443,https://api-stg.redislabs.com:443,https,Apache,text/html,GET,54.225.105.0,/,-327920302,54.225.105.0,Java,6,False,,,,True,,,
api.qa.redislabs.com,404 Not Found,404,680,api.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,api.qa.redislabs.com,incapsula,443,https://api.qa.redislabs.com:443,https,,text/html,GET,45.60.123.1,/,-2114822784,45.60.123.1,Imperva,14,False,True,,,,,,
api.redislabs.com,HTTP Status 404 – Not Found,404,925,api.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T22:05:06Z,2023-08-27T22:05:06Z,CN=imperva.com,imperva.com,www.redis.io,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,aa42eb73fe39fde58a2db777956da098,1e8cd17e2bd3714096583d898df660c1a1ef096cfa837d25a9e64ed0f0f85086,True,ctls,api.redislabs.com,incapsula,443,https://api.redislabs.com:443,https,,text/html,GET,45.60.123.1,/,-887339075,45.60.123.1,Imperva,1,False,True,,,,,,
app--sm.k8s-dev.sm-qa.qa.redislabs.com,,404,60,app--sm.k8s-dev.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,,ctls,app--sm.k8s-dev.sm-qa.qa.redislabs.com,google,443,https://app--sm.k8s-dev.sm-qa.qa.redislabs.com:443,https,,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,HSTS,1,False,True,,True,True,Acme Co,,
app-dev.qa.redislabs.com,Redis Cloud Console,200,1592,app-dev.qa.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,app-dev.qa.redislabs.com,,443,https://app-dev.qa.redislabs.com:443,https,Apache/2.4.18 (Ubuntu),text/html,GET,54.225.145.161,/,864611937,54.225.145.161,Ubuntu,33,False,,,,,,,
app-gcp.redislabs.com,Redis Cloud Console,200,1805,app-gcp.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T22:05:06Z,2023-08-27T22:05:06Z,CN=imperva.com,imperva.com,www.redis.io,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,aa42eb73fe39fde58a2db777956da098,1e8cd17e2bd3714096583d898df660c1a1ef096cfa837d25a9e64ed0f0f85086,True,ctls,app-gcp.redislabs.com,incapsula,443,https://app-gcp.redislabs.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,45.60.123.1,/,864611937,45.60.123.1,Ubuntu,33,False,True,,,,,,
app-integration.qa.redislabs.com,Redis Cloud Console,200,1592,app-integration.qa.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,app-integration.qa.redislabs.com,,443,https://app-integration.qa.redislabs.com:443,https,nginx/1.14.0 (Ubuntu),text/html,GET,34.224.45.91,/,864611937,54.210.22.28,Ubuntu,33,False,,,,,,,
app-k8s-staging.qa.redislabs.com,Redis Cloud Console,200,6865,app-k8s-staging.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,True,ctls,app-k8s-staging.qa.redislabs.com,incapsula,443,https://app-k8s-staging.qa.redislabs.com:443,https,,text/html,GET,45.60.123.1,/,864611937,45.60.123.1,Imperva,1,False,True,,,,,,
