new,host,a,soa,ns,status_code,cname,has_internal_ips,internal_ips,mx,aaaa,cdn,cdn-name,txt,caa
[x],18taigame.artifactory.grammarly.io,"10.84.144.214, 10.84.168.212, 10.84.151.167, 10.84.176.75, 10.84.160.72, 10.84.183.95, 10.84.171.172, 10.84.187.114","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.144.214, 10.84.168.212, 10.84.151.167, 10.84.176.75, 10.84.160.72, 10.84.183.95, 10.84.171.172, 10.84.187.114",,,,,,
[x],21747277.artifactory.grammarly.io,"10.84.176.75, 10.84.160.72, 10.84.148.237, 10.84.171.172, 10.84.183.94, 10.84.185.200, 10.84.164.146, 10.84.151.167","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.176.75, 10.84.160.72, 10.84.148.237, 10.84.171.172, 10.84.183.94, 10.84.185.200, 10.84.164.146, 10.84.151.167",,,,,,
[x],access-manager.private.grammarly.com,"10.15.1.132, 10.15.3.56, 10.15.18.30, 10.15.26.141, 10.15.35.142, 10.15.39.105","ns-1762.awsdns-28.co.uk, awsdns-hostmaster.amazon.com","ns-433.awsdns-54.com, ns-912.awsdns-50.net, ns-1480.awsdns-57.org, ns-1762.awsdns-28.co.uk",NOERROR,,True,"10.15.1.132, 10.15.3.56, 10.15.18.30, 10.15.26.141, 10.15.35.142, 10.15.39.105",,,,,,
[x],account-internal.grammarly.io,"13.227.219.15, 13.227.219.4, 13.227.219.24, 13.227.219.65","ns-1503.awsdns-59.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,cloudfront,,
[x],account.grammarly.com,"3.217.204.102, 34.195.140.51, 3.95.83.77, 54.225.83.253, 35.168.200.141, 34.234.155.38, 52.7.120.75, 3.223.241.95","ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-183.awsdns-22.com, ns-849.awsdns-42.net, ns-1146.awsdns-15.org, ns-1623.awsdns-10.co.uk",NOERROR,,,,,,,,,
[x],admin.proofit.grammarly.io,"13.225.34.99, 13.225.34.59, 13.225.34.57, 13.225.34.126","ns-1843.awsdns-38.co.uk, awsdns-hostmaster.amazon.com","ns-1212.awsdns-23.org, ns-1843.awsdns-38.co.uk, ns-370.awsdns-46.com, ns-846.awsdns-41.net",NOERROR,,,,,,True,cloudfront,,
[x],adminka.grammarly.com,"10.64.42.224, 10.64.46.194","ns-1512.awsdns-61.org, awsdns-hostmaster.amazon.com","ns-1512.awsdns-61.org, ns-1624.awsdns-11.co.uk, ns-237.awsdns-29.com, ns-938.awsdns-53.net",NOERROR,,True,"10.64.42.224, 10.64.46.194",,,,,,
[x],anagram.grammarly.io,"3.213.160.199, 52.23.115.110, 52.6.250.8, 205.251.195.207","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com","ns-1698.awsdns-20.co.uk, ns-415.awsdns-51.com, ns-975.awsdns-57.net, ns-1371.awsdns-43.org",NOERROR,,,,,2600:9000:5303:cf00::1,,,,
[x],answers.grammarly.com,"35.175.40.32, 3.89.1.98, 34.198.175.104, 3.95.83.77, 34.199.128.77, 3.223.241.95, 3.85.67.177, 54.147.194.18","ns-1296.awsdns-34.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirus-13903netclass.q2cvgvu1r1-1-1365.artifactory.grammarly.io,"10.84.171.172, 10.84.183.94, 10.84.147.210, 10.84.154.102, 10.84.157.37, 10.84.164.146, 10.84.167.126, 10.84.168.212","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.171.172, 10.84.183.94, 10.84.147.210, 10.84.154.102, 10.84.157.37, 10.84.164.146, 10.84.167.126, 10.84.168.212",,,,,,
[x],antivirus-172minsk.artifactory-public.artifactory.grammarly.io,"10.84.151.167, 10.84.147.210, 10.84.148.237, 10.84.160.82, 10.84.164.146, 10.84.185.200, 10.84.144.214, 10.84.167.126","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.151.167, 10.84.147.210, 10.84.148.237, 10.84.160.82, 10.84.164.146, 10.84.185.200, 10.84.144.214, 10.84.167.126",,,,,,
[x],antivirus-ophthalmologypre04634.artifactory.grammarly.io,"10.84.154.102, 10.84.144.214, 10.84.175.240, 10.84.180.70, 10.84.168.212, 10.84.190.42, 10.84.160.72, 10.84.164.146","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.154.102, 10.84.144.214, 10.84.175.240, 10.84.180.70, 10.84.168.212, 10.84.190.42, 10.84.160.72, 10.84.164.146",,,,,,
[x],antivirusb5gz8vthm-3045thebeat.artifactory.grammarly.io,"10.84.151.167, 10.84.190.42, 10.84.154.102, 10.84.175.240, 10.84.171.172, 10.84.157.249, 10.84.176.75, 10.84.187.114","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.151.167, 10.84.190.42, 10.84.154.102, 10.84.175.240, 10.84.171.172, 10.84.157.249, 10.84.176.75, 10.84.187.114",,,,,,
[x],antiviruscredits-october17357.artifactory.grammarly.io,,"ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirusn91045snx.artifactory.grammarly.io,"10.84.175.240, 10.84.147.210, 10.84.191.93, 10.84.185.200, 10.84.157.249, 10.84.144.214, 10.84.160.72, 10.84.168.218","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.175.240, 10.84.147.210, 10.84.191.93, 10.84.185.200, 10.84.157.249, 10.84.144.214, 10.84.160.72, 10.84.168.218",,,,,,
[x],antiviruspre1747277-freedomken02-com-17854214.artifactory.grammarly.io,,"ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antiviruspre1747277.dmail1043hallelujahfm.artifactory.grammarly.io,"10.84.157.37, 10.84.187.114, 10.84.180.70, 10.84.148.237, 10.84.164.146, 10.84.168.212, 10.84.171.172, 10.84.156.74","ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",,NOERROR,,True,"10.84.157.37, 10.84.187.114, 10.84.180.70, 10.84.148.237, 10.84.164.146, 10.84.168.212, 10.84.171.172, 10.84.156.74",,,,,,
