input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_mismatched,tls_subject_org_
17883.mr.cryptowat.ch,Attention Required! | Cloudflare,403,4514,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,17883.mr.cryptowat.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T18:43:00Z,2023-06-22T19:40:59Z,CN=17883.mr.cryptowat.ch,17883.mr.cryptowat.ch,17883.mr.cryptowat.ch,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,0428a004ac05615b17109c299ea84935,8468db27045bd8d0b71eed9a37a3759a87d10476746fe898d6335a27e4b97f7f,ctls,17883.mr.cryptowat.ch,cloudflare,80,http://17883.mr.cryptowat.ch:80,http,cloudflare,text/html,GET,104.18.174.71,/,-1366263626,2606:4700::6812:af47,HSTS,94,False,True,,,https://17883.mr.cryptowat.ch/,,
admin-demo-testing-fg645s.cryptofacilities.com,podinfo-57d4f6c989-c6x4n,200,4911,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,admin-demo-testing-fg645s.cryptofacilities.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T16:17:33Z,2023-08-03T17:16:26Z,CN=admin-demo-testing-fg645s.cryptofacilities.com,admin-demo-testing-fg645s.cryptofacilities.com,admin-demo-testing-fg645s.cryptofacilities.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2aee1255db92727dc89e88974ea6b45f,fb2f22a460af5de6293d4e5d5a636b7af7db42a1b1f8e39e60dcf4dc80690c59,ctls,admin-demo-testing-fg645s.cryptofacilities.com,cloudflare,443,https://admin-demo-testing-fg645s.cryptofacilities.com:443,https,cloudflare,text/html,GET,104.19.146.5,/,-138391155,2606:4700::6813:9205,HSTS,153,False,True,,,,,
alpha.kraken.com,Sign in ・ Cloudflare Access,200,29659,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,squidtoshi.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,squidtoshi.cloudflareaccess.com,cloudflare,443,https://alpha.kraken.com:443,https,cloudflare,text/html,GET,104.16.215.191,/,149460861,104.16.211.191,HSTS,67,False,True,https:,True,https://squidtoshi.cloudflareaccess.com/cdn-cgi/access/login/alpha.kraken.com?kid=53af566915d0860adebb151be2db222b69de69c9e89db682ed5becb7f7d218cf&redirect_url=%2F&meta=eyJraWQiOiJjMzgyYmI5MWExMzI2NmQzNGMzZjkwMzk1YTMyYjZhNDMzYWMxMTVkMjMzMzdhMjcyYTQ2NTEzZDVlZWYxZGQwIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzcxNzE3Niwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjUzYWY1NjY5MTVkMDg2MGFkZWJiMTUxYmUyZGIyMjJiNjlkZTY5YzllODlkYjY4MmVkNWJlY2I3ZjdkMjE4Y2YiLCJob3N0bmFtZSI6ImFscGhhLmtyYWtlbi5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiNmU3YjY4NTc4NTQ2N2JiOTc4ZjQ0NGMxYmVhZWQxNjViNzZmYTRjYWM3NGFkNDNiNDQ0NTA0OGZjNjViMjUzYiIsIm5iZiI6MTY4MzcxNzE3NiwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.ZfmPxjeX4LuzyWM_9OfEtUZsujYa_XFZdpCDdqH5nuGexaGMK2sXOAqDUDitdTklcNTtlvwo_SQZPT5qrljt48836a1CMPJwTuruWDDIwKRv7bCm1aDKxkYUHPZC98jkg31e0auHnNBzzsm3z_O3YNFoDMbC5qBycnPDM5PT92oO-hTABjP_-7LfWcLhS8mujuDWcFR4nupvB5g2cCBi4SfEXnP3jOoJd-s49eTmUdMKW2v7DZDexuxNrFKNtSdJbvMvBeRYTDG1HBrL5TCOvgr8KC3ATLlZdwwXZQ2AmJL0AeVODvSo0FCGHrIRjsxFQR1hoN0C-wUpzhUzY0BB5Q,,
analytics.service.cryptowat.ch,,200,87,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,analytics.service.cryptowat.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T20:39:06Z,2023-06-22T21:38:04Z,CN=analytics.service.cryptowat.ch,analytics.service.cryptowat.ch,analytics.service.cryptowat.ch,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,665b56aa190aeb3e53f3504e26e74be7,6c85b3c4ce218ac17edf2cf9dc4c2c764fcc0ae2a3be401a7041edb3c3b3a3fb,ctls,analytics.service.cryptowat.ch,cloudflare,80,http://analytics.service.cryptowat.ch:80,http,cloudflare,application/json,GET,104.18.174.71,/,-429073533,2606:4700::6812:ae47,HSTS,1,False,True,,,https://analytics.service.cryptowat.ch/,,
api.cryptofacilities.com,,404,19,AS16509,AS16509,Unknown,18.200.0.0/14,api.cryptofacilities.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-08T00:00:00Z,2023-12-09T23:59:59Z,"CN=*.cryptofacilities.com, O=Payward\, Inc., L=San Francisco, ST=California, C=US",*.cryptofacilities.com,cryptofacilities.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9a12d693455203f36b5eb9eeea1238c0,aa66e9e4964885382225263adee71eeced57ee522ca331d63e6af9fa658c57a7,ctls,api.cryptofacilities.com,,443,https://api.cryptofacilities.com:443,https,,text/plain,GET,18.200.107.216,/,-138391155,34.242.194.81,,2,False,,,True,,,"Payward, Inc."
api.futures.kraken.com,,404,19,AS16509,AS16509,Unknown,34.240.0.0/12,api.futures.kraken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-17T00:00:00Z,2023-08-17T23:59:59Z,"CN=api.futures.kraken.com, O=Payward\, Inc., L=San Francisco, ST=California, C=US",api.futures.kraken.com,api.futures.kraken.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1c2a39a82582b0a25cf14c4875e2743c,622b850dcb4d614942fe955708c544a7d91bc10c869669a7aec7351951cad737,ctls,api.futures.kraken.com,,80,http://api.futures.kraken.com:80,http,,text/plain,GET,34.251.26.36,/,-138391155,34.242.194.81,,2,False,,,,https://api.futures.kraken.com/,,"Payward, Inc."
assets-dynamic.kraken.com,That is Not Allowed,403,37597,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,assets-dynamic.kraken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T00:10:46Z,2023-07-05T01:09:17Z,CN=assets-dynamic.kraken.com,assets-dynamic.kraken.com,assets-dynamic.kraken.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,1a1c5e875fffaaeee6b4dbf477b1fea5,3fdbf5a82223caea5dd1eb07274c0acc7bcddc590b101abe04ccf4a5361030bf,ctls,assets-dynamic.kraken.com,cloudflare,443,https://assets-dynamic.kraken.com:443,https,cloudflare,text/html,GET,104.16.213.191,/,481687143,104.16.214.191,HSTS,42,False,True,,,,,
beta-ws-frontend.kraken.com,,200,15,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,beta-ws-frontend.kraken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T19:41:27Z,2023-06-25T20:40:25Z,CN=beta-ws-frontend.kraken.com,beta-ws-frontend.kraken.com,beta-ws-frontend.kraken.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,398fb9fff1d2358d11f0d0da2bae474a,b0eeae68cfb6b7b03972adc84d58ab4248d7bf7558397327d4b1062e329df3d3,ctls,beta-ws-frontend.kraken.com,cloudflare,443,https://beta-ws-frontend.kraken.com:443,https,cloudflare,,GET,104.16.213.191,/,-1840324437,104.16.211.191,HSTS,1,False,True,,,,,
beta-ws.kraken.com,,200,15,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,beta-ws.kraken.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-06T00:00:21Z,2023-07-05T00:57:45Z,CN=beta-ws.kraken.com,beta-ws.kraken.com,beta-ws.kraken.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,786e6e7a398f4385ddb826e958a07102,e948cc43026a2cae868380458ffa9cc0796f2b1c30d73e6f0fa41955fb6011ac,ctls,beta-ws.kraken.com,cloudflare,80,http://beta-ws.kraken.com:80,http,cloudflare,,GET,104.16.214.191,/,-1840324437,104.16.211.191,HSTS,1,False,True,,,https://beta-ws.kraken.com/,,
blog.cfbenchmarks.com,CF Benchmarks,200,67822,AS54113,FASTLY,US,146.75.112.0/21,blog.cfbenchmarks.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-04T00:00:00Z,2023-08-02T23:59:59Z,CN=blog.cfbenchmarks.com,blog.cfbenchmarks.com,blog.cfbenchmarks.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,1075823ad82e54faccc2f1894ddc27c0,a6f0cedff729e10bf2481665e86806f96f7c19fe714737143669f1d3adfae61c,ctls,blog.cfbenchmarks.com,fastly,443,https://blog.cfbenchmarks.com:443,https,openresty,text/html,GET,146.75.119.7,/,-999769824,2a04:4e42:8e::775,Varnish,1321,False,True,,,,,
