new,host,a,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa,cname
[x],17883.mr.cryptowat.ch,"104.18.175.71, 104.18.174.71","adam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:ae47, 2606:4700::6812:af47",,,,,
[x],accounts-http.service.cryptowat.ch,"104.18.174.71, 104.18.175.71","adam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:af47, 2606:4700::6812:ae47",,,,,
[x],admin-demo-testing-fg645s.cryptofacilities.com,"104.19.146.5, 104.19.147.5","leia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],admin.stg.cryptowat.ch,"104.18.174.71, 104.18.175.71","adam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:ae47, 2606:4700::6812:af47",,,,,
[x],aika6aed.kraken.com,,"art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 -all,,,,
[x],alert.service.cryptowat.ch,,"adam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 -all,,,,
[x],alert2.service.cryptowat.ch,,"adam.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 -all,,,,
[x],alpha-api.kraken.com,"104.16.211.191, 104.16.215.191, 104.16.213.191, 104.16.212.191, 104.16.214.191","art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],alpha-nft.kraken.com,"104.16.211.191, 104.16.213.191, 104.16.212.191, 104.16.215.191, 104.16.214.191","art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],alpha.kraken.com,"104.16.211.191, 104.16.212.191, 104.16.213.191, 104.16.215.191, 104.16.214.191","art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],analytics-dev.kraken.com,,"art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 -all,,,,
[x],analytics.kraken.com,,"art.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,v=spf1 -all,,,,
