input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url,tls_self_signed
0.sdg.artifactory.int.ikarem.io,403 Forbidden,403,520,,0.sdg.artifactory.int.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-29T00:00:00Z,2023-11-28T23:59:59Z,CN=*.artifactory.int.ikarem.io,*.artifactory.int.ikarem.io,,closest.artifactory.int.ikarem.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c5f1074a48a6a674dc2d2047d90dbf2b,47597525fbb9236f449971a075209403f667fefedbfa5aa79df903ab184a933b,ctls,0.sdg.artifactory.int.ikarem.io,,443,https://0.sdg.artifactory.int.ikarem.io:443,https,awselb/2.0,text/html,GET,54.215.162.74,/,2095155567,54.215.169.169,,13,False,,True,True,,
1232mun-falltagomi.artifactory.prod.ikarem.io,403 Forbidden,403,520,,1232mun-falltagomi.artifactory.prod.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,1232mun-falltagomi.artifactory.prod.ikarem.io,,443,https://1232mun-falltagomi.artifactory.prod.ikarem.io:443,https,awselb/2.0,text/html,GET,54.215.76.237,/,2095155567,13.57.72.24,,13,False,,True,,,
13okta-self-okta-self-servicemun-falltagomi.artifactory.prod.ikarem.io,403 Forbidden,403,520,,13okta-self-okta-self-servicemun-falltagomi.artifactory.prod.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,13okta-self-okta-self-servicemun-falltagomi.artifactory.prod.ikarem.io,,443,https://13okta-self-okta-self-servicemun-falltagomi.artifactory.prod.ikarem.io:443,https,awselb/2.0,text/html,GET,54.219.117.229,/,2095155567,52.8.44.129,,13,False,,True,,,
17sonybravia.dev.network-auth.com,403 Forbidden,403,548,,,,,,,,,,,,,,,,,,,,,,80,http://17sonybravia.dev.network-auth.com:80,http,nginx,text/html,GET,52.52.168.165,/,586998417,52.52.168.165,Nginx,14,False,,,,,
18tqawww-harrisbank.dev.network-auth.com,403 Forbidden,403,548,,,,,,,,,,,,,,,,,,,,,,80,http://18tqawww-harrisbank.dev.network-auth.com:80,http,nginx,text/html,GET,52.52.168.165,/,586998417,52.52.168.165,Nginx,14,False,,,,,
19-tqavgn-harrisbank.dev.network-auth.com,403 Forbidden,403,548,,,,,,,,,,,,,,,,,,,,,,80,http://19-tqavgn-harrisbank.dev.network-auth.com:80,http,nginx,text/html,GET,52.52.168.165,/,586998417,52.52.168.165,Nginx,14,False,,,,,
19bitint.cisco.com,Guide UI,200,628,jwpltx.com,19bitint.cisco.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2019-07-30T18:38:18Z,2021-07-30T18:48:00Z,"CN=19bitint.cisco.com, O=Cisco Systems\, Inc., L=San Jose, ST=CA, C=US",19bitint.cisco.com,"Cisco Systems, Inc.",19bitint.cisco.com,"CN=HydrantID SSL ICA G2, O=HydrantID (Avalanche Cloud Corporation), C=US",HydrantID SSL ICA G2,HydrantID (Avalanche Cloud Corporation),bebe5653356ad007b1c9ad5772939f6c,ff83c6f3298ae5e41a569b2ddabc78992d9fc1c3f82d72e6bddd3115c1c3bd14,ctls,19bitint.cisco.com,google,443,https://19bitint.cisco.com:443,https,Apache,text/html,GET,35.241.56.233,/,899457975,35.241.56.233,HTTP/3,17,False,True,,,,
1calendar-fra-pro--coinbase-w3ica.artifactory.ikarem.io,403 Forbidden,403,118,,1calendar-fra-pro--coinbase-w3ica.artifactory.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-29T23:59:59Z,CN=*.artifactory.prod.ikarem.io,*.artifactory.prod.ikarem.io,,*.artifactory.ikarem.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24c1ce28b02a81e73a8a3bfe6b296106,fb9ac06a92da521a60b87f7dda9217b60de63c2c8d69e9fa08b7064e6f61b0bf,ctls,1calendar-fra-pro--coinbase-w3ica.artifactory.ikarem.io,,443,https://1calendar-fra-pro--coinbase-w3ica.artifactory.ikarem.io:443,https,awselb/2.0,text/html,GET,13.57.72.24,/,1344368402,54.177.229.29,,7,False,,True,,,
315d0.sdg.artifactory.int.ikarem.io,403 Forbidden,403,118,,315d0.sdg.artifactory.int.ikarem.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-29T00:00:00Z,2023-11-28T23:59:59Z,CN=*.artifactory.int.ikarem.io,*.artifactory.int.ikarem.io,,closest.artifactory.int.ikarem.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c5f1074a48a6a674dc2d2047d90dbf2b,47597525fbb9236f449971a075209403f667fefedbfa5aa79df903ab184a933b,ctls,315d0.sdg.artifactory.int.ikarem.io,,443,https://315d0.sdg.artifactory.int.ikarem.io:443,https,awselb/2.0,text/html,GET,54.215.162.74,/,1344368402,54.215.169.169,,7,False,,True,True,,
3m-bci.cisco.com,,200,5379,,3m-bci.cisco.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-22T08:30:46Z,2023-09-22T08:29:46Z,"C=US, ST=California, L=San Jose, O=Cisco Systems Inc., CN=bci-c3.cisco.com",bci-c3.cisco.com,Cisco Systems Inc.,charter-spectrum-enterprise-bci.cisco.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,008b1d16be3c4081c367aa043ed269e9,3cbd04100849b3ca8b214dc8ded3f35d35a9fca874a61ac5356d6dc54f75dab9,ctls,3m-bci.cisco.com,,443,https://3m-bci.cisco.com:443,https,Splunkd,text/html,GET,173.36.109.209,/,-316785925,173.36.109.209,Splunkd,1,False,,,,https://3m-bci.cisco.com/en-US/account/login?return_to=%2Fen-US%2F,
