input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,final_url,cdn,tls_expired,tls_mismatched,csp_domains_,tls_self_signed,tls_emails_,location
covidsurvey.mtn.co.ug,MTN Covid tool,200,108,covidsurvey.mtn.co.ug,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-31T00:00:00Z,2023-11-11T23:59:59Z,"CN=*.mtn.co.ug, O=MTN (U) LTD, L=Kampala, C=UG",*.mtn.co.ug,MTN (U) LTD,mtn.co.ug,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,3725344437685f8839a2a1d27ff7b654,72dedbb6084690afd00c0a0b3d8d3e75a2b5091b8f65a2e20ff1fc2943a8dc8f,True,ctls,covidsurvey.mtn.co.ug,443,https://covidsurvey.mtn.co.ug:443,https,text/html,GET,212.88.125.71,/,-1607644090,212.88.125.71,HSTS,4,False,,,,,,,,,,
cpanel.mtngbissau.com,Login do cPanel,200,36957,cpanel.mtngbissau.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-05-30T23:59:59Z,CN=mtngbissau.com,mtngbissau.com,,www.mtngbissau.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",26f15cabdfc33a4e7e7bce3826363ea6,67de9443ae15c8212299ce95080f277ed5ce123498d108d5806b30e11262c55d,,ctls,cpanel.mtngbissau.com,443,https://cpanel.mtngbissau.com:443,https,text/html,GET,162.240.64.60,/,1778727030,162.240.64.60,cPanel,293,False,,Apache,,,,,,,,
cpcalendars.mtngbissau.com,503 Service Unavailable,503,428,cpcalendars.mtngbissau.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-05-30T23:59:59Z,CN=mtngbissau.com,mtngbissau.com,,www.mtngbissau.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",26f15cabdfc33a4e7e7bce3826363ea6,67de9443ae15c8212299ce95080f277ed5ce123498d108d5806b30e11262c55d,,ctls,cpcalendars.mtngbissau.com,443,https://cpcalendars.mtngbissau.com:443,https,text/html,GET,162.240.64.60,/,-991427891,162.240.64.60,Apache,12,False,,Apache,,,,,,,,
cti.uc.mtn.com,HTTP Status 404 – Not Found,404,431,w4b.uc.mtn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-07T00:00:00Z,2023-11-22T23:59:59Z,"CN=*.uc.mtn.com, O=MTN Group Management Services (Pty) Ltd, L=ROODEPOORT, ST=Gauteng, C=ZA",*.uc.mtn.com,MTN Group Management Services (Pty) Ltd,*.uc.mtn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,bb4b56a0ec8e9a9b00dfd7751cb8318a,0fda5d64181661fe0af1746827366f065413a38a0972c324b908490104632bf6,True,ctls,w4b.uc.mtn.com,443,https://cti.uc.mtn.com:443,https,text/html,GET,196.30.50.131,/,-230353730,196.30.50.3,,1,False,,HTTP Server,https://w4b.uc.mtn.com/,,,,,,,
ctsagent.mtn.com.gh,Agent Portal,200,907,ctsagent.mtn.com.gh,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-23T08:59:38Z,2024-03-08T08:59:38Z,"CN=*.mtn.com.gh, O=MTN Ghana, L=Accra, C=GH",*.mtn.com.gh,MTN Ghana,mtn.com.gh,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c35cfe2dcb71a2e4bea9b4e929364a9a,da6d29f2664eff70901e4e30d040e5e048612cd28ebc4a73550f22980f36d21f,True,ctls,ctsagent.mtn.com.gh,443,https://ctsagent.mtn.com.gh:443,https,text/html,GET,196.201.56.64,/,-1840324437,196.201.56.64,HSTS,30,False,,xxxx,https://ctsagent.mtn.com.gh/agentportal/agentportal/Application.html,,,,,,,
customerregistration.mtn.co.ug,Page not found,404,686,customerregistration.mtn.co.ug,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T00:00:00Z,2023-11-11T23:59:59Z,"CN=*.mtn.co.ug, O=MTN (U) LTD, L=Kampala, C=UG",*.mtn.co.ug,MTN (U) LTD,mtn.co.ug,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,3725344437685f8839a2a1d27ff7b654,72dedbb6084690afd00c0a0b3d8d3e75a2b5091b8f65a2e20ff1fc2943a8dc8f,True,ctls,customerregistration.mtn.co.ug,443,https://customerregistration.mtn.co.ug:443,https,text/html,GET,212.88.125.38,/,-1946725559,212.88.125.38,Java,23,False,,,,,,,,,,
customerregistration.mtnzambia.co.zm,Page not found,404,686,customerregistration.mtnzambia.co.zm,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2023-04-25T00:00:00Z,2024-04-25T23:59:59Z,"CN=*.mtnzambia.co.zm, O=MTN (ZAMBIA) LIMITED, L=Lusaka, C=ZM",*.mtnzambia.co.zm,MTN (ZAMBIA) LIMITED,mtnzambia.co.zm,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8e9b5cc225118963abfc1b43f6b16149,57534422c647657101a3f056459e656fa06664929051ec4cbf357aea4792f169,True,ctls,customerregistration.mtnzambia.co.zm,443,https://customerregistration.mtnzambia.co.zm:443,https,text/html,GET,41.223.116.24,/,-1946725559,41.223.116.24,Java,23,False,,Apache-Coyote/1.1,,,,,,,,
dailydeals.mtn.co.za,DailyDeals - Home,200,11597,dailydeals.mtn.co.za,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T13:44:17Z,2023-06-16T13:44:16Z,CN=dailydeals.mtn.co.za,dailydeals.mtn.co.za,,dailydeals.mtn.co.za,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e42f24aac659fa2038033453c931c0f5,b6eda74fc11c01620330b070281840ad3952f128c1388e6239db2e4848acaff0,,ctls,dailydeals.mtn.co.za,443,https://dailydeals.mtn.co.za:443,https,text/html,GET,54.78.217.137,/,-1840324437,54.78.217.137,Nginx,180,False,,nginx,,,,,,,,
dep.mtn.co.za,,200,1545,dep.mtn.co.za,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-27T23:59:59Z,CN=dep.mtn.co.za,dep.mtn.co.za,,dep.mtn.co.za,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fc7a410b6cb31ad68cb5e94f4fc66b5f,83444281e89e05439609d58fa5e04b6c8ab1dca43d95e8553d99bac8fd1caa8b,,ctls,dep.mtn.co.za,443,https://dep.mtn.co.za:443,https,text/html,GET,52.49.200.61,/,1215725389,34.253.28.237,Nginx,1,False,,nginx,,,,,https://bc-config-api.internal.dmdep.co.za,,,
dev.auth.mtn.co.za,MTN South Africa,200,2655,www.mtn.co.za,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.mtn.co.za, O=Mobile Telephone Networks (Pty) Ltd, L=Johannesburg, ST=Gauteng, C=ZA",*.mtn.co.za,Mobile Telephone Networks (Pty) Ltd,*.mtn.co.za,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b893b810a60082ec575777216de2b77a,c2513f5c4a5c53389a1396f1f85218efb35695bda14ca9c2be68983658705eba,True,ctls,www.mtn.co.za,443,https://dev.auth.mtn.co.za:443,https,text/html,GET,104.18.15.119,/,-738705486,2606:4700::6812:f77,HSTS,67,False,cloudflare,,https://www.mtn.co.za/home/,True,,,https:,,,
dev.mtn.com,,404,164,dev.mtn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2021-01-14T00:00:00Z,2022-01-31T23:59:59Z,CN=api.mtn.com,api.mtn.com,,dev.mtn.com,"CN=GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1, O=DigiCert Inc, C=US",GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1,DigiCert Inc,2722081d9fd3b36d1fcb5509ef12cf3e,5694ca6504793c9873c5c3937b909c78e79b22c74c15528fc004fcc010c435c5,,ctls,dev.mtn.com,443,https://dev.mtn.com:443,https,application/json,GET,35.240.103.94,/,1327930641,35.240.103.94,HSTS,1,False,google,,,True,True,,,,,
dev.onlinecms.mtn.co.za,Log in | MTN South Africa,200,61416,dev.onlinecms.mtn.co.za,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-04-21T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",821c9a8e5fe4c993a3607a2b7e1d1759,a1c35e2684e2b6a021154f946075eb98ff91b268dc99e2e66ef5cbaf056bf52a,,ctls,dev.onlinecms.mtn.co.za,443,https://dev.onlinecms.mtn.co.za:443,https,text/html,GET,104.18.9.218,/,997500400,2606:4700::6812:8da,Varnish,57,False,cloudflare,cloudflare,,True,,,,,,
devauth.mtnonline.com,Home - MTN Nigeria,200,140899,www.mtn.ng,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.mtn.ng, O=MTN NIGERIA COMMUNICATIONS PLC, L=Lagos, C=NG",*.mtn.ng,MTN NIGERIA COMMUNICATIONS PLC,mtn.ng,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b623e86a55df209aa3e6e2f636e462cc,68d8d29f733409809de39ad47a52834f2f7e330c1f71e5fa98cea9b34c2071c9,True,ctls,www.mtn.ng,443,https://devauth.mtnonline.com:443,https,text/html,GET,13.107.253.45,/,-738705486,2620:1ec:4f:1::45,Yoast SEO:18.2,2745,False,,,https://www.mtn.ng/,,,,,,,
developers.my.mtn.com,,404,,,,,,,,,,,,,,,,,,,,,80,http://developers.my.mtn.com:80,http,,GET,40.127.10.74,/,-1840324437,40.127.10.74,,1,False,azure,istio-envoy,,True,,,,,,
dex-authenticator.sandbox-infra.sandbox.westeurope.api.mtn.com,dex,200,3729,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T06:39:34Z,2023-07-16T06:39:33Z,CN=dex.sandbox-infra.sandbox.westeurope.api.mtn.com,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c2058fac576384d535affc4e3cdd890e,a2725cefd4283c84dbba8403070b8242db1747f26f80474fa178dac3e4b5fe5b,,ctls,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,443,https://dex-authenticator.sandbox-infra.sandbox.westeurope.api.mtn.com:443,https,text/html,GET,20.87.218.73,/,-1230128723,20.87.218.73,,44,False,,,https://dex.sandbox-infra.sandbox.westeurope.api.mtn.com/auth?access_type=offline&client_id=sandbox-infra&redirect_uri=https%3A%2F%2Fdex-authenticator.sandbox-infra.sandbox.westeurope.api.mtn.com%2Fcallback%2Fsandbox-infra&response_type=code&scope=openid+profile+email+offline_access+groups&state=Vgn2lp5QnymFtLntKX5dM8k773PwcM87T4hQtiESC1q8wkUBgw5D3kH0r5qJ,,,,,,,
dex.sandbox-infra.sandbox.westeurope.api.mtn.com,,404,19,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T06:39:34Z,2023-07-16T06:39:33Z,CN=dex.sandbox-infra.sandbox.westeurope.api.mtn.com,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c2058fac576384d535affc4e3cdd890e,a2725cefd4283c84dbba8403070b8242db1747f26f80474fa178dac3e4b5fe5b,,ctls,dex.sandbox-infra.sandbox.westeurope.api.mtn.com,443,https://dex.sandbox-infra.sandbox.westeurope.api.mtn.com:443,https,text/plain,GET,20.87.218.188,/,-138391155,20.87.218.188,,2,False,,,,,,,,,,
dgames.play.mtn.co.za,D Games Portal,200,19816,dgames.play.mtn.co.za,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-14T00:00:00Z,2023-10-17T23:59:59Z,"CN=dgames.play.mtn.co.za, O=Mobile Telephone Networks (Pty) Ltd, L=Johannesburg, ST=Gauteng, C=ZA",dgames.play.mtn.co.za,Mobile Telephone Networks (Pty) Ltd,dgames.play.mtn.co.za,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b73c48fc85e5ef5bea50be367dbb038f,e02bed89c1dd1faf223e738dc56b8f219eccc4cb21830b7325d29c8d3f2066e1,,ctls,dgames.play.mtn.co.za,443,https://dgames.play.mtn.co.za:443,https,text/html,GET,107.23.123.228,/,1631801191,107.23.123.228,jQuery,281,False,,Microsoft-IIS/10.0,https://dgames.play.mtn.co.za/English/Pinflow.aspx?ctg=DCLUBMTNZA,,,,,,,
ditrace.mtn.com.af,Login Page Itrace Application,200,6716,ditrace.mtn.com.af,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-05T00:00:00Z,2023-12-06T23:59:59Z,"CN=*.mtn.com.af, O=MTN Afghanistan, L=Kabul, C=AF",*.mtn.com.af,MTN Afghanistan,mtn.com.af,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eecee9fdf88abab2122f10ee2ce5a4fc,dae7d6af379dbe3ccb9be64a633ad5fc45552d345e82bcebf1a8f93432d3ba9e,True,ctls,ditrace.mtn.com.af,443,https://ditrace.mtn.com.af:443,https,text/html,GET,103.30.137.31,/,1772087922,103.30.137.31,Microsoft ASP.NET,136,False,,,,,,,,,,
dlsc-gamerplus.mtn.co.za,,404,14,,,,,,,,,,,,,,,,,,,,80,http://dlsc-gamerplus.mtn.co.za:80,http,text/html,GET,196.11.244.103,/,-1512895396,196.11.244.103,Java,2,False,,,,,,,,,,
dm.ims.mtn.co.ug,,403,,dm.ims.mtn.co.ug,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2016-05-18T05:55:33Z,2026-05-16T05:55:33Z,"CN=www.workssys.com, OU=Works_Systems, O=Works_Systems, L=San Jose, ST=California, C=US",www.workssys.com,Works_Systems,,"CN=Works_Systems_CA, OU=Works_Systems, O=Works_Systems, L=San Jose, ST=California, C=US",Works_Systems_CA,Works_Systems,b5ff52b1c1d77811c9583dfdef5cdbfc,81aa50897331ce0f08270a366e0bfc07b2b80bb0091aa399215661bba2fc53e3,,ctls,dm.ims.mtn.co.ug,443,https://dm.ims.mtn.co.ug:443,https,text/xml,GET,41.210.160.18,/,-1840324437,41.210.160.18,,1,False,,,,,,True,,True,,
dms.uc.mtn.com,Request Rejected,200,246,dms.uc.mtn.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-06-01T00:00:00Z,2023-06-01T23:59:59Z,"CN=xsp.uc.mtn.com, O=MTN Group Management Services (Pty) Ltd, L=ROODEPOORT, ST=Gauteng, C=ZA",xsp.uc.mtn.com,MTN Group Management Services (Pty) Ltd,xsi.uc.mtn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,ff448b8286eeeacfa8eaef1d393028fd,e0760698021f0dc79ec9323efddddd4fdadbe076b461ff1a28c8640355cbd833,,ctls,dms.uc.mtn.com,443,https://dms.uc.mtn.com:443,https,text/html,GET,196.30.50.4,/,-525041285,196.30.50.132,,1,False,,,,,,,,,,
dns2.dmz.mtn.co.za,,404,,,,,,,,,,,,,,,,,,,,,80,http://dns2.dmz.mtn.co.za:80,http,,GET,196.10.101.20,/,-1840324437,196.10.101.20,Windows Server,1,False,,Microsoft-IIS/8.5,,,,,,,,
dns4.dmz.mtn.co.za,,404,,,,,,,,,,,,,,,,,,,,,80,http://dns4.dmz.mtn.co.za:80,http,,GET,196.10.101.20,/,-1840324437,196.10.101.20,Windows Server,1,False,,Microsoft-IIS/8.5,,,,,,,,
doi.dep.mtn.co.za,,200,9,,,,,,,,,,,,,,,,,,,,443,https://doi.dep.mtn.co.za:443,https,text/html,GET,54.246.197.15,/,98457563,54.246.197.15,,1,False,,,http://doi.mtndep.co.za/,,,,,,,
downloadgame.mtn.co.ug,,404,14,,,,,,,,,,,,,,,,,,,,80,http://downloadgame.mtn.co.ug:80,http,text/html,GET,197.155.65.36,/,-1512895396,197.155.65.36,Java,2,False,,WebServer,,,,,,,,
e-bus-uat.mtn.co.za,Citrix Gateway,200,42646,e-bus-uat.mtn.co.za,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.mtn.co.za, O=Mobile Telephone Networks (Pty) Ltd, L=Johannesburg, ST=Gauteng, C=ZA",*.mtn.co.za,Mobile Telephone Networks (Pty) Ltd,*.mtn.co.za,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b893b810a60082ec575777216de2b77a,c2513f5c4a5c53389a1396f1f85218efb35695bda14ca9c2be68983658705eba,True,ctls,e-bus-uat.mtn.co.za,443,https://e-bus-uat.mtn.co.za:443,https,text/html,GET,196.13.230.169,/,12023395,196.13.230.169,Apache,718,False,,Apache,https://e-bus-uat.mtn.co.za/logon/LogonPoint/index.html,,,,,,,
e-business-hub.mtn.co.za,E-Business Suite Home Page Redirect,200,1229,e-business-hub.mtn.co.za,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.mtn.co.za, O=Mobile Telephone Networks (Pty) Ltd, L=Johannesburg, ST=Gauteng, C=ZA",*.mtn.co.za,Mobile Telephone Networks (Pty) Ltd,*.mtn.co.za,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b893b810a60082ec575777216de2b77a,c2513f5c4a5c53389a1396f1f85218efb35695bda14ca9c2be68983658705eba,True,ctls,e-business-hub.mtn.co.za,443,https://e-business-hub.mtn.co.za:443,https,text/html,GET,196.13.230.132,/,375133320,196.13.230.132,,32,False,,,,,,,URL=https://e-business-hub.mtn.co.za:443/OA_HTML/AppsLogin,,,
e.mtnonline.com,Sign In,200,211013,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,True,ctls,sso.secureserver.net,443,https://e.mtnonline.com:443,https,text/html,GET,173.201.193.148,/,1456895215,173.201.193.133,React,97,False,,,https://sso.secureserver.net/login?app=email&realm=pass,,,,,,,
ecvmbusiness.mtn.co.za,404 - Not found or no permission to access,404,1330,ecvmbusiness.mtn.co.za,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-31T09:01:58Z,2023-06-29T09:01:57Z,CN=tracking.mtn.co.za,tracking.mtn.co.za,,tracking.mtn.co.za,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c7ca6762cd4d3150fa0f6398075e0429,6ca28b10632d0b3cb9572e001f9e0fa90db4b167c04223c7a19a9dd4c41d3ef6,,ctls,ecvmbusiness.mtn.co.za,80,http://ecvmbusiness.mtn.co.za:80,http,text/html,GET,192.29.200.201,/,-1270699277,192.29.200.201,HSTS,33,False,oracle,,https://ecvmbusiness.mtn.co.za/,True,,,,,,
edgerelay.mtn.co.rw,403 - Forbidden: Access is denied.,403,1233,edgerelay.mtn.co.rw,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-25T00:00:00Z,2024-03-29T23:59:59Z,"CN=edgerelay.mtn.co.rw, O=MTN RwandaCell PLC, L=Kigali, C=RW",edgerelay.mtn.co.rw,MTN RwandaCell PLC,edgerelay.mtn.co.rw,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,93107dd56a8007c3604936cc82db809e,99e0af6eb68880beb09c82ba5acb09d0a21659db7f610e2549eb2946a00066f3,,ctls,edgerelay.mtn.co.rw,443,https://edgerelay.mtn.co.rw:443,https,text/html,GET,41.186.79.149,/,1631801191,41.186.79.149,Windows Server,30,False,,Microsoft-IIS/10.0,,,,,,,,
edp.mtn.co.za,Citrix Gateway,200,42646,edp.mtn.co.za,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=*.mtn.co.za, O=Mobile Telephone Networks (Pty) Ltd, L=Johannesburg, ST=Gauteng, C=ZA",*.mtn.co.za,Mobile Telephone Networks (Pty) Ltd,*.mtn.co.za,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b893b810a60082ec575777216de2b77a,c2513f5c4a5c53389a1396f1f85218efb35695bda14ca9c2be68983658705eba,True,ctls,edp.mtn.co.za,443,https://edp.mtn.co.za:443,https,text/html,GET,196.13.230.169,/,12023395,196.13.230.169,Apache,718,False,,Apache,https://edp.mtn.co.za/logon/LogonPoint/index.html,,,,,,,
email.mtnonline.com,Sign In,200,211013,sso.secureserver.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-04T01:30:11Z,2023-11-05T01:30:11Z,"CN=*.secureserver.net, O=Special Domain Services\, LLC, L=Tempe, ST=Arizona, C=US",*.secureserver.net,"Special Domain Services, LLC",secureserver.net,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",75a208eec6aede64ae63b10a7697d857,2633df2f68a7928c16a85e52956a6055d0e6b36d9c33effef3c42234a2fdaa87,True,ctls,sso.secureserver.net,443,https://email.mtnonline.com:443,https,text/html,GET,173.201.193.5,/,-38189888,173.201.193.148,React,97,False,,,https://sso.secureserver.net/login?app=email&realm=pass,,,,,,,
engage1.mtnonline.com,,200,68,,,,,,,,,,,,,,,,,,,,80,http://engage1.mtnonline.com:80,http,,GET,91.241.94.80,/,,91.241.94.80,F5 BigIP,1,False,,BigIP,,,,,,,,
engage2.mtnonline.com,MTN NG,200,121778,,,,,,,,,,,,,,,,,,,,443,https://engage2.mtnonline.com:443,https,text/html,GET,52.17.189.60,/,-1840324437,54.72.47.234,jQuery,4021,False,,nginx,http://engage2.mtn.ng/nc/?time_stamp=1683811109356,,,,,,,
enterpriseregistration.mtn.com,Service,404,1565,enterpriseregistration.mtn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.mtn.com,443,https://enterpriseregistration.mtn.com:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,azure,,,True,,True,,,,
enterpriseregistration.mtn.com.af,Service,404,1565,enterpriseregistration.mtn.com.af,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,True,ctls,enterpriseregistration.mtn.com.af,443,https://enterpriseregistration.mtn.com.af:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,azure,,,True,,True,,,,
eprocurement.mtnonline.com,myMTN,200,2862,eprocurement.mtnonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-19T00:00:00Z,2023-08-22T23:59:59Z,"CN=*.mymtn.com.ng, O=MTN NIGERIA COMMUNICATIONS PLC, L=Lagos, C=NG",*.mymtn.com.ng,MTN NIGERIA COMMUNICATIONS PLC,mymtn.com.ng,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6ba58423094fcf47b30d1c0b6d808510,776db1f7450318a70e05891bdf693e0f8e11dc52eee3a86d665f0d3a2f0bd223,True,ctls,eprocurement.mtnonline.com,443,https://eprocurement.mtnonline.com:443,https,text/html,GET,41.220.77.185,/,117301011,41.220.77.185,HSTS,57,False,,,,,,True,https://mtf.gateway.mastercard.com/,,,
