input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_self_signed,final_url,csp_domains_,tls_expired
abuse.mailing.checkpoint.com,Error 404 - not found,404,6396,app.getresponse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T16:30:20Z,2024-04-11T10:53:03Z,CN=*.getresponse.com,*.getresponse.com,getresponse.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a274e111d959744c14f88936df1ad49a,384c93cd4abecc072db829dc545a18f9d762f8e8fe77de8f7dd662b01eca0749,True,ctls,app.getresponse.com,,80,http://abuse.mailing.checkpoint.com:80,http,,text/html,GET,104.160.73.63,/,-896608700,104.160.73.63,,49,False,,,,,https://app.getresponse.com/error404.html,,
accounts.checkpoint.com,ERROR: The request could not be satisfied,403,919,accounts.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts.checkpoint.com,cloudfront,443,https://accounts.checkpoint.com:443,https,CloudFront,text/html,GET,18.66.97.102,/,-1803526521,18.66.97.26,Amazon Web Services,20,False,True,,,,,,
accounts.g04.checkpoint.com,CA Access Gateway - Error Report,500,628,accounts.g04.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,accounts.g04.checkpoint.com,,443,https://accounts.g04.checkpoint.com:443,https,Apache,text/html,GET,194.29.39.47,/,-1139386442,194.29.39.47,Apache,1,False,,,True,,,,
agony-meter-stg.checkpoint.com,403 Forbidden,403,548,agony-meter-stg.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T17:27:26Z,2023-06-13T17:27:25Z,CN=agony-meter-stg.checkpoint.com,agony-meter-stg.checkpoint.com,agony-meter-stg.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c96c3eb87d1edd78239aeb12b5e3d106,0683de3dcaa448b87b7bb49a07e89bd0f15c7a86e1d6ee533df50d0ab0db2f50,,ctls,agony-meter-stg.checkpoint.com,,443,https://agony-meter-stg.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.20,/,586998417,141.193.213.21,HTTP/3,14,False,,,,,,,
ap-southeast-2.g04.checkpoint.com,404 File Not Found,404,204,ap-southeast-2.g04.checkpoint.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-01T09:21:55Z,2024-05-01T09:21:55Z,"CN=aws-sydney-be-r81-cluster-tgw VPN Certificate, O=natasha..8ye75g",aws-sydney-be-r81-cluster-tgw VPN Certificate,,O=natasha..8ye75g,,natasha..8ye75g,8af65a594c152aa85992e56ad09e1f38,7c121825eb7db385c7193df9295a2f838e37e6ccc5fed6f1892c410fa99b2b6e,,ctls,ap-southeast-2.g04.checkpoint.com,,80,http://ap-southeast-2.g04.checkpoint.com:80,http,Check Point SVN foundation,text/html,GET,3.105.14.157,/,-993165615,3.105.14.157,HSTS,13,False,,natasha..8ye75g,True,True,https://ap-southeast-2.g04.checkpoint.com/,,
appwrapping.checkpoint.com,Wrapping Portal,200,3771,appwrapping.checkpoint.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-08T00:00:00Z,2023-07-07T23:59:59Z,"CN=appwrapping.checkpoint.com, O=Check Point Software Technologies Inc., L=San Carlos, ST=California, C=US",appwrapping.checkpoint.com,appwrapping.checkpoint.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c80b15b0cefff2260fee6e273393abc6,206165231fe6e9c9288819aee82fb7340a32d8a6bc4634b79a43a4c86abf3da4,,ctls,appwrapping.checkpoint.com,,443,https://appwrapping.checkpoint.com:443,https,,text/html,GET,54.160.82.151,/,116323821,54.160.80.197,HSTS,15,False,,Check Point Software Technologies Inc.,,,,,
assessment.checkpoint.com,CP Harmony – Harmony: 360° User Protection Against All Attack Vectors,200,96221,assessment.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T03:24:46Z,2023-08-01T03:24:45Z,CN=assessment.checkpoint.com,assessment.checkpoint.com,assessment.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e9ba9b86e7625015b6404d5b7d8bab87,fc8f1b8c577ba9c1ea3e7b5b48d62d819f0208b61e6e5235c0d9a8e2247fd481,,ctls,assessment.checkpoint.com,,443,https://assessment.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,WordPress,188,False,,,,,,,
b2bprod.checkpoint.com,403 Forbidden,403,146,b2bprod.checkpoint.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,b2bprod.checkpoint.com,,443,https://b2bprod.checkpoint.com:443,https,nginx,text/html,GET,194.29.39.42,/,-1561873722,194.29.39.42,Nginx,8,False,,,,,,,
b2bqa.checkpoint.com,403 Forbidden,403,146,b2bqa.checkpoint.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,b2bqa.checkpoint.com,,443,https://b2bqa.checkpoint.com:443,https,nginx,text/html,GET,194.29.39.41,/,-1561873722,194.29.39.41,Nginx,8,False,,,,,,,
bladesusagemanager.checkpoint.com,Check Point Software Technologies: Maintenance page,403,10720,bladesusagemanager.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-25T07:46:58Z,2023-11-26T07:46:57Z,CN=*.checkpoint.com,*.checkpoint.com,checkpoint.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,668325c9b6c989be799c635cd84b9dbe,a4879446d27cbbd36878c5981bad7b4c4ba6642354cde249c22acac6f43b338e,True,ctls,bladesusagemanager.checkpoint.com,,80,http://bladesusagemanager.checkpoint.com:80,http,Apache,text/html,GET,194.29.39.22,/,-358392465,194.29.39.22,Apache,280,False,,,,,https://bladesusagemanager.checkpoint.com/,,
blog.checkpoint.com,"Check Point Blog - Cyber Security News, Research & Trends",200,142482,blog.checkpoint.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T17:28:02Z,2023-06-08T17:28:01Z,CN=blog.checkpoint.com,blog.checkpoint.com,blog.checkpoint.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,63191a151770a2835fc11a587c75c296,1ffe88f36c3e869d99b1f29fb7a17776a04e97c233a5bd356f7cc10e28a9324d,,ctls,blog.checkpoint.com,,443,https://blog.checkpoint.com:443,https,cloudflare,text/html,GET,141.193.213.21,/,-1840324437,141.193.213.20,Yoast SEO:20.7,1015,False,,,,,,,
