input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,final_url,cdn_name,cdn,csp_domains_,location
cqishr.mobile.de,,404,91,cqishr.mobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-23T00:00:00Z,2023-06-22T23:59:59Z,"CN=cqishr.mobile.de, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",cqishr.mobile.de,Criteo SA,cqishr.mobile.de,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,d3a570a9e0e8a4cdfcdcc017e83c14b8,d9d53f2a23751ba6823f0efcb46c10d21550a45e019c48de0ccfab5590368abf,,ctls,cqishr.mobile.de,443,https://cqishr.mobile.de:443,https,text/html,GET,178.250.7.13,/,-1947197333,2a02:2638:d::d,1,False,Kestrel,Microsoft ASP.NET,,,,,
dev-library.ortelmobile.de,,403,93,dev-library.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,dev-library.ortelmobile.de,443,https://dev-library.ortelmobile.de:443,https,text/html,GET,82.113.101.130,/,-1060002298,82.113.101.130,4,False,,,,,,,
e2e1-apps.ortelmobile.de,Index of /,200,161,e2e1-apps.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,e2e1-apps.ortelmobile.de,443,https://e2e1-apps.ortelmobile.de:443,https,text/html,GET,82.113.101.237,/,-366337701,82.113.101.237,10,False,Apache,Apache,,,,,
e2e2-apps.ortelmobile.de,Index of /,200,161,e2e2-apps.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,e2e2-apps.ortelmobile.de,443,https://e2e2-apps.ortelmobile.de:443,https,text/html,GET,82.113.101.237,/,-366337701,82.113.101.237,10,False,Apache,Apache,,,,,
fonic-mobile.de,FONIC mobile,200,207905,www.fonic-mobile.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-10T00:00:00Z,2024-03-05T23:59:59Z,"CN=*.fonic-mobile.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.fonic-mobile.de,Telefónica Germany GmbH & Co. OHG,fonic-mobile.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a5c9966609764b730a27f90443cef9b9,95eea5f3dcea27d0758dc984571c43041741e5d0fbb8c2b33993a67e78410e8a,True,ctls,www.fonic-mobile.de,443,https://fonic-mobile.de:443,https,text/html,GET,212.23.125.154,/,-458757640,212.23.125.154,9,False,Apache,Vue.js,https://www.fonic-mobile.de/,,,https://sentry.fonic.de/api/2/security/?sentry_key=38cf201186774063918a253e28caadce,
id-sandbox.mobile.de,mobile.de – Gebrauchtwagen und Neuwagen – Deutschlands größter Fahrzeugmarkt,200,5336,id-sandbox.mobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-18T01:16:01Z,2023-06-16T02:09:14Z,CN=id-sandbox.mobile.de,id-sandbox.mobile.de,,id-sandbox.mobile.de,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,3c5647bbc43fb61b04157e38c48b7350,decd97a47d73e1dbd8fcbd6f8218f7cb34c714d43f22932ce3b4a842944deb7b,,ctls,id-sandbox.mobile.de,443,https://id-sandbox.mobile.de:443,https,text/html,GET,34.95.91.151,/,426528674,34.95.91.151,68,False,rhino-core-shield,HTTP/3,https://id-sandbox.mobile.de/login,google,True,,
id-staging.mobile.de,403,403,134,,,,,,,,,,,,,,,,,,,,,80,http://id-staging.mobile.de:80,http,text/html,GET,34.102.173.234,/,1723221432,34.102.173.234,1,False,,,,google,True,,
img.youtube.com,,404,1097,img.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,img.youtube.com,443,https://img.youtube.com:443,https,image/jpeg,GET,172.217.23.110,/,-774586154,2a00:1450:4001:80b::200e,4,False,sffe,HTTP/3,,,,,
info.ortelmobile.de,,423,,info.ortelmobile.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-10T00:00:00Z,2023-08-10T23:59:59Z,"CN=info.ortelmobile.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",info.ortelmobile.de,Telefónica Germany GmbH & Co. OHG,info.ortelmobile.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0854749303f78e879d6f5a7a8f1f086b,de07c182ae59c91c8d0c6303d313c39c2f3de418b09c18a9a849085f3a41d55a,,ctls,info.ortelmobile.de,443,https://info.ortelmobile.de:443,https,,GET,194.245.170.25,/,1742564460,194.245.170.25,1,False,,,,,,,
kuendigung.fonic-mobile.de,Title,200,2160,kuendigung.fonic-mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=kuendigung.fonic.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",kuendigung.fonic.de,Telefónica Germany GmbH & Co. OHG,kuendigung.turkei-SIM.de,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,5df3146aaad016a021baa414ff382e05,c2374262874440f8bd17d3d9603c4e6e73565458fa0eb7b8e923c20c9da78922,,ctls,kuendigung.fonic-mobile.de,443,https://kuendigung.fonic-mobile.de:443,https,text/html,GET,212.101.207.139,/,-780928015,212.101.207.139,15,False,Apache,HSTS,,,,,
library.ortelmobile.de,,404,27,library.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,library.ortelmobile.de,443,https://library.ortelmobile.de:443,https,text/html,GET,82.113.101.130,/,-1759280027,82.113.101.130,1,False,Apache,Varnish,,,,,
link.mobile.de,Invalid Dynamic Link,400,9233,link.mobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-10T04:20:21Z,2023-08-08T05:18:53Z,CN=www.scoupar.dev,www.scoupar.dev,,www.chakary.pk,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,078cf64996e8a9f20b87972702cfbbfc,2148060d62d4bd4a42828bd7a7adef97d72856a621b42ad0c45298e185398962,,ctls,link.mobile.de,443,https://link.mobile.de:443,https,text/html,GET,151.101.1.195,/,1905170354,151.101.65.195,1,False,,HTTP/3,,fastly,True,http:,
m.mein.mobile.de,302 Found,302,209,m.mein.mobile.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-25T00:00:00Z,2023-05-25T23:59:59Z,"CN=m.mein.mobile.de, O=ADEVINTA PRODUCTS & TECHNOLOGY S.L, L=Barcelona, C=ES",m.mein.mobile.de,ADEVINTA PRODUCTS & TECHNOLOGY S.L,res.mein.mobile.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,efad7946370e138b76e951e3316a8284,020460de61d404fa4627e70a69185fe327be1199780f36c92d608a65d9f2ad8b,,ctls,m.mein.mobile.de,80,http://m.mein.mobile.de:80,http,text/html,GET,34.255.84.172,/,-780928015,52.17.111.187,8,False,Apache,Apache,https://m.mein.mobile.de/,,,,https://m.mein.mobile.de/
m.service.mobile.de,302 Found,302,212,m.service.mobile.de,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-25T00:00:00Z,2023-05-25T23:59:59Z,"CN=m.service.mobile.de, O=ADEVINTA PRODUCTS & TECHNOLOGY S.L, L=Barcelona, C=ES",m.service.mobile.de,ADEVINTA PRODUCTS & TECHNOLOGY S.L,t.service.mobile.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f8615a46c6fd54650da52910dc76104d,633f6131d9b335bfe67dd8247c7c025a02e434154dbcb972c73e33b4d7d86e35,,ctls,m.service.mobile.de,80,http://m.service.mobile.de:80,http,text/html,GET,52.213.228.201,/,-780928015,34.241.138.33,8,False,Apache,Apache,https://m.service.mobile.de/,,,,https://m.service.mobile.de/
m2.mobile.de,,403,2672,m2.mobile.de,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-15T00:00:00Z,2024-03-14T23:59:59Z,"CN=www.mobile.de, O=mobile.de GmbH, L=Kleinmachnow, ST=Brandenburg, C=DE, serialNumber=HRB 18517, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Potsdam, jurisdictionStateOrProvince=Brandenburg, jurisdictionCountry=DE",www.mobile.de,mobile.de GmbH,achat-occasion.automobile.fr,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,d30c9bd4d2a0d12cbd20d79bc9053f81,662f7e807fbc78d308a78afdbecb12667108c04deec4040345908d5437c5b928,,ctls,m2.mobile.de,443,https://m2.mobile.de:443,https,text/html,GET,23.201.243.106,/,-1046168730,2a02:26f0:3500:996::1703,42,False,AkamaiGHost,,,,,,
maps.google.com,Google Maps,200,682041,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,443,https://maps.google.com:443,https,text/html,GET,142.250.185.174,/,708578229,2a00:1450:4001:806::200e,1281,False,gws,HTTP/3,https://www.google.com/maps?ucbcb=1,,,https://csp.withgoogle.com/csp/gws/maps-lite,
maps.googleapis.com,Google Maps Platform  |  Google Developers,200,216454,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,developers.google.com,443,https://maps.googleapis.com:443,https,text/html,GET,142.250.186.138,/,302920777,2a00:1450:4001:80f::200a,9465,False,Google Frontend,HTTP/3,https://developers.google.com/maps/,,,https://csp.withgoogle.com/csp/devsite/v2,
maps.gstatic.com,Error 404 (Not Found)!!1,404,1561,maps.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,maps.gstatic.com,443,https://maps.gstatic.com:443,https,text/html,GET,172.217.16.195,/,2029750701,2a00:1450:4001:806::2003,12,False,sffe,HTTP/3,,,,,
mein.ortelmobile.de,403 Forbidden,403,199,login.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,login.ortelmobile.de,443,https://mein.ortelmobile.de:443,https,text/html,GET,194.245.166.6,/,-1601580370,194.245.166.6,8,False,Apache,Apache,https://login.ortelmobile.de:443/goto/cookies-aktivieren,,,,
mein2.ortelmobile.de,403 Forbidden,403,199,login.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,login.ortelmobile.de,443,https://mein2.ortelmobile.de:443,https,text/html,GET,194.245.166.6,/,-1601580370,194.245.166.6,8,False,Apache,Apache,https://login.ortelmobile.de:443/goto/cookies-aktivieren,,,,
micro-frontend-coms.ortelmobile.de,,403,60,micro-frontend-coms.ortelmobile.de,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-03-07T23:59:59Z,"CN=*.o2online.de, O=Telefónica Germany GmbH & Co. OHG, L=München, C=DE",*.o2online.de,Telefónica Germany GmbH & Co. OHG,*.dsl.o2.de,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a83408a16067950ae6c9e04b3a6f4b4e,ce70301bce4c2539f9901252384a38e779ea5080f33aa633a3f3ebda025064bd,True,ctls,micro-frontend-coms.ortelmobile.de,443,https://micro-frontend-coms.ortelmobile.de:443,https,application/json,GET,82.113.101.168,/,1390603384,82.113.101.168,1,False,,HSTS,,,,,
mobile-design-patterns.quora.com,Quora,200,154544,de.quora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-16T16:14:07Z,2023-07-15T16:14:06Z,CN=quora.com,quora.com,,quora.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17280cfc4ac28b38cd5cbd961fc89688,a07ae6d7380e9e34600726331b14919beba608877648979da75fc85cf852b709,True,ctls,de.quora.com,443,https://mobile-design-patterns.quora.com:443,https,text/html,GET,162.159.152.17,/,-1958196763,162.159.153.247,52,False,cloudflare,PayPal,https://de.quora.com/,cloudflare,True,https://static.bytedance.com,
