input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,webserver,final_url,chain_status_codes_,csp_domains_,location
android.atg.se,ATG,200,16251,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://android.atg.se:443,https,text/html,GET,195.198.34.108,/,1077389992,Varnish:5.2,97,False,,,AB Trav och Galopp,,https://www.atg.se/?originsite=android,200,,
api-backend.atg.se,ATG,200,16250,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://api-backend.atg.se:443,https,text/html,GET,195.198.34.33,/,1077389992,Varnish:5.2,97,False,,,AB Trav och Galopp,,https://www.atg.se/,200,,
api.drone.atg.se,,403,42,api.drone.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-16T23:59:59Z,CN=api.drone.atg.se,api.drone.atg.se,api.drone.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1d589eeb8a2a70060b666e457d75b58a,69de391352c1c06206f4cc9d9c800b796d1752a510a67ebd0018c5753f031c5b,,ctls,api.drone.atg.se,,443,https://api.drone.atg.se:443,https,application/json,GET,54.76.139.179,/,968070783,,1,False,,,,,,,,
atg.se,ATG,200,16249,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://atg.se:443,https,text/html,GET,195.198.34.79,/,1077389992,Varnish:5.2,97,False,,,AB Trav och Galopp,,https://www.atg.se/,200,,
autodiscover.atg.se,Sign in to Outlook,200,201439,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,80,http://autodiscover.atg.se:80,http,text/html,GET,40.99.150.88,/,-1249852061,HSTS,173,False,,,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=a26b2b54-ca84-41ac-5853-1c271dfed9a8&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=atg.se&nonce=638192509340677672.6427d586-75ff-463b-97c0-b0fb4d1db401&state=DctBDoMgEEBRqDfpojt0gGFGFqZnAQeaJm1I1Nrry-L93ddKqaG7dRp6FJOfbXQBokcgZmI3EjqWMJPhUKtB8tlEXsFkqBnFSkawur_3qf3T9NxK-nyXdLzGvTxOWdLvaPLe13aW7QI,200,,
birthday.atg.se,Not Found,404,179,birthday.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T18:53:03Z,2023-07-16T18:53:02Z,CN=birthday.atg.se,birthday.atg.se,birthday.atg.se,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba81ada25471b6bb2393ae1e58c47c5f,ea256bbafaf104b71137916938693e8d69b8b27d55361f063f8c53e675f2a370,,ctls,birthday.atg.se,,443,https://birthday.atg.se:443,https,text/html,GET,95.217.76.45,/,1506877856,Nginx,11,False,,,,nginx,,,https://assets.seen.io,
butik.atg.se,ATG-Portalen,200,3633,butik.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=*.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE",*.atg.se,atg.se,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f5c6ac81e5567d97fd4096e2bb4bbce,5dfdbdea19ed50e2e662dd78378df8c6789383a1a925893bea37cf0177f77baa,True,ctls,butik.atg.se,,443,https://butik.atg.se:443,https,text/html,GET,195.198.34.46,/,873224637,Google Tag Manager,94,False,,,AB Trav och Galopp,,,,,
classic.atg.se,ATG,200,16250,www.atg.se,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=www.atg.se, O=AB Trav och Galopp, L=Bromma, C=SE, serialNumber=5561804161, businessCategory=Private Organization, jurisdictionCountry=SE, businessCategory=Private Organization, jurisdictionCountry=SE",www.atg.se,atg.se,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a2e7108b25190c0aa3eb9f6414ad2a6d,d20af34aed0e3922d6cb51cb7ce0ef33fbb517fd17e73c5e4368db5d772e7e09,,ctls,www.atg.se,,443,https://classic.atg.se:443,https,text/html,GET,195.198.34.108,/,1077389992,Varnish,97,False,,,AB Trav och Galopp,,https://www.atg.se/?originsite=classic,200,,
dev.streaming.aws.atg.se,,403,23,dev.streaming.aws.atg.se,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-30T00:00:00Z,2024-04-28T23:59:59Z,CN=dev.streaming.aws.atg.se,dev.streaming.aws.atg.se,*.dev.streaming.aws.atg.se,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3d622506cce01796a33fdb2fc94b43e8,3c1efdfe6f75a5fb703564c7729fff798c8fe0078fb838c123d6f6937eca247f,True,ctls,dev.streaming.aws.atg.se,cloudfront,443,https://dev.streaming.aws.atg.se:443,https,application/json,GET,65.9.66.20,/,968070783,Amazon Web Services,1,False,True,,,,,,,
developer.atg.se,Signin,200,6042,atg-azure-sso.auth.eu-west-1.amazoncognito.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-28T00:00:00Z,2024-02-26T23:59:59Z,CN=*.auth.eu-west-1.amazoncognito.com,*.auth.eu-west-1.amazoncognito.com,auth.eu-west-1.amazoncognito.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,73e207c67344fc8a1b1c0aa709b0fc75,ce29048a299dd221d8740c98aec633286b25ea508fecfe48e057dbdb04b699b4,True,ctls,atg-azure-sso.auth.eu-west-1.amazoncognito.com,cloudfront,443,https://developer.atg.se:443,https,text/html,GET,13.224.189.85,/,-2080110004,HSTS,163,False,True,,,Server,https://atg-azure-sso.auth.eu-west-1.amazoncognito.com/login?response_type=code&client_id=3d00u1t4losae592qgju1ddsag&scope=email+openid&redirect_uri=https%3A%2F%2Fsso.aws.atg.se%2Fauthorize,200,,
