input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,tech_,cdn,tls_expired,final_url,location
activityreimbursement.intel.com,Sign in to your account,200,197569,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://activityreimbursement.intel.com:443,https,,text/html,GET,192.198.165.244,/,635848187,192.198.165.244,174,False,,,,,HSTS,,,https://login.microsoftonline.com/46c98d88-e344-4ed4-8496-4ed7712e255d/saml2?SAMLRequest=fVFNT8JAEP0rzd77BaWFDW2CEGMT1AaqBy9k2Q6ySbtbd6ao%2F95aNMGDXObw8t6b92bmKJq65YuOjnoDbx0gOfkqZbuDnIo4jiI3nkhwo3hWubMkmfZjlEAiZRDIGXOewaIyOmUjL2BOjthBrpGEph4KRmM3mLhhWIYTHoz5OHphTmENGWnqG6UrpV9T1lnNjUCFXIsGkJPk28X9mveOfH8mIb8ry8ItHrclcxaIYKlfujQauwbsFuxJSXjarFN2JGqR%2B76QpE6KPi2oZt9ZhAY0eUoT1J40jc%2Bcj6bWyIf21zO0P4FZNv9m86GkvdBfl4vfuCwrNjthae5f2Jw9W%2F7Q6%2FJVYWolP51bYxtB%2F9uGXjggqnIPA5V3GluQ6qCg6g9U1%2BZ9aUEQpIxsB8zxs%2FPWv4%2FOvgA%3D,
admin.softwareoffer.intel.com,Web App - Unavailable,403,1892,admin.softwareoffer.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-19T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.softwareoffer.intel.com, O=Intel Corporation, ST=California, C=US",*.softwareoffer.intel.com,Intel Corporation,softwareoffer.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,04d9ad83d8016b4e6a40a126eca41bbe,390e03cbdc9a8e757d290eb3efe218d1833b96c85284a3f13fe1c19905d0c252,ctls,admin.softwareoffer.intel.com,443,https://admin.softwareoffer.intel.com:443,https,,text/html,GET,104.42.128.171,/,,104.42.128.171,74,False,,,True,azure,,True,,,
admin.unitecloud.intel.com,Intel Unite® Solution: Seamless Collaboration and Content Sharing,200,184652,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://admin.unitecloud.intel.com:443,https,Apache,text/html,GET,44.211.109.166,/,-925889344,18.204.191.81,6387,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/architecture-and-technology/unite/intel-unite-overview.html,
advisors.intel.com,Intel,200,56343,plan.seek.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,"CN=*.seek.intel.com, O=Intel Corporation, ST=California, C=US",*.seek.intel.com,Intel Corporation,seek.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1136395177e93e28a5a0fdab465dfb4d,e81ce04557f569c1217c63ac07c67a03f119cada5cbf03ec0f3570870a8d78fb,ctls,plan.seek.intel.com,80,http://advisors.intel.com:80,http,,text/html,GET,198.175.96.183,/,-768230802,198.175.96.183,699,False,,,True,,ZURB Foundation,,,https://plan.seek.intel.com/LandingPage-GeneralITAdvisorsRegistration-1700,
aemdb-sitemap-ciqa.eglb.intel.com,,404,85,aemdb-sitemap-ciqa.eglb.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-05T00:00:00Z,2023-08-05T23:59:59Z,"CN=sitemap.intel.com, O=Intel Corporation, ST=California, C=US",sitemap.intel.com,Intel Corporation,webhooks.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7ca3e3a87dfdd4a82f3848b6f92bd30a,39dbd5f995f1b40404a77ba7e34e0e0cb0a21ea76fcd18998aeda158c8fd7810,ctls,aemdb-sitemap-ciqa.eglb.intel.com,443,https://aemdb-sitemap-ciqa.eglb.intel.com:443,https,,text/plain,GET,198.175.98.169,/,631554669,198.175.98.169,2,False,,True,,,,,,,
aemdb-sitemap-prd.eglb.intel.com,,404,84,aemdb-sitemap-prd.eglb.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-19T00:00:00Z,2023-05-19T23:59:59Z,"CN=sitemap.intel.com, O=Intel Corporation, L=Folsom, ST=California, C=US",sitemap.intel.com,Intel Corporation,webhooks.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9e2c9bbe28d57d8fc3d2ec224e94b261,6980fdc7ff928fdcb915892b92648a6cc798a3272ed3939487451a3277509f2f,ctls,aemdb-sitemap-prd.eglb.intel.com,443,https://aemdb-sitemap-prd.eglb.intel.com:443,https,,text/plain,GET,198.175.98.164,/,28617782,198.175.98.164,2,False,,True,,,,,,,
agencytraining.intel.com,,403,36,consumer.intel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-25T00:00:00Z,2023-08-25T23:59:59Z,CN=consumer.intel.com,consumer.intel.com,,consumer.intel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",26679bac7c5048213fbb1048e4846d9d,daeba4848b956b3e0d3762b9d591645175f88221b21cb3f6ff234ca3f9630e65,ctls,consumer.intel.com,443,https://agencytraining.intel.com:443,https,,text/html,GET,23.37.59.110,/,-1772657925,2a02:26f0:3500:885::1ea2,1,False,,,,,Azure Front Door,,,https://consumer.intel.com/intelcorpb2c.onmicrosoft.com/B2C_1A_UnifiedLogin_SISU_STD_SAML/samlp/sso/login?SAMLRequest=fVLLbtswEPwVgXe97SAmbAOOjSIC3FaI5B56ERhqlRCglgqXStO%2Fr0Q7rXtIbsTu7M7MDtckej3w3eie8QFeRiAXFIcNa7JWLtp2tQiTVCThIm8hvIVEhqtF0t0sZQ7dasmCH2BJGdywLEpYUBCNUCA5gW4qJVkeJsswTet0yZOc5zdRerv6yYLDxKJQOD%2F57NxAPI6lQRp7sJFCBzqSpo%2F9Sxo7PGYyMtgraQ2ZzvnmXbZv0l1zQtUpaI%2FmSWFTFdWpqepDU%2B2%2BHmNvLSYysZ67LPhirARvdcM6oQlmyaUgUq%2Fwt1Ja44w0%2Bk5hq%2FBpw0aL3AhSxFH0QNxJPq%2Fnk2X%2BeAYRv6%2FrMiy%2FVzULdkRgZ2%2F7i6MK7KuScHo4%2FnOrQVi8sjqrvOAjQcMbC956jcS9h881DBfBbLue0dynYK%2FmPx8X73LZ9gNx6%2Fhq75lk4N%2BmRcWhNFrJ3%2FNhe%2BE%2B5kmj1FdUG3YeykekAaSPbrqY1ubX3oJwUwzOjlMK8fbM%2Bv%2FX3P4B&RelayState=https%3A%2F%2Flearn.intel.com%2Fsso%2FAuthenticate.aspx%3Fredirecturl%3Dhttps%3A%2F%2Flearn.intel.com%2FTraining%2FCourseDetails%3FType%3D6%26ID%3D3936%26Lang%3D1,
ags.intel.com,,200,3610,ags.intel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=ags.intel.com, O=Intel Corporation, ST=California, C=US",ags.intel.com,Intel Corporation,ags.intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bcec1c2e170768ac4518a01808647fb9,58bab093df15944bf40eb705c579d89bc1af080f5ab0d6dab10d172d6b4ec8b9,ctls,ags.intel.com,443,https://ags.intel.com:443,https,BigIP,text/html,GET,192.198.160.177,/,878647854,192.198.160.177,99,False,,,,,F5 BigIP,,,https://ags.intel.com/my.logout.php3?errorcode=19,
ai.intel.com,Intel® Artificial Intelligence and Deep Learning Solutions,200,204316,www.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=*.intel.com, O=Intel Corporation, ST=California, C=US",*.intel.com,Intel Corporation,intel.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,1ddb67c4520945d44bdc3bd2359d2a84,1b819da36bf764e421ed7a3449b1f1cee6fa2d5247be9b9d3ce5c97e8d1dc928,ctls,www.intel.com,443,https://ai.intel.com:443,https,Apache,text/html,GET,23.37.59.110,/,-1067218876,2a02:26f0:3500:88e::1ea2,5868,False,*.intel.com,,True,,Java,,,https://www.intel.com/content/www/us/en/artificial-intelligence/overview.html,
akastg-cache-dev.api.intel.com,Invalid URL,400,208,akastg-cache-dev.api.intel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-08T00:00:00Z,2023-11-08T23:59:59Z,"CN=www.intel.com, O=Intel Corporation, ST=California, C=US",www.intel.com,Intel Corporation,www.snap-telemetry.io,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c4f987f325149a49a7790b3bb3001b2e,cdb5da716e51b2368f87a3e2a9cd67d8ce2d65fac42eae4218947935577bdb47,ctls,akastg-cache-dev.api.intel.com,443,https://akastg-cache-dev.api.intel.com:443,https,AkamaiGHost,text/html,GET,23.209.143.115,/,1496124998,2600:1407:21:385::4b21,8,False,,,,,,,,,
