new,host,a,soa,ns,txt,status_code,has_internal_ips,internal_ips,cdn,cdn-name,aaaa,caa,mx,cname
[x],1password-scim.infra.coda.io,"52.40.177.230, 44.231.71.126","ns-1015.awsdns-62.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],adhoc.coda.io,"52.40.219.27, 35.160.41.115, 52.24.177.213","ns-787.awsdns-34.net, awsdns-hostmaster.amazon.com","ns-453.awsdns-56.com, ns-787.awsdns-34.net, ns-1323.awsdns-37.org, ns-2010.awsdns-59.co.uk",v=spf1 -all,NOERROR,,,,,,,,
[x],admin.adhoc.coda.io,,"ns-1151.awsdns-15.org, awsdns-hostmaster.amazon.com","ns-1545.awsdns-01.co.uk, ns-408.awsdns-51.com, ns-541.awsdns-03.net, ns-1151.awsdns-15.org",v=spf1 -all,NOERROR,,,,,,,,
[x],admin.coda.io,"44.232.153.112, 34.213.235.104, 54.200.47.122","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],admin.dev.coda.io,127.0.0.1,"ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,127.0.0.1,,,,,,
[x],admin.staging.coda.io,"54.68.4.56, 44.233.173.92, 35.155.193.175","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],airflow-staging.data.coda.io,"52.41.136.125, 52.42.84.10","ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],auth.adhoc.coda.io,,"ns-1587.awsdns-06.co.uk, awsdns-hostmaster.amazon.com","ns-1319.awsdns-36.org, ns-1587.awsdns-06.co.uk, ns-354.awsdns-44.com, ns-977.awsdns-58.net",v=spf1 -all,NOERROR,,,,,,,,
[x],auth.coda.io,"10.10.151.236, 10.10.160.102, 10.10.218.85","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.151.236, 10.10.160.102, 10.10.218.85",,,,,,
[x],auth.head.coda.io,"10.10.211.249, 10.10.176.179, 10.10.154.92","ns-1270.awsdns-30.org, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.211.249, 10.10.176.179, 10.10.154.92",,,,,,
[x],auth.staging.coda.io,"10.10.190.186, 10.10.194.235, 10.10.146.245","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com","ns-1254.awsdns-28.org, ns-1837.awsdns-37.co.uk, ns-242.awsdns-30.com, ns-894.awsdns-47.net",,NOERROR,True,"10.10.190.186, 10.10.194.235, 10.10.146.245",,,,,,
[x],bazel-cache.dev-infra.coda.io,"44.238.117.26, 54.213.49.242, 52.42.117.9","ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com","ns-14.awsdns-01.com, ns-1496.awsdns-59.org, ns-1991.awsdns-56.co.uk, ns-526.awsdns-01.net",,NOERROR,,,,,,,,
[x],bounce.coda.io,,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com","ns-994.awsdns-60.net, ns-1404.awsdns-47.org, ns-163.awsdns-20.com, ns-2008.awsdns-59.co.uk",v=spf1 include:amazonses.com ~all,NOERROR,,,,,,,feedback-smtp.us-west-2.amazonses.com,custom-email-domain.stripe.com
[x],build.coda.io,,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com","ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org","v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs",NOERROR,,,,,,,smtp.sparkpostmail.com,sparkpostmail.com
[x],calc.adhoc.coda.io,,"ns-1251.awsdns-28.org, awsdns-hostmaster.amazon.com","ns-1683.awsdns-18.co.uk, ns-273.awsdns-34.com, ns-714.awsdns-25.net, ns-1251.awsdns-28.org",v=spf1 -all,NOERROR,,,,,,,,
[x],calc.coda.io,"10.10.138.185, 10.10.168.212, 10.10.209.190","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.138.185, 10.10.168.212, 10.10.209.190",,,,,,
[x],calc.head.coda.io,"10.10.209.181, 10.10.180.165, 10.10.140.169","ns-1270.awsdns-30.org, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.209.181, 10.10.180.165, 10.10.140.169",,,,,,
[x],calc.staging.coda.io,"10.10.200.251, 10.10.148.238, 10.10.161.234","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.200.251, 10.10.148.238, 10.10.161.234",,,,,,
[x],cdn.coda.io,,"ns-1291.awsdns-33.org, awsdns-hostmaster.amazon.com","ns-1291.awsdns-33.org, ns-135.awsdns-16.com, ns-1562.awsdns-03.co.uk, ns-691.awsdns-22.net",,NOERROR,,,True,cloudfront,,,,
[x],cert-service.head.coda.io,"10.10.140.34, 10.10.194.248, 10.10.164.182","ns-1270.awsdns-30.org, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.140.34, 10.10.194.248, 10.10.164.182",,,,,,
[x],cert-service.staging.coda.io,"10.10.222.172, 10.10.164.23, 10.10.157.87","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",,,NOERROR,True,"10.10.222.172, 10.10.164.23, 10.10.157.87",,,,,,
[x],coda.io,"13.32.27.21, 13.32.27.77, 13.32.27.116, 13.32.27.82","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com","ns-1032.awsdns-01.org, ns-1815.awsdns-34.co.uk, ns-501.awsdns-62.com, ns-867.awsdns-44.net","stripe-verification=7656389ff15c616db74225f2b5675b22c5bcd6489fae7400726658bc177d1be7, stripe-verification=df15a37e3d326b7fc321fb85454520265db3c557abaab07b483f50882f9cc671, stripe-verification=df70e0238d2e34ccd316b4f3b118705bde00a22309b38e79f029f407469e9b9b, stripe-verification=fdd6de511017f68e3f5647183e3021f0f6904454b11ab25db81cb595f1f92315, v=spf1 include:_spf.google.com include:stspg-customer.com include:_spf.salesforce.com include:_spf.psm.knowbe4.com -all, v=spf1 include:mktomail.com ~all, zoom-domain-verification=c456dac3-a0b3-4b4d-946e-34e8beefa204, MS=ms46899923, apple-domain-verification=1Qro2buxBMljYdat, detectify-verification=d90a6779f61d8da55b151270ca11fa39, docusign=10de73b6-8014-44f4-a307-395002ddf32f, facebook-domain-verification=pe0k9fg1e9e5esk0jtenx0ppj5pyhj, google-site-verification=bCIMp4XwMu9CWRubTRjJbEooaQfzOB8z4qe3EBs6r2o, hubspot-developer-verification=M2I1MmQxNmYtMWUwNC00OGFhLWIwOTEtNTExZWQ5ZDZhZjBh, reachdesk-verification=jT6NfWUBABehAbNWWoTWX1QiXpTf11alWxKLGudpOB6TWAT8KggFA8hTOX0CHxI9, status-page-domain-verification=6m8hp4hxgr79, stripe-verification=36e37c1599923b881c5358d837be18fb30a0a0c5e3126b674c4cf8b60ef8c387",NOERROR,,,True,cloudfront,,"digicert.com, letsencrypt.org, mailto:security@coda.io, amazon.com, comodoca.com","aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com",
[x],community.coda.io,184.105.99.75,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,2602:fd3f:3:ff02::4b,letsencrypt.org,mx-corp1.discoursemail.com,coda1.hosted-by-discourse.com
[x],custom.coda.io,"54.148.9.174, 35.162.23.234, 52.33.197.101","ns-501.awsdns-62.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],custom.head.coda.io,"100.21.139.92, 52.39.202.148, 54.148.59.220","ns-1270.awsdns-30.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],custom.staging.coda.io,"35.164.120.75, 54.203.113.119, 52.39.171.248","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],data.coda.io,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com","ns-1215.awsdns-23.org, ns-1611.awsdns-09.co.uk, ns-497.awsdns-62.com, ns-962.awsdns-56.net",v=spf1 -all,NOERROR,,,,,,,,
[x],dev-infra.coda.io,,"ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com","ns-14.awsdns-01.com, ns-1496.awsdns-59.org, ns-1991.awsdns-56.co.uk, ns-526.awsdns-01.net",,NOERROR,,,,,,,,
