new,host,a,soa,status_code,cname,aaaa,ns,txt,cdn,cdn-name,mx,caa,has_internal_ips,internal_ips
[x],admin.jobs.rbs.com,94.236.70.6,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],android-04.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,"udns1.cscdns.net, udns2.cscdns.uk",,,,,,,
[x],data.jobs.rbs.com,205.251.194.28,"ns-540.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,ttcportals.com,,"ns-1921.awsdns-48.co.uk, ns-327.awsdns-40.com, ns-540.awsdns-03.net, ns-1158.awsdns-16.org",google-site-verification=Y-JZB0GhQviqLQrn7CyjIB2Ux1nddhYOpn1yZdCs7eA,,,,,,
[x],dev.mplatformtest.rbs.co.uk,"52.50.184.63, 34.240.110.42, 34.249.98.31","ns-227.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,public-nfte-a-left-ire.mplatformtest.rbs.co.uk,,,,,,,,,
[x],europe.jobs.rbs.com,,"ns-540.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,ttcportals.com,,"ns-1158.awsdns-16.org, ns-1921.awsdns-48.co.uk, ns-327.awsdns-40.com, ns-540.awsdns-03.net",google-site-verification=Y-JZB0GhQviqLQrn7CyjIB2Ux1nddhYOpn1yZdCs7eA,,,,,,
[x],ios-03.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],ios-04.mobileapp.rbs.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],ios-05.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,"udns1.cscdns.net, udns2.cscdns.uk",,,,,,,
[x],ios-06.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],rbsdigital.co.uk,,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,"udns2.cscdns.uk, udns1.cscdns.net",v=spf1 ip4:155.136.80.0/24 -all,,,"relay2.netnames.net, relay1.netnames.net",,,
[x],results.rbs.com,155.136.80.223,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],t17.banklinenotifications.rbs.co.uk,"52.48.61.116, 18.202.74.222","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"t17.banklinenotifications.rbs.co.uk.cname.campaign.adobe.com, rbs-rt-prod17-alb-1700624568.eu-west-1.elb.amazonaws.com",,,,,,,,,
[x],windows-02.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],windows-03.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,"udns1.cscdns.net, udns2.cscdns.uk",,,,,,,
[x],windows-04.mobileapp.rbs.co.uk,155.136.23.135,"udns1.cscdns.net, premiumdns.support.neustar",NOERROR,,,,,,,,,,
