input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,webserver,tech_,tls_expired,tls_mismatched,cdn_name,cdn,final_url,tls_self_signed,tls_wildcard_certificate
*.contentsquare.com,Contentsquare | Digital Experience Platform (DXP) | Customer Experience,200,297825,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,contentsquare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-03-26T23:59:59Z,"CN=contentsquare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",contentsquare.com,"Cloudflare, Inc.",contentsquare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ead576b0d7ed758b37cd6fc4d1fc2a37,bc0539865690d434ec467ab3ea19d82f2cdb5ec053a7e1fd8184edb681364232,ctls,contentsquare.com,443,https://contentsquare.com:443,https,text/html,GET,141.193.213.11,/,-1840324437,141.193.213.10,1837,False,https://contentsquare.pathfactory.com,cloudflare,Yoast SEO:18.2,,,,,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://doubleclick.net:443,https,text/html,GET,142.250.186.142,/,708578229,2a00:1450:4001:82a::200e,2179,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,HTTP/3,,,,,https://marketingplatform.google.com/about/enterprise/,,True
*.facebook.com,Facebook - log in or sign up,200,11122,AS32934,FACEBOOK,US,157.240.192.0/18,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2023-05-17T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5110802e765750624ab3d6785aeec848,e17a08756c6cfcd9128edfa651b071c72c0a753718d5415ccf67041f068f4637,ctls,m.facebook.com,443,https://facebook.com:443,https,text/html,GET,157.240.253.35,/,142313513,2a03:2880:f128:83:face:b00c:0:25de,2,False,https://paywithmybank.com,,HTTP/3,,,,,https://m.facebook.com/?_rdr,,True
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,text/html,GET,142.250.185.228,/,302920777,2a00:1450:4001:813::2004,1831,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,HTTP/3,,,,,https://marketingplatform.google.com/about/analytics/,,True
*.google.co.uk,Google,200,17527,AS15169,GOOGLE,US,172.217.0.0/19,www.google.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:49Z,2023-07-17T12:00:48Z,CN=www.google.co.uk,www.google.co.uk,,www.google.co.uk,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,96e89e10ad984706e3de9ccb5eb3065f,37703e49f41472b1255753868561f47fc0e8211c0fda15cdc01727a92d457a3e,ctls,www.google.co.uk,443,https://google.co.uk:443,https,text/html,GET,172.217.16.195,/,708578229,2a00:1450:4001:806::2003,18,False,https://csp.withgoogle.com/csp/gws/other-hp,gws,HTTP/3,,,,,https://www.google.co.uk/,,
*.google.com,Google,200,14674,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,443,https://google.com:443,https,text/html,GET,142.250.184.206,/,708578229,2a00:1450:4001:82b::200e,16,False,http:,gws,HTTP/3,,,,,https://www.google.com/,,
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:59:59Z,2023-07-17T11:59:58Z,CN=*.googleadservices.com,*.googleadservices.com,,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5cd131737674e9399dc250bce3982d2d,15c55d227474ae0ae7c87fe613f6b8eab17533a89d3a0a6a0eb7a5b73e55b61f,ctls,googleadservices.com,443,https://googleadservices.com:443,https,text/html,GET,142.250.186.98,/,302920777,142.250.186.98,12,False,,sffe,HTTP/3,,,,,,,True
*.googleanalytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://googleanalytics.com:443,https,text/html,GET,142.250.185.228,/,302920777,2a00:1450:4001:809::2004,1831,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,HTTP/3,,,,,https://marketingplatform.google.com/about/analytics/,,True
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,www.gstatic.com,443,https://gstatic.com:443,https,text/html,GET,142.250.186.163,/,302920777,2a00:1450:4001:82f::2003,12,False,,sffe,HTTP/3,,,,,https://www.gstatic.com/,,True
*.linkedin.com,LinkedIn: Log In or Sign Up,200,139607,AS8068,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.42.0/23,www.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,LinkedIn Corporation,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,ctls,www.linkedin.com,443,https://linkedin.com:443,https,text/html,GET,13.107.42.14,/,-696586294,2620:1ec:21::14,2359,False,www.youtube-nocookie.com/embed/,,Java,,,,,https://www.linkedin.com/,,
*.liveperson.net,LivePerson � Business Solutions,200,4900,AS11054,LIVEPERSON,US,208.89.12.0/22,,,,,,,,,,,,,,,,,,,80,http://liveperson.net:80,http,text/html,GET,208.89.12.169,/,-20275242,208.89.12.169,69,False,url=http://www.liveperson.com,Microsoft-IIS/8.5,Windows Server,,,,,,,
*.natwest.com,"NatWest Online – Bank Accounts, Mortgages, Loans and Savings",200,356268,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,www.natwest.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=natwest.com, O=Natwest Group Plc, ST=Midlothian, C=GB",natwest.com,Natwest Group Plc,www.natwest.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,031ed0bb0bd231e5085afb8dd13ec16d,793d60a112091d7848d2131250685726ded368a82a3162fe5bb52dc1eaef3ad1,ctls,www.natwest.com,443,https://natwest.com:443,https,text/html,GET,20.49.208.53,/,1282093280,20.49.208.53,8635,False,*.google.ge,,ZURB Foundation,,,azure,True,https://www.natwest.com/,,
accelerator.rbs.co.uk,Microsoft Azure Web App - Error 404,404,2667,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.68.0.0/14,accelerator.rbs.co.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,accelerator.rbs.co.uk,443,https://accelerator.rbs.co.uk:443,https,text/html,GET,40.68.205.178,/,387302845,40.68.205.178,87,False,,,,,True,azure,True,,,True
accounts.google.com,Sign in - Google Accounts,200,566422,AS15169,GOOGLE,US,142.250.0.0/15,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,443,https://accounts.google.com:443,https,text/html,GET,142.250.185.141,/,708578229,2a00:1450:4001:812::200d,46,False,https:,ESF,HTTP/3,,,,,https://accounts.google.com/v3/signin/identifier?dsh=S1258648901%3A1683717348335414&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneEdyZ7lXv5jog8CrjmbpNCVfZkXImtEFxLlLI6lZ6SbTEOtrZ9c5l8Fvm6rAFvvmHhaQCB3NQ&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,,True
admin.jobs.rbs.com,Parts Central Billing,200,11690,AS15395,RACKSPACE-LON,GB,94.236.0.0/17,admin.jobs.rbs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-20T13:38:46Z,2023-06-21T13:38:46Z,CN=*.distrigo.oeconnection.com,*.distrigo.oeconnection.com,,distrigo.oeconnection.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",111ffa4e23462cd379390c7a0ab1913b,d754a1691ae1b499d9fcdd2f06ac6442951b3595b0fab347b55cc676f254199d,ctls,admin.jobs.rbs.com,443,https://admin.jobs.rbs.com:443,https,text/html,GET,94.236.70.6,/,1096594311,94.236.70.6,179,False,,Microsoft-IIS/10.0,Windows Server,,True,,,https://admin.jobs.rbs.com/Login.aspx?ReturnUrl=%2f,,True
agency.jobs.rbs.com,Page Not Found (404),404,2579,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,agency.jobs.rbs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=agency.jobs.rbs.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",agency.jobs.rbs.com,"Cloudflare, Inc.",agency.jobs.rbs.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6d0be35df271d483de84d1ba2b0714bd,229a147c85f64530c9a694894af397481a2ade6a9d61ef07579d63c1f156c0dc,ctls,agency.jobs.rbs.com,443,https://agency.jobs.rbs.com:443,https,text/html,GET,104.17.156.42,/,1914170370,104.18.144.76,44,False,https://cdn.walkme.com,cloudflare,Cloudflare,,,cloudflare,True,,,
ajax.googleapis.com,Hosted Libraries  |  Google Developers,200,61015,AS15169,GOOGLE,US,142.250.0.0/15,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,developers.google.com,443,https://ajax.googleapis.com:443,https,text/html,GET,142.250.185.202,/,302920777,2a00:1450:4001:80b::200a,1966,False,https:,Google Frontend,HTTP/3,,,,,https://developers.google.com/speed/libraries,,True
amswd.rbs.com,Secure Web Mail,200,19207,AS14864,GREENWICH,US,146.121.23.0/24,amswd.rbs.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-04-19T00:00:00Z,2023-05-09T23:59:59Z,"CN=amswd.rbs.com, O=Natwest Group Plc, ST=Midlothian, C=GB",amswd.rbs.com,Natwest Group Plc,www.amswd.rbs.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,2d81313e011fd9a9a5794dfa027b1024,f4e308bc7284409af6829dcd2e93967b435078486c45f344cfef3d158f16ddf4,ctls,amswd.rbs.com,443,https://amswd.rbs.com:443,https,text/html,GET,146.121.23.54,/,1393723817,146.121.23.54,565,False,,Apache,Apache,True,,,,https://amswd.rbs.com/offline/,,
amswddr.rbs.com,,200,2889,AS14864,GREENWICH,US,146.121.20.0/23,amswddr.rbs.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-05-03T00:00:00Z,2023-06-03T23:59:59Z,"CN=amswddr.rbs.com, O=Natwest Group Plc, L=Edinburgh, ST=Midlothian, C=GB",amswddr.rbs.com,Natwest Group Plc,www.amswddr.rbs.com,"CN=COMODO RSA Organization Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Organization Validation Secure Server CA,COMODO CA Limited,fdc35faf26e9dcfba3a0f0b0b82ca287,99533f28e3d61e862802e5888537fb1c49131a138aab0059a1a72a6d93f795fe,ctls,amswddr.rbs.com,443,https://amswddr.rbs.com:443,https,text/html,GET,146.121.21.54,/,-199072495,146.121.21.54,77,False,,Apache,Apache,,,,,,,
analytics.preprod.appbank.rbs.com,,200,,AS21054,RBSG-UK-AS Edinburgh,GB,155.136.196.0/23,,,,,,,,,,,,,,,,,,,80,http://analytics.preprod.appbank.rbs.com:80,http,text/html,GET,155.136.154.22,/,-1840324437,155.136.154.22,1,False,,,,,,,,,,
