input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_emails_,tls_self_signed
*.americanexpress.com,"Kreditkarten, Reisen, Prämien | American Express Deutschland",200,367711,www.americanexpress.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-14T00:00:00Z,2023-09-14T23:59:59Z,"CN=www.americanexpress.com, O=American Express Company, L=Phoenix, ST=Arizona, C=US, serialNumber=188055, businessCategory=Private Organization, jurisdictionStateOrProvince=New York, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=New York, jurisdictionCountry=US",www.americanexpress.com,www.personalsavings.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,d7613310574a23077dd443225d93ab1e,6aca807e3b6755dab126d42157deb3227f9b777b006242e97025e08ac8fcc21f,ctls,www.americanexpress.com,,443,https://americanexpress.com:443,https,,text/html,GET,23.60.27.8,/,-386778443,23.60.27.8,Java,1544,False,,American Express Company,,,https://www.americanexpress.com/de-de/,,,,
*.hilton.com,Hotels by Hilton - Book the Best Rates Across All Brands,200,1018159,www.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=www.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US, serialNumber=5538846, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.hilton.com,hilton.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,41bf9b2a5bbb44f989871a9affcc118f,169b781f112dd4a1d269860d765fb82bce45fe4b4af593c01bbee3b8abf2d989,ctls,www.hilton.com,,443,https://hilton.com:443,https,,text/html,GET,167.187.200.23,/,-738705486,167.187.200.23,HSTS,6,False,,Hilton International Holding LLC,,,https://www.hilton.com/en/,,,,
30stays300days.marriott.com,The Marriott Bonvoy #30stays300days TikTok Contest,200,63095,30stays300days.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-07T23:59:59Z,CN=30stays300days.marriott.com,30stays300days.marriott.com,www.30stays300days.marriott.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bf3ccdb16fae86eeb1bfacbe95716dfe,db41ab48e34492c1c85807b415946560fd629737628b55d51094a2c1db62bc19,ctls,30stays300days.marriott.com,cloudfront,443,https://30stays300days.marriott.com:443,https,AmazonS3,text/html,GET,13.32.99.42,/,-1902546487,13.32.99.85,Bootstrap:4.5.2,355,False,True,,,,,,,,
ac-hotels.marriott.com,Seamless Design Hotels | AC Hotels,200,141703,ac-hotels.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-11-10T23:59:59Z,"CN=ac-hotels.marriott.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",ac-hotels.marriott.com,ac-hotels.marriott.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f8cae53d0d47564fb4db3c627eeb0051,92832885d2f7baedbf959659ec90caf131ab1dc283c24378790e87aa38f7fe28,ctls,ac-hotels.marriott.com,,80,http://ac-hotels.marriott.com:80,http,cloudflare,text/html,GET,141.193.213.11,/,-1840324437,141.193.213.10,Yoast SEO:13.2,3835,False,,"Cloudflare, Inc.",,,https://ac-hotels.marriott.com/,,,,
accenture.marriott.com,Sorry! - Page Not Found on Marriott.com (404 Error),404,212567,www.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T15:51:56Z,2023-11-10T15:51:55Z,"CN=www.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",www.marriott.com,www.travelagents.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fd366a77b3660f5f6b811c10c3af0d0f,009c340640383743bf6b3472aa4670e123f1412491729b65467ad2fe88e8dd9d,ctls,www.marriott.com,,443,https://accenture.marriott.com:443,https,nginx,text/html,GET,52.21.50.234,/,-1117897409,52.21.50.234,ZURB Foundation,816,False,,Marriott International Inc.,,,https://www.marriott.com/marriott.mi?page=NL-ACC&scID=ZZ20090603T171401000003,,,,
accolades.marriott.com,MI Sales Companion,200,3314,mi.bookmarriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-02T19:11:47Z,2023-06-02T19:11:47Z,"CN=mi.bookmarriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",mi.bookmarriott.com,mi.bookmarriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",9a9eb58554543b652487271e2b671e14,d09a90e1c1ade507f2b66f69877674dc842127b8940bad9c8449f75740a81bf2,ctls,mi.bookmarriott.com,,80,http://accolades.marriott.com:80,http,,text/html,GET,52.21.50.234,/,737104751,52.21.50.234,HSTS,1,False,,Marriott International Inc.,,,https://mi.bookmarriott.com/luminous,,,,
afcs-agreements.marriott.com,,401,6650,afcs-agreements.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T14:11:25Z,2023-08-03T14:11:24Z,"CN=afcs-agreements.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",afcs-agreements.marriott.com,afcs-agreements.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ccbdeff63235d8df458933e9761c9084,a974e61bcd573f79601d52b07108a1695276a4064a45ea28d3c907d0c79362e1,ctls,afcs-agreements.marriott.com,cloudfront,80,http://afcs-agreements.marriott.com:80,http,Apache/2.2.15 (CentOS),text/html,GET,143.204.215.37,/,-619305167,143.204.215.34,Java,26,False,True,Marriott International Inc.,,,https://afcs-agreements.marriott.com/home,,,,
all-inclusive.marriott.com,Attention Required! | Cloudflare,403,4514,all-inclusive.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T17:03:27Z,2023-08-09T17:03:27Z,"CN=modules.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",modules.marriott.com,all-inclusive.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",fabdd7e5c4ebab290988267203f568d4,131ad3f2dfb19706ce442506ff4e8f361cdfb88c1edc6c88ad1d1b874b7341d6,ctls,all-inclusive.marriott.com,cloudflare,443,https://all-inclusive.marriott.com:443,https,cloudflare,text/html,GET,104.18.26.97,/,1890489984,2606:4700::6812:1a61,Cloudflare Bot Management,94,False,True,Marriott International Inc.,,,,,,,
aloft-hotels.marriott.com,Music-inspired Design Hotels | Aloft Hotels,200,293074,aloft-hotels.marriott.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-02T00:00:00Z,2023-10-01T23:59:59Z,"CN=aloft-hotels.marriott.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",aloft-hotels.marriott.com,aloft-hotels.marriott.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",85b547aaef6fb406934e1d28fc101a1e,d09dce171675c0122b671983348863f29a844e47be53baae221cba9889c9ac2a,ctls,aloft-hotels.marriott.com,,443,https://aloft-hotels.marriott.com:443,https,cloudflare,text/html,GET,141.193.213.11,/,-952976544,141.193.213.10,Yoast SEO Premium:5.8,1076,False,,"Cloudflare, Inc.",,,,,,,
apcgateway.marriott.com,Error 404 - Not Found,404,579,apcgateway.marriott.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-29T16:20:24Z,2023-08-29T16:20:24Z,"CN=gatewaydsapprd.marriott.com, O=Marriott International Inc., L=Bethesda, ST=Maryland, C=US",gatewaydsapprd.marriott.com,www.msg-gatewayprf.marriott.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",39d4c0e9e9b2e5829055ff0f35602c97,81a22c1764a694fdf42f4ed1d21709e4eeca3959b037a00293e989e4a28fdac6,ctls,apcgateway.marriott.com,,443,https://apcgateway.marriott.com:443,https,,text/html,GET,23.37.43.166,/,-464450920,23.37.43.166,,19,False,,Marriott International Inc.,,,,,,,
