input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_self_signed,tls_mismatched,csp_domains_,final_url,location
1717innovationcenter.capitalone.com,1717 Innovation Center,200,29553,,443,https://1717innovationcenter.capitalone.com:443,https,,text/html,GET,35.166.50.157,/,-808770114,54.68.121.112,Amazon Web Services,8,False,,1717innovationcenter.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-07T00:00:00Z,2023-11-14T23:59:59Z,"CN=capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",capitalone.com,Capital One Financial Corporation,1717innovationcenter.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,0e7e3b2f3954dbd6e383810e86943f06,715f09b276250a08ad7b5c735482ffb0dbaa7424c7b197770274caaa54024272,ctls,1717innovationcenter.capitalone.com,,,,,,
achonlineselfservice-uate.capitalone.com,,404,721,cloudfront,443,https://achonlineselfservice-uate.capitalone.com:443,https,,text/html,GET,52.222.236.2,/,-1895070927,52.222.236.118,Amazon Web Services,2,False,True,achonlineselfservice-uate.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-02T00:00:00Z,2023-08-02T23:59:59Z,"CN=achonlineselfservice-uate.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",achonlineselfservice-uate.capitalone.com,Capital One Financial Corporation,aoss-client-bwaf-qa.aws-cb-dqa.capitalonegslbex.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,e6d8152a528a5f3e3d555147d6c25499,d3cbfff8cbf4a832fc3c4c3bb896f8b784a85a1bf479bb4da6beeea436d85707,ctls,achonlineselfservice-uate.capitalone.com,,,,,,
acs.capitalone.com,,404,115,cloudfront,443,https://acs.capitalone.com:443,https,CloudFront,application/json,GET,65.9.66.66,/,546201854,65.9.66.31,HSTS,2,False,True,acs.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-11-07T23:59:59Z,"CN=acs.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",acs.capitalone.com,Capital One Financial Corporation,acs.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,900280f9727ba58e5b42167dde9f8b69,9f6929da5b3a8ffcf36673ad90d85fc5b98b4c8b5446a76e969f21b7addb2a6c,ctls,acs.capitalone.com,,,,,,
activate.capitalone.co.uk,Activate Card - Capital One,200,74350,cloudfront,443,https://activate.capitalone.co.uk:443,https,server,text/html,GET,18.66.147.129,/,1711398828,18.66.147.78,React,201,False,True,capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-11-16T23:59:59Z,"CN=www.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.capitalone.co.uk,Capital One Financial Corporation,activate.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,81b98f7bb3e30d4523a0aafea843d75f,0a4c28a3a75c57cdcc9e11023cd36cf8044a0813cc1026dc92c31f4ab7bf0979,ctls,capitalone.co.uk,,,,http://consent-pref.trustarc.com,https://capitalone.co.uk/activate,
activation.capitalone.ca,Activate your Capital One card,200,2872,cloudfront,443,https://activation.capitalone.ca:443,https,AmazonS3,text/html,GET,52.222.214.70,/,2122688666,2600:9000:223d:d800:13:becb:f9c0:93a1,HSTS,1,False,True,activation.capitalone.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-04T00:00:00Z,2024-01-11T23:59:59Z,"CN=activation.capitalone.ca, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",activation.capitalone.ca,Capital One Financial Corporation,canada-activations-landing-page-prod-east.aws-card.capitalonegslbex.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,9797fbffc4a776da79166b1b27dee34b,5dbcce271ce9c414bf16f8f88c8e84899da575cbb7f55efea605e966d159c380,ctls,activation.capitalone.ca,,,,,,
adminadmin-mobile.production.curve.app,,404,,cloudfront,443,https://adminadmin-mobile.production.curve.app:443,https,envoy,,GET,54.230.206.9,/,-1840324437,2600:9000:2251:9c00:0:d856:9bc0:93a1,Envoy,1,False,True,adminadmin-mobile.production.curve.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-21T23:59:59Z,CN=*.production.curve.app,*.production.curve.app,,*.production.curve.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a9b3b7ec6c58dfcc2ade6d67baeaf88e,59dbac718cfc00169d4f54cad054b3e2804ed6252bf7017162b8a7cc31385696,ctls,adminadmin-mobile.production.curve.app,True,,,,,
an-akamai-it.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://an-akamai-it.capitalone.com:80,http,CloudFront,text/html,GET,13.32.121.33,/,-1429416986,13.32.121.6,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
an-akamai-static-it.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://an-akamai-static-it.capitalone.com:80,http,CloudFront,text/html,GET,13.32.121.33,/,-281446294,13.32.121.6,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
ane-akamai.capitalone.com,ERROR: The request could not be satisfied,502,966,cloudfront,443,https://ane-akamai.capitalone.com:443,https,CloudFront,text/html,GET,52.222.236.32,/,1891785172,52.222.236.62,Amazon Web Services,20,False,True,ane-akamai.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-04T00:00:00Z,2024-01-11T23:59:59Z,"CN=ane.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ane.capitalone.com,Capital One Financial Corporation,www.autonavigator.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,166d85505d8dfadc7427859f31f6167b,d226bcd7ccafdffebe80e112525ef10ce65024fdf72920d88824f5a4c512b045,ctls,ane-akamai.capitalone.com,,,,,,
ane-east.capitalone.com,Find and Finance Your New or Used Car with Auto Navigator,200,34418,,443,https://ane-east.capitalone.com:443,https,,text/html,GET,54.205.69.104,/,1891785172,34.202.21.73,AngularJS,107,False,,ane-east.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-20T00:00:00Z,2024-02-06T23:59:59Z,"CN=ane.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",ane.capitalone.com,Capital One Financial Corporation,www.autonavigator.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,bf76e33fe683d35ddf9ebb10e5b0b3c5,86f444a283cd72c5500652b469e0356f93e41c2e60bc3368a8a981cc0d882dcd,ctls,ane-east.capitalone.com,,,,,,
