new,host,a,aaaa,cname,soa,status_code,caa,mx,ns,txt,cdn,cdn-name
[x],abonnement.libelle.nl,"95.101.111.181, 95.101.111.144","2a02:26f0:480:23::1726:62b6, 2a02:26f0:480:23::1726:62a7","shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],abonnementen.libelle.nl,"92.123.189.88, 92.123.189.105","2a02:26f0:d8::1740:c43, 2a02:26f0:d8::1740:c32","libelle.shops.tapp.dpgmedia.cloud, shops.tapp.dpgmedia.cloud.edgekey.net, e115161.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],acc.libelle.nl,,"2a02:26f0:3100::1735:2bb3, 2a02:26f0:3100::1725:e263","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],accounts.libelle.nl,"18.66.122.71, 18.66.122.19, 18.66.122.65, 18.66.122.2",,"881051666298.gigya-api.com, d135lkfgvhy291.cloudfront.net","ns-41.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1133.awsdns-13.org, ns-1548.awsdns-01.co.uk, ns-41.awsdns-05.com, ns-929.awsdns-52.net",,True,cloudfront
[x],actie.libelle.nl,"51.89.19.54, 51.77.37.192, 178.32.47.207, 178.33.129.44",,"player.qualifio.com, varnish.qualifio.com","ns1.gandi.net, hostmaster.gandi.net",NOERROR,"letsencrypt.org, digicert.com, globalsign.com",,,,,
[x],autodiscover.libelle.nl,"52.97.250.200, 40.101.121.40, 52.97.170.40, 40.101.19.168","2603:1026:c03:6027::8, 2603:1026:206:2::8, 2603:1026:207:1::8, 2603:1026:c03:7074::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,
[x],beta.libelle.nl,"95.101.74.148, 95.101.74.145","2a02:26f0:c900:9::5f65:4a94, 2a02:26f0:c900:9::5f65:4a91","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],brandedcontent.libelle.nl,"184.51.148.187, 184.51.148.163","2600:1408:7400::17de:4fa3, 2600:1408:7400::17de:4fd1","persgroep-nl.dpp.edgekey.net, e15426.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],circulation.libelle.nl,164.92.144.12,,dpg.pexi.nl,"ns1.digitalocean.com, hostmaster.pexi.nl",NOERROR,,,,,,
[x],cmp.libelle.nl,"13.32.121.85, 13.32.121.91, 13.32.121.98, 13.32.121.43",,cdn-1294.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront
[x],development.libelle.nl,,,,"ns1.onenet.nl, hostmaster.dpgmedia.be",NOERROR,,,"ns1.onenet.nl, ns2.onenet.nl, ns3.onenet.nl",v=spf1 include:_spf.dpgmmservices.nl ~all,,
[x],e.email.libelle.nl,"185.136.65.7, 185.136.65.6, 185.136.64.7, 185.136.64.6",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,"entrust.net, digicert.com, quovadisglobal.com, letsencrypt.org, mailto:abuse@flowmailer.com, sectigo.com",return.flowmailer.net,,v=spf1 include:spf.flowmailer.net ~all,,
[x],img-acc.libelle.nl,"2.16.186.179, 2.16.186.171","2a02:26f0:6c00::210:bb08, 2a02:26f0:6c00::210:bb43","dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],ipad.libelle.nl,46.38.168.49,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],libelle.nl,"2.17.100.138, 2.17.100.185","2a02:26f0:ab00::214:8e73, 2a02:26f0:ab00::214:8e59",,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com","eur5.akam.net, eur2.akam.net, use2.akam.net, eur6.akam.net, ns1-25.akam.net, usc2.akam.net, use5.akam.net, ns1-125.akam.net","facebook-domain-verification=8utrhp9r3cawz54o97s27prnm5emvx, tFUxQzBmu+L/bhdQO1VNxOc7//NzVeEo945UY9sGBlfehcc/uhXA9VvIpEbF8FdmOLr2SbG6ZM9ZHATfOdZxAQ==, MS=ms84871890, google-site-verification=02kFz8YbEUJiUmNg8WL39Sk-zTj0sTc_dHli4kWij1U, google-site-verification=haUtdhwN7kZ2jsGSgdCeYR8xWoildeg0Sj-gUmBcYxM, google-site-verification=s46KRx1Uj3cXKQhp8K-mpFRKejmxrItFSsmJHXodYPU, HJ2U0T1SU6LMVHH51D8PG7VVPR, facebook-domain-verification=t7jxp2o5xm9oe7ezro4njyojdggrte, v=spf1 include:_spf.dpgmmservices.nl  include:spf.protection.outlook.com include:_spf.google.com -all",,
[x],login.libelle.nl,"2.17.100.163, 2.17.100.162","2a02:26f0:ab00::5c7a:d731, 2a02:26f0:ab00::5c7a:d708","login.libelle.nl.edgekey.net, e68837.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],login2.libelle.nl,"2.17.100.138, 2.17.100.185","2a02:26f0:1700:5::5f65:1b6e, 2a02:26f0:1700:5::5f65:1b5f","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],media.libelle.nl,"23.32.238.89, 23.32.238.115","2a02:26f0:64::210:6b29, 2a02:26f0:64::210:6b42","media-dpgmm.edgesuite.net, a1919.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mijn.libelle.nl,"2.16.187.122, 2.16.187.88","2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a254","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mijnomgeving.libelle.nl,"95.101.111.167, 95.101.111.150","2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a254","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],mm.libelle.nl,195.137.215.60,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,r1.mm1.nl,,,,
[x],mms.libelle.nl,"52.222.236.19, 52.222.236.3, 52.222.236.51, 52.222.236.76",,mms.sp-prod.net,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront
[x],mobile.libelle.nl,"92.123.189.72, 92.123.189.24","2a02:26f0:d8::1740:c2b, 2a02:26f0:d8::1740:c33","dpgm-libelle-wc.edgekey.net, e127998.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],msoid.libelle.nl,"20.190.159.64, 20.190.159.2, 40.126.31.67, 40.126.31.71, 20.190.159.68, 20.190.159.73, 20.190.159.71, 20.190.159.4",,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net, www.next.a.prd.aadg.akadns.net","tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,True,azure
[x],opzeggen.libelle.nl,"92.123.189.50, 92.123.189.121","2a02:26f0:d8::1740:c39, 2a02:26f0:d8::1740:c48","ret.tapp.dpgmedia.cloud.edgekey.net, e123828.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],privacy.libelle.nl,,,d28ecyhx5ppqfy.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,
[x],probeer.libelle.nl,"54.229.241.31, 54.154.98.78, 54.73.3.5",,"dory2.onenet.nl, lb.dory2.production.tools.350400898297.eu-west-1.ext.cloud.onenet.nl, tool-dory2-produ-lb-c8bc-b12ea6563a421d0f.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
