input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,webserver,tech_,cdn,tls_mismatched,csp_domains_,final_url
alertmanager.gener8ads.com,Sign in ・ Cloudflare Access,200,30074,AS13335,CLOUDFLARENET,US,172.68.28.0/24,443,https://alertmanager.gener8ads.com:443,https,text/html,GET,172.67.70.129,/,-1250126186,2606:4700:20::681a:393,67,False,gener8.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,gener8.cloudflareaccess.com,cloudflare,cloudflare,HSTS,True,,https:,https://gener8.cloudflareaccess.com/cdn-cgi/access/login/alertmanager.gener8ads.com?kid=20b5c18c6e5db73ceca6f57f52f774eff47f4c951fb51d6c475d857d1d846a0e&redirect_url=%2F&meta=eyJraWQiOiJlY2YyZTNjZWJkYzBmMWU3MzQ0ZDRlZjQwZDc0MWNjZDBjNDkyNDZlM2RkODQxM2RhMTBhNTQyZjA0Yjk4MmUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMDkyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjIwYjVjMThjNmU1ZGI3M2NlY2E2ZjU3ZjUyZjc3NGVmZjQ3ZjRjOTUxZmI1MWQ2YzQ3NWQ4NTdkMWQ4NDZhMGUiLCJob3N0bmFtZSI6ImFsZXJ0bWFuYWdlci5nZW5lcjhhZHMuY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6ImNkNzRmZTMwMjY4ZDRmZGYxMzFlZGYzOTEzZTA4MGY4MGJkNjAzYWUyM2I3OTg3MTJmMjE2NGUwNTg1MTliMjQiLCJuYmYiOjE2ODM4MDA5MjAsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.yTNZDZ6r8uGMF-vdfGLHmxp4yjJ_awBUb2bPYvAmPIS2lFJo7RNvtALZyjt3E_ndMJavWs_TgiaK3b07X_OQRfJ_H5pX2438YgxZyrqpjP_Mg4XGMk3QigAaPk9Smavc3NBcfH8Q5J3ptkK5lWmW9GNF_HKwIYsl-GC9R7phZcadhByNxcEuVDpZuWmJrNhxVTybuV7soOl01BVJxA9Ac3jZJWU-RAoV9RMeCVcik4jHJwO8jqXh7_MZVxHTyDL26z-mBYpQzb1G3vEOSDx6spQClEFImuHGztcEWJiIAFiO3NFXN-KrWVrCfzx2xBKGMSPCAa97Sl0PIiOpdtEcNg
apps.gener8ads.com,,403,13,AS16509,AS16509,Unknown,34.240.0.0/12,80,http://apps.gener8ads.com:80,http,text/html,GET,34.246.127.31,/,1747910960,99.80.227.4,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,
clicks.gener8ads.com,404 Not Found,404,1750,AS13335,CLOUDFLARENET,US,172.68.28.0/24,443,https://clicks.gener8ads.com:443,https,text/html,GET,172.67.70.129,/,1950056468,2606:4700:20::681a:293,9,False,clicks.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,clicks.gener8ads.com,cloudflare,cloudflare,HTTP/3,True,,,
cluster.gener8ads.com,404 Not Found,404,1746,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://cluster.gener8ads.com:443,https,text/html,GET,104.26.3.147,/,-1194813863,2606:4700:20::681a:393,9,False,cluster.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,cluster.gener8ads.com,cloudflare,cloudflare,HTTP/3,True,,,
downloads.gener8ads.com,,200,17063,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://downloads.gener8ads.com:443,https,application/xml,GET,104.26.3.147,/,2028370544,2606:4700:20::681a:293,1,False,downloads.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,downloads.gener8ads.com,cloudflare,cloudflare,HTTP/3,True,,,
echo.gener8ads.com,404 Not Found,404,1752,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,443,https://echo.gener8ads.com:443,https,text/html,GET,104.26.3.147,/,-1643864386,2606:4700:20::681a:293,15,False,echo.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,echo.gener8ads.com,cloudflare,cloudflare,HTTP/3,True,,,
email-assets.gener8ads.com,Page Not Found,404,12268,AS13335,CLOUDFLARENET,US,172.68.28.0/24,443,https://email-assets.gener8ads.com:443,https,text/html,GET,172.67.70.129,/,1642790105,2606:4700:20::681a:393,99,False,email-assets.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,email-assets.gener8ads.com,cloudflare,cloudflare,HTTP/3,True,,,
grafana.gener8ads.com,Sign in ・ Cloudflare Access,200,30077,AS13335,CLOUDFLARENET,US,172.68.28.0/24,443,https://grafana.gener8ads.com:443,https,text/html,GET,172.67.70.129,/,108191049,2606:4700:20::681a:293,67,False,gener8.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,gener8.cloudflareaccess.com,cloudflare,cloudflare,HSTS,True,,https:,https://gener8.cloudflareaccess.com/cdn-cgi/access/login/grafana.gener8ads.com?kid=5777d4775db535954dc15a2f941d2bd888eb1ecf825ef564ed0ab7c39e3b1701&redirect_url=%2F&meta=eyJraWQiOiJlY2YyZTNjZWJkYzBmMWU3MzQ0ZDRlZjQwZDc0MWNjZDBjNDkyNDZlM2RkODQxM2RhMTBhNTQyZjA0Yjk4MmUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4MzgwMDkyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjU3NzdkNDc3NWRiNTM1OTU0ZGMxNWEyZjk0MWQyYmQ4ODhlYjFlY2Y4MjVlZjU2NGVkMGFiN2MzOWUzYjE3MDEiLCJob3N0bmFtZSI6ImdyYWZhbmEuZ2VuZXI4YWRzLmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiJmMWRhNzRhYTZmMWQ5ZTQzODJmYWU4MThjZTNmZmVlNTRkNGI2MjAwZmEyZTI3MjQ5NDYyMDQ0MDI5ZDEyN2YxIiwibmJmIjoxNjgzODAwOTIwLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.Va6ST0v_7MUMn3sVcWOnhgaUbFvMtlhaaXJSoTXiMw7FDakMhunJG6ftUGo9IWVdyMu8ajs4UdMqbOg2E861NW-pcnlL2FzdplB-AGJrr91qx8eOfMIXbtSgLfCHijU6OqlhZjzau71DjOTPFdCOzFW8brhWzB6FdwK2mbmB4n8q4ZozOIRUy75tFxTFogzfZDFqa7Iff1F51tEQ6F3J1S_C1rG-4sod4fH2txKsyCJGjYgbjWcSyLPkuHoq0MAQT00y7745auo5smaqmgQpLCbTgYR-j-szS4pIkMe0g0XkFJlHjtP_9YR5JULaSPQIQHHjavyuzx3xoKIwZ6y9Fw
help.gener8ads.com,Gener8 Help,200,59971,AS13335,CLOUDFLARENET,US,172.68.28.0/24,443,https://help.gener8ads.com:443,https,text/html,GET,172.67.70.129,/,-1840324437,2606:4700:20::681a:393,23,False,help.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",gener8ads.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",edf58d9dbaf314ac53f32e9823b1491d,1def42a4181424195f7731396748287914c84488d8b94f53f66f70e11afe2a32,True,ctls,help.gener8ads.com,cloudflare,cloudflare,Intercom Articles,True,,https://intercom.help,https://help.gener8ads.com/en/
notify.gener8ads.com,,404,19,AS15169,GOOGLE,US,34.111.0.0/16,443,https://notify.gener8ads.com:443,https,text/plain,GET,34.111.99.212,/,-138391155,34.111.99.212,2,False,notify.gener8ads.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T14:32:11Z,2023-06-22T14:32:10Z,CN=eu.mailgun.org,eu.mailgun.org,,eu.mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,07d921eb71cefde973035642ccf2b610,ecf90e2ae0a575df8d4a2399c822e03dee9bef06bb6f17c907032617fe34c26b,,ctls,notify.gener8ads.com,google,,,True,True,,
