input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,content_type,final_url,tls_mismatched
admin-eu-a.browser.cloud.com,,404,,admin-eu-a.browser.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=*.browser.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.browser.cloud.com,"Citrix Systems, Inc.",browser.cloud.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c9e71e468f451a2a6b966e7a40fe636a,4a5afef3c152c7b2691ebc8682e6195aa4511eb648ffc3a9423793b5bab3c68b,True,ctls,admin-eu-a.browser.cloud.com,azure,443,https://admin-eu-a.browser.cloud.com:443,https,Microsoft-HTTPAPI/2.0,GET,51.144.139.213,/,-1840324437,51.144.139.213,Microsoft HTTPAPI:2.0,1,False,True,,,,
admin-us-a.browser.cloud.com,,404,,admin-us-a.browser.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T00:00:00Z,2023-06-20T23:59:59Z,"CN=*.browser.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.browser.cloud.com,"Citrix Systems, Inc.",browser.cloud.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c9e71e468f451a2a6b966e7a40fe636a,4a5afef3c152c7b2691ebc8682e6195aa4511eb648ffc3a9423793b5bab3c68b,True,ctls,admin-us-a.browser.cloud.com,azure,443,https://admin-us-a.browser.cloud.com:443,https,Microsoft-HTTPAPI/2.0,GET,20.66.32.155,/,-1840324437,20.66.32.155,Microsoft HTTPAPI:2.0,1,False,True,,,,
agenthub-eastus-release-a.citrixworkspacesapi.net,Swagger UI,200,6703,agenthub-eastus-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7282697184e36fa81242885fac8bf06a,1ffa80afae9df06ee93c927da3344d6488e768dc411bfc03c22cb0ec863b8bd3,True,ctls,agenthub-eastus-release-a.citrixworkspacesapi.net,azure,443,https://agenthub-eastus-release-a.citrixworkspacesapi.net:443,https,,GET,52.150.55.190,/,-1840324437,52.150.55.190,HSTS,156,False,True,,text/html,https://agenthub-eastus-release-a.citrixworkspacesapi.net/swagger/ui/index,
agenthub-eu.citrixworkspacesapi.net,Swagger UI,200,6707,agenthub-westeurope-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,db619ef943d3d91017cb0a03b8d8ef33,3cec9eb08bc44ba15a078718c495600be30079881b10e72e876ec6c92cdb3801,True,ctls,agenthub-westeurope-release-a.citrixworkspacesapi.net,,443,https://agenthub-eu.citrixworkspacesapi.net:443,https,,GET,20.103.12.34,/,-1840324437,20.103.12.34,HSTS,156,False,,,text/html,https://agenthub-westeurope-release-a.citrixworkspacesapi.net/swagger/ui/index,
agenthub-us.citrixworkspacesapi.net,Swagger UI,200,6703,agenthub-eastus-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7282697184e36fa81242885fac8bf06a,1ffa80afae9df06ee93c927da3344d6488e768dc411bfc03c22cb0ec863b8bd3,True,ctls,agenthub-eastus-release-a.citrixworkspacesapi.net,azure,443,https://agenthub-us.citrixworkspacesapi.net:443,https,,GET,52.224.84.80,/,-1840324437,52.224.84.80,HSTS,156,False,True,,text/html,https://agenthub-eastus-release-a.citrixworkspacesapi.net/swagger/ui/index,
aggregation.citrixworkspacesapi.net,Swagger UI,200,6713,aggregation-westeurope-release-a.citrixworkspacesapi.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-31T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.citrixworkspacesapi.net, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",*.citrixworkspacesapi.net,"Citrix Systems, Inc.",citrixworkspacesapi.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,db619ef943d3d91017cb0a03b8d8ef33,3cec9eb08bc44ba15a078718c495600be30079881b10e72e876ec6c92cdb3801,True,ctls,aggregation-westeurope-release-a.citrixworkspacesapi.net,azure,443,https://aggregation.citrixworkspacesapi.net:443,https,,GET,40.74.35.115,/,-1840324437,40.74.35.115,HSTS,156,False,True,,text/html,https://aggregation-westeurope-release-a.citrixworkspacesapi.net/swagger/ui/index,
browser-receiver-a.browser.cloud.com,,400,351,browser-receiver-a.browser.cloud.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T13:35:06Z,2023-08-03T13:35:05Z,CN=cert00022-azurecdn.akamaized.net,cert00022-azurecdn.akamaized.net,,www.tjhzsteel.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a8b76df2d4881ed00d0dd24192982b2b,d37f8a3bd291a35c5083aaa24daf264e77961d4ebcf519477e108250c0ee6e73,,ctls,browser-receiver-a.browser.cloud.com,,443,https://browser-receiver-a.browser.cloud.com:443,https,Microsoft-HTTPAPI/2.0,GET,2.19.198.138,/,1742686700,2a02:26f0:1700:d::1737:6ea4,Microsoft HTTPAPI:2.0,3,False,,,application/xml,,
browser-receiver-b.browser.cloud.com,,400,351,browser-receiver-b.browser.cloud.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T06:13:26Z,2023-07-26T06:13:25Z,CN=cert00006-azurecdn.akamaized.net,cert00006-azurecdn.akamaized.net,,www.tenanet.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f0c9efb44dff850fa3ac72f906420a14,f6053961e49d1554c973c3abee04bc7078b22c6fce50cb5bad1f27d9e4834352,,ctls,browser-receiver-b.browser.cloud.com,,443,https://browser-receiver-b.browser.cloud.com:443,https,Microsoft-HTTPAPI/2.0,GET,2.19.198.104,/,1828999062,2a02:26f0:1700:d::1737:6ea4,Microsoft HTTPAPI:2.0,3,False,,,application/xml,,
browser.cloud.com,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,azure,443,https://browser.cloud.com:443,https,,GET,20.66.32.155,/,177980953,20.66.32.155,HSTS,21,False,True,https://recaptcha.net,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.3a0fa7c3-d3f5-45b1-8813-3e3829a91124,
cdn-australiaeast-release-a.citrixworkspacesapi.net,Citrix Secure Sign In,200,3905,accounts.cloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-24T00:00:00Z,2024-05-24T23:59:59Z,"CN=accounts.cloud.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",accounts.cloud.com,"Citrix Systems, Inc.",ctxathp-sharefileweb-tm-westeu.cloud.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ece6abda86c8a50c0082711778e0453e,9b91235d67bb57d3e3fc8de70f7086e96d1b0e165beea6c73e02d1b9256a68db,,ctls,accounts.cloud.com,,443,https://cdn-australiaeast-release-a.citrixworkspacesapi.net:443,https,,GET,104.126.37.152,/,-1934492965,104.126.37.185,HSTS,21,False,,cdn.pendo.io,text/html,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DRtmydVjvjLZBbU3qU3b8eQ%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth%26response_type%3Dcode%26scope%3Dopenid%2520email%2520profile%2520ctx_principal_aliases%2520offline_access%2520ctx_universal%2520ctx_adoid%2520allow_compressed_groups%26state%3Dhttps%253A%252F%252Fcitrix.cloud.com%252Foauth.f06f4669-9d35-4470-90c9-65a07767e6cb,
