new,host,soa,status_code,a,aaaa,cdn,cdn-name,ns,caa,cname,mx,txt
,a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"alexa.ns.cloudflare.com, finley.ns.cloudflare.com","mailto:devops@exodus.io, amazon.com, amazontrust.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, sectigo.com, awstrust.com",,,
,algo-api.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,algo.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,atom.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,atom4.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,avax-c.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,aws.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,bastion.devops.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,bitcoin.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,bitcoincashnode.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,bitcoinnew-d.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,bitcoinsv.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,blog.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,bsc.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,dash-insight.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,dash.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,,,
,dev.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,dev.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,devops-handbook.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,devops-handbook.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,docs.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.218, 104.18.18.218","2606:4700::6812:13da, 2606:4700::6812:12da",True,cloudflare,,,,,
,dogecoin.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,downloads.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.175.50, 104.17.174.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,email.exodus.io,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,34.110.180.34,,True,google,"ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net, ns-133.awsdns-16.com, ns-1482.awsdns-57.org",";, digicert.com, letsencrypt.org",mailgun.org,"mxa.mailgun.org, mxb.mailgun.org","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all"
,eng-handbook.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.9.235, 104.18.8.235","2606:4700::6812:8eb, 2606:4700::6812:9eb",True,cloudflare,,,,,
,engineer-handbook.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,eos.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,etc.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,eth.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,ethereumclassic.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,exchange-server.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:ae32, 2606:4700::6811:af32",True,cloudflare,,,,,
,exchange.exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50","2606:4700::6811:af32, 2606:4700::6811:ae32",True,cloudflare,,,,,
,exodus-javascript-sdk.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.18.218, 104.18.19.218, 108.162.193.166, 172.64.33.166, 173.245.59.166, 108.162.192.171, 172.64.32.171, 173.245.58.171","2606:4700::6812:12da, 2606:4700::6812:13da, 2606:4700:58::adf5:3ba6, 2803:f800:50::6ca2:c1a6, 2a06:98c1:50::ac40:21a6, 2606:4700:50::adf5:3aab, 2803:f800:50::6ca2:c0ab, 2a06:98c1:50::ac40:20ab",True,cloudflare,"frank.ns.cloudflare.com, jessica.ns.cloudflare.com","letsencrypt.org, comodoca.com, awstrust.com, pki.goog; cansignhttpexchanges=yes, amazontrust.com, amazon.com, digicert.com; cansignhttpexchanges=yes, sectigo.com, mailto:devops@exodus.io",,"aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com","ZOOM_verify_emqmMZ4pczQmoHB9Y0Fyz5, google-site-verification=gpW5eKu9KlNvWei1yklU9tivali8p1yF-oUmM_YA4Fw, knowbe4-site-verification=1a2f09b47086534dc02877287557f3bc, apple-domain-verification=ZuLhB5QDdsr18TCE, google-site-verification=V4fvLnzwKyTNnyp8dK9jXav_m3Jbla4Rbt1TYrSkt_4, 1password-site-verification=SNHNRTD3CFC7ZNRN4AXHU2XSZY, google-site-verification=T7O1btwraujmbnDF2jrQTE0nM-4654Ozqz3ymbTTdIg, v=spf1 include:_spf.google.com include:helpscoutemail.com include:mailgun.org a:exodus.com mx:exodus.com -all, keybase-site-verification=_ywwwvMyfkoAjqTnAMkjhBF3f5Taf3EtW74PLnt-tyk"
,exodus.io,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.174.50, 104.17.175.50, 108.162.193.166, 172.64.33.166, 173.245.59.166, 108.162.192.171, 172.64.32.171, 173.245.58.171","2606:4700::6811:ae32, 2606:4700::6811:af32, 2606:4700:58::adf5:3ba6, 2803:f800:50::6ca2:c1a6, 2a06:98c1:50::ac40:21a6, 2606:4700:50::adf5:3aab, 2803:f800:50::6ca2:c0ab, 2a06:98c1:50::ac40:20ab",True,cloudflare,"jessica.ns.cloudflare.com, frank.ns.cloudflare.com","letsencrypt.org, comodoca.com, amazontrust.com, sectigo.com, pki.goog; cansignhttpexchanges=yes, amazon.com, awstrust.com, digicert.com; cansignhttpexchanges=yes, mailto:devops@exodus.io",,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","1BQBGML93UP1L1DFW8W3RGNAODIH94MHSKJL0V9E, v=spf1 include:_spf.google.com include:helpscoutemail.com include:mg-spf.greenhouse.io include:spf.mtasv.net a:exodus.io mx:exodus.io -all, keybase-site-verification=zzy-DOlPZ9BotHVciGKLFgjc2JogtbTDKAAaiQ5PM-w, MS=ms98499207, 1password-site-verification=I46CC7MWCRHG7C64DAANHG235U, ovjvde0nfm43d4md1qvohji8of, mixpanel-domain-verify=fcdbaa77-5193-4671-b24d-f73a6cb42301, keybase-site-verification=jDBHSMDtgd2YcVt1oczuDaxkNWcP_5vL-3QzdBtVGVg, apple-domain-verification=45xdlSX5hW4QpF8f, segment-site-verification=seDwjcN7xpprjewPSf8UGlgLCOdnaIcf, ZOOM_verify_0p357HnsHNsEoSQdfN9Edo, google-site-verification=EFzddGHxTd2c1ONesq0pJfPTS1mlmcvpGTHUDHN_ux8, slack-domain-verification=zTMu4rBvX6H5ux7Ebq2lnI2kM10nej2wihrODkoO, d3tu3ahvbvks5uk30e1f4m61dh"
,exokit.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,exokit.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.8.235, 104.18.9.235","2606:4700::6812:8eb, 2606:4700::6812:9eb",True,cloudflare,,,,,
,exotest.ot.exodus.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,extension.exodus.com,"frank.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.19.218, 104.18.18.218","2606:4700::6812:13da, 2606:4700::6812:12da",True,cloudflare,,,,,
,fantom.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1e09, 2606:4700::6812:1f09",True,cloudflare,,,,,
,fiat-exchange-s.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,get.exodus.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com, ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,"67.199.248.12, 67.199.248.13",,,,,";, letsencrypt.org",cname.bitly.com,,
,get.exodus.io,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com, ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,"67.199.248.12, 67.199.248.13",,,,,";, letsencrypt.org",cname.bitly.com,,
,getc.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.31.9, 104.18.30.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
,geth.a.exodus.io,"alexa.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.30.9, 104.18.31.9","2606:4700::6812:1f09, 2606:4700::6812:1e09",True,cloudflare,,,,,
