new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,txt,ns,caa
[x],account.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.143,,,,,,,,
[x],api.protonvpn.ch,"ns1.protonvpn.ch, support.protonmail.ch",NOERROR,185.159.159.170,,,,,,,,
[x],ch-301.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],de-995.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],de-996.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],de-999.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],deb.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,178.63.100.36,,,,,,,,
[x],dev.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],download.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,,,,,
[x],feedback.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],football.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],forum.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],get.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.144,,,,,,,,
[x],ip.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ns3.protonvpn.ch,"ns1.protonvpn.ch, support.protonmail.ch",NOERROR,205.132.47.1,,,,,,,,
[x],partners-test.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.196.250, 104.21.34.42","2606:4700:3032::6815:222a, 2606:4700:3034::ac43:c4fa",True,cloudflare,,,,,
[x],partners.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.142,,,,,,,,
[x],ping.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.12,,,,,,,,
[x],pki.protonvpn.ch,"ns1.protonvpn.ch, support.protonmail.ch",NOERROR,185.159.159.147,,,,,,,,
[x],pki.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,178.63.100.36,,,,,,,,
[x],pricing.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],protonvpn.ch,"ns1.protonvpn.ch, support.protonmail.ch",NOERROR,"185.159.159.141, 185.70.42.150, 176.119.200.150, 205.132.47.1",,,,,,"google-site-verification=LSxT0K1tgDT07YLj4zsaYmWlG6ZzsJcyIjrEP5EHgDk, v=spf1 include:_spf.protonmail.ch mx ~all, protonmail-verification=7d23d313e553fb23eec6e7c602b665129e9f98ce, swisssign-check=CF0JHMTlTDNoES3rrknIRggocffSwqmzMb9X8YbjzK","ns2.protonvpn.ch, ns1.protonvpn.ch, ns3.protonvpn.ch","mailto:security@protonmail.com, swisssign.com, letsencrypt.org"
[x],pvpndeb.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,212.102.35.238,,,,,,,,
[x],repo.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
[x],repo2.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,212.102.35.237,,,,,,,,
[x],secure.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],sg.notify.protonvpn.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,u1348801.wl052.sendgrid.net,mx.sendgrid.net,v=spf1 ip4:167.89.36.91 -all,,
[x],stats.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],tests.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.156.70,,,,,,,,
[x],tools.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,176.9.120.227,,,,,,,,
[x],webrtc-test.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,109.236.81.103,,,,,,,,
[x],wikidc4v2a.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.63.38.154,,,,,,,,
[x],www.forum.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],www.partners.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.142,,,,partners.protonvpn.com,,,,
[x],www.protonvpn.ch,"ns1.protonvpn.ch, support.protonmail.ch",NOERROR,185.159.159.142,,,,,,,,
[x],www.protonvpn.com,"mitch.ns.cloudflare.com, dns.cloudflare.com",NOERROR,185.159.159.142,,,,,,,,
