new,host,a,cname,soa,status_code,aaaa,has_internal_ips,internal_ips,cdn,cdn-name,txt,mx,ns,caa
[x],adyaglssdta.rabobank.nl,"2.16.241.143, 2.16.241.154","adyaglssdta.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f19a, 2a02:26f0:480:c::210:f18f",,,,,,,,
[x],adyaglssp.rabobank.nl,"95.101.111.160, 95.101.111.183","adyaglssp.rabobank.nl.edgekey.net, e212300.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a24d, 2a02:26f0:3500:14::1724:a256",,,,,,,,
[x],api-sandbox-v10-acpt.rabobank.nl,54.144.128.85,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,
[x],apigw.integration.rabobank.nl,"95.101.111.160, 95.101.111.133","apigw.integration.rabobank.nl.edgekey.net, e104944.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:14::1724:a249, 2a02:26f0:3500:14::1724:a250",,,,,,,,
[x],apps.pcf-t01-we.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,v=spf1 -all,,"a1-191.akam.net, a7-64.akam.net, a20-66.akam.net, a18-65.akam.net, a3-67.akam.net, a12-64.akam.net",
[x],apps.pcf-t01.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,v=spf1 -all,,"a7-64.akam.net, a20-66.akam.net, a1-191.akam.net, a18-65.akam.net, a3-67.akam.net, a12-64.akam.net",
[x],apps.pcf-t02-we.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,v=spf1 -all,,"a18-65.akam.net, a20-66.akam.net, a12-64.akam.net, a7-64.akam.net, a1-191.akam.net, a3-67.akam.net",
[x],apps.pcf-t02.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
[x],atrc-acc.rabobank.nl,20.126.142.220,atr-acc.atralpamayoprd.azure.rabo.cloud,"ns1-03.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,
[x],ca2-ota-sign-ftm.services.rabobank.nl,,,,NOERROR,2602:fcbc:0:3::11,,,,,,,,
