input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,webserver,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_expired
accounts.rabobank.nl,Login - Rabobank - Error 706,404,1257,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,accounts.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-15T00:00:00Z,2023-09-15T23:59:59Z,"CN=accounts.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accounts.rabobank.nl,Cooperatieve Rabobank U.A.,knowledge.rabobank.nl,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,b72eaa414177090a61ae59ac90d45d97,0a9c113b3bd9103c633962aebd165c98bf7c65849ef067898e0fcb5317ce2839,ctls,accounts.rabobank.nl,,443,https://accounts.rabobank.nl:443,https,text/html,GET,2.16.187.144,/,-1623964817,,2a02:26f0:ab00::5c7a:d718,Nginx,18,False,,nginx,,,,
am.vc.rabobank.com,Pexip Infinity Connect,200,5724,AS8211,RABOBANK Rabobank ICT,NL,145.72.120.0/21,am.vc.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2024-01-16T23:59:59Z,"CN=vc.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",vc.rabobank.com,Cooperatieve Rabobank U.A.,eu.vc.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4294ca6ca83c26ce4bd93afed8980931,3215cc337d53b2440c29a226207013a5006a7bf2dd9c523853d34a22b03be421,ctls,am.vc.rabobank.com,,443,https://am.vc.rabobank.com:443,https,text/html,GET,145.72.124.72,/,-1670567179,https://am.vc.rabobank.com/webapp2/,145.72.124.72,HSTS,148,False,,Pexip Infinity,https://telemetryservice.firstpartyapps.oaspapps.com/telemetryservice/telemetryproxy.html,,,
amportal.rabobank.com,RCS Portal Europe,200,4970,AS36464,RABO-NA-BGP01,US,74.118.216.0/22,amportal.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-23T00:00:00Z,2023-09-26T23:59:59Z,"CN=amportal.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",amportal.rabobank.com,Cooperatieve Rabobank U.A.,amportal11.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d2ae28479c855b5a303863bbeb1ffcd,d2ff9cb6c5fe21a5f1cb3c118598c5e072461c69728e1404f77c04a1eaf900dd,ctls,amportal.rabobank.com,,80,http://amportal.rabobank.com:80,http,text/html,GET,74.118.216.76,/,-1820645443,https://amportal.rabobank.com/vpn/index.html,74.118.216.76,Apache,170,False,,Apache,,,,
amremote-pcy.rabobank.com,BIG-IP logout page,200,5274,AS36464,RABO-NA-BGP01,US,74.118.216.0/22,amremote-pcy.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,amremote-pcy.rabobank.com,,443,https://amremote-pcy.rabobank.com:443,https,text/html,GET,74.118.216.13,/,878647854,https://amremote-pcy.rabobank.com/my.logout.php3?errorcode=19,74.118.216.13,F5 BigIP,131,False,,BigIP,,True,,
amremote.rabobank.com,BIG-IP logout page,200,5274,AS36464,RABO-NA-BGP01,US,74.118.216.0/22,amremote.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,amremote.rabobank.com,,443,https://amremote.rabobank.com:443,https,text/html,GET,74.118.216.13,/,878647854,https://amremote.rabobank.com/my.logout.php3?errorcode=19,74.118.216.13,F5 BigIP,131,False,,BigIP,,,,
amremote11.rabobank.com,BIG-IP logout page,200,5274,AS36464,RABO-NA-BGP01,US,74.118.216.0/22,amremote11.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=remote.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL",remote.rabobank.com,Cooperatieve Rabobank U.A.,ocremote21.rabobank.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2d78665785ea923b3fbe120be80359ab,1f376794f6d5fb6fe619d5a66915e5bc8094ef893af4ac9faac4e844ac3da482,ctls,amremote11.rabobank.com,,443,https://amremote11.rabobank.com:443,https,text/html,GET,74.118.216.13,/,878647854,https://amremote11.rabobank.com/my.logout.php3?errorcode=19,74.118.216.13,F5 BigIP,131,False,,BigIP,,,,
ap.vc.rabobank.com,Pexip Infinity Connect,200,5724,AS8211,RABOBANK Rabobank ICT,NL,145.72.120.0/21,ap.vc.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2024-01-16T23:59:59Z,"CN=vc.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL",vc.rabobank.com,Cooperatieve Rabobank U.A.,eu.vc.rabobank.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4294ca6ca83c26ce4bd93afed8980931,3215cc337d53b2440c29a226207013a5006a7bf2dd9c523853d34a22b03be421,ctls,ap.vc.rabobank.com,,443,https://ap.vc.rabobank.com:443,https,text/html,GET,145.72.124.88,/,-1670567179,https://ap.vc.rabobank.com/webapp2/,145.72.124.88,HSTS,148,False,,Pexip Infinity,https://example.com,,,
api-sandbox-acpt.rabobank.nl,,401,63,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,api-sandbox-acpt.rabobank.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-07T00:00:00Z,2023-11-07T23:59:59Z,"CN=api-sandbox-acpt.rabobank.nl, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api-sandbox-acpt.rabobank.nl,Cooperatieve Rabobank U.A.,api-sandbox-acpt.rabobank.nl,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G3 TLS ECC SHA384 2020 CA1,DigiCert Inc,8962623a6c2cf8e5eb7ac0c74b72d596,9aa4f67ef50ab729ee62658937b63d5b5b3b4f181eb8661ddcb3d7bee9ea806e,ctls,api-sandbox-acpt.rabobank.nl,,443,https://api-sandbox-acpt.rabobank.nl:443,https,application/json,GET,2.16.187.25,/,-1002609318,,2a02:26f0:ab00::214:8e59,HSTS,1,False,,,,,,
api-uat.dasfn.rabobank.com,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,191.232.0.0/13,api-uat.dasfn.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-05-13T00:00:00Z,2023-05-16T23:59:59Z,"CN=api-uat.dasfn.rabobank.com, O=Cooperatieve Rabobank U.A., L=Utrecht, ST=Utrecht, C=NL, serialNumber=30046259, businessCategory=Private Organization, jurisdictionCountry=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api-uat.dasfn.rabobank.com,Cooperatieve Rabobank U.A.,api-uat.dasfn.rabobank.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,07dd3890e27a8fab30cf53189f386232,9a070cbcccfb9035c73caa9c54552886fdf6af4f5a026d1c476eb547187c938e,ctls,api-uat.dasfn.rabobank.com,azure,443,https://api-uat.dasfn.rabobank.com:443,https,application/json,GET,191.233.23.30,/,-326256188,,191.233.23.30,,1,False,True,,,,,
api-uat.digitalbrazil.rabobank.com,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,191.232.0.0/13,api-uat.digitalbrazil.rabobank.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=www-uat.digitalbrazil.rabobank.com, O=Cooperatieve Rabobank U.A., ST=Utrecht, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL, serialNumber=09003091, businessCategory=Private Organization, jurisdictionCountry=NL",www-uat.digitalbrazil.rabobank.com,Cooperatieve Rabobank U.A.,portal-uat.digitalbrazil.rabobank.com,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,c443d5719cd6f5e7bdfc1bb7e2b4d475,2ffd17e78729f8bbe3cad911da75f44c2ac086f0161af9104714443a092d90ca,ctls,api-uat.digitalbrazil.rabobank.com,azure,443,https://api-uat.digitalbrazil.rabobank.com:443,https,application/json,GET,191.233.23.30,/,-326256188,,191.233.23.30,,1,False,True,,,,,
