new,host,a,cname,soa,status_code,cdn,cdn-name,txt,ns,has_internal_ips,internal_ips,mx,caa,aaaa
[x],_spf1.gotinder.com,,,"ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 ip4:167.89.33.183 ip4:167.89.33.215 ip4:167.89.33.44 ip4:167.89.33.47 ip4:167.89.33.73 ip4:167.89.33.78 ip4:167.89.40.6 ip4:167.89.45.117 ip4:167.89.5.213 ip4:54.236.202.181 ip4:54.236.222.140 ip4:54.200.116.177/32 ~all,,,,,,
[x],_spf1.tinder.com,,,"ns-1483.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 ip4:54.236.202.181 ip4:54.236.222.140 ~all,,,,,,
[x],account.gotinder.com,"34.205.162.47, 18.204.84.48","webpxy.gotinder.com, web.d.ue1az.gotinder.com",,NOERROR,,,,,,,,,
[x],account.ue1.d1.tstaging.com,,,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d1-ue1-a-v1,external-dns/resource=service/ingress-nginx/selfserviceui-ingress","ns-1374.awsdns-43.org, ns-2011.awsdns-59.co.uk, ns-496.awsdns-62.com, ns-694.awsdns-22.net",,,,,
[x],account.ue1.d2.tstaging.com,,,"ns-1354.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d2-ue1,external-dns/resource=service/ingress-nginx/selfserviceui-ingress",,,,,,
[x],account.ue1.d4.tstaging.com,"52.55.88.247, 54.164.220.130, 35.175.22.161",,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],account.ue1.stg1.tstaging.com,"100.25.73.202, 35.169.246.59, 52.21.177.99",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=stg1-ue1,external-dns/resource=service/ingress-nginx/selfserviceui-ingress",,,,,,
[x],airflow.ue1.stg1.tstaging.com,"54.198.197.27, 54.235.214.237, 34.192.225.71",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=stg1-ue1,external-dns/resource=service/ingress-nginx/airflow-ingress",,,,,,
[x],airflowflower.ue1.d1.tstaging.com,"34.195.184.8, 52.6.195.33",,"ns-694.awsdns-22.net, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d1-ue1-a-v1,external-dns/resource=ingress/airflowflower/alb-ingress","ns-1374.awsdns-43.org, ns-2011.awsdns-59.co.uk, ns-496.awsdns-62.com, ns-694.awsdns-22.net",,,,,
[x],airflowflower.ue1.stg1.tstaging.com,"107.20.1.127, 54.173.176.95, 3.216.157.67",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=stg1-ue1,external-dns/resource=ingress/airflowflower/alb-ingress",,,,,,
[x],airflowflower.ue1.tinderops.net,"44.197.48.121, 3.230.133.17, 3.219.77.192","noncust-tools.ue1.tinderops.net, noncust-tools-prod-ue1-1359180843.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflowflower.ue1az.tinderops.net,"52.203.220.116, 44.206.68.133, 34.195.105.164, 54.158.198.143","noncust-tools.ue1az.tinderops.net, noncust-tools-prd-ue1az-1004193043.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflowwebserver.ue1.d4.tstaging.com,"52.205.70.131, 54.152.112.212, 3.215.239.183",,"ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=d4-ue1,external-dns/resource=ingress/airflowwebserver/alb-ingress",,,,,,
[x],airflowwebserver.ue1.stg1.tstaging.com,"54.152.8.202, 54.198.165.166, 52.71.36.153",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"heritage=external-dns,external-dns/owner=stg1-ue1,external-dns/resource=ingress/airflowwebserver/alb-ingress",,,,,,
[x],airflowwebserver.ue1.tinderops.net,"3.219.77.192, 44.197.48.121, 3.230.133.17","noncust-tools.ue1.tinderops.net, noncust-tools-prod-ue1-1359180843.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],airflowwebserver.ue1az.tinderops.net,"44.206.68.133, 34.195.105.164, 52.203.220.116, 54.158.198.143","noncust-tools.ue1az.tinderops.net, noncust-tools-prd-ue1az-1004193043.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],android-adr-docs.mobile.tstaging.com,"52.217.105.27, 52.217.38.43, 52.217.98.99, 52.217.132.213, 52.216.101.66, 52.217.204.77, 52.216.60.69, 52.217.80.219",,"ns-614.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-cf.as1.gotinder.com,"15.207.173.113, 3.6.248.0",,"ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-cloudfront-failover.gotinder.com,,dzf1174d4gjln.cloudfront.net,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"ns-1088.awsdns-08.org, ns-1693.awsdns-19.co.uk, ns-285.awsdns-35.com, ns-875.awsdns-45.net",,,,,"2600:9000:224a:2000:f:5c67:cec0:93a1, 2600:9000:224a:e000:f:5c67:cec0:93a1, 2600:9000:224a:8000:f:5c67:cec0:93a1, 2600:9000:224a:1000:f:5c67:cec0:93a1, 2600:9000:224a:3a00:f:5c67:cec0:93a1, 2600:9000:224a:3800:f:5c67:cec0:93a1, 2600:9000:224a:6800:f:5c67:cec0:93a1, 2600:9000:224a:be00:f:5c67:cec0:93a1"
[x],api-cloudfront.a.ue1.stg1.tstaging.com,"35.169.151.131, 52.45.23.229",,"ns-1935.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-cloudfront.ue1.d3.tstaging.com,"18.164.52.21, 18.164.52.70, 18.164.52.95, 18.164.52.121",d2ou8sm0vxs6od.cloudfront.net,,NOERROR,True,cloudfront,,,,,,,
[x],api-geo.as1.gotinder.com,"52.206.84.62, 34.224.154.34, 3.211.40.250, 18.235.107.36, 34.205.56.200, 44.194.151.246, 34.231.62.67, 44.198.132.25","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.a.ue1az.gotinder.com, api.b.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-geo.gotinder.com,"54.85.217.144, 52.204.141.66, 34.197.150.143, 54.86.195.215, 52.54.136.116, 35.174.93.34, 23.23.201.244, 35.173.40.116","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.c.ue1az.gotinder.com, api.b.ue1az.gotinder.com, api.a.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-mr.as1.gotinder.com,"18.234.21.125, 54.209.23.28, 54.224.223.249, 52.3.127.88, 50.17.152.180, 54.236.230.55, 52.1.54.141, 50.16.33.102","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.b.ue1az.gotinder.com, api.a.ue1az.gotinder.com, api.c.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-split.as1.gotinder.com,"65.0.191.4, 13.234.106.224",api-cf.as1.gotinder.com,"ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-traffic.as1.gotinder.com,"44.198.132.25, 3.211.40.250, 52.206.84.62, 34.200.24.152, 18.235.107.36, 34.224.154.34, 34.205.56.200, 34.231.62.67","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.a.ue1az.gotinder.com, api.b.ue1az.gotinder.com, api.d.ue1az.gotinder.com, api.c.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-traffic.gotinder.com,"18.235.107.36, 34.200.24.152, 34.202.31.51, 34.205.56.200, 44.194.151.246, 34.231.62.67, 52.206.84.62, 44.198.132.25","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.a.ue1az.gotinder.com, api.d.ue1az.gotinder.com, api.c.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-trafficsplit.as1.gotinder.com,"54.209.23.28, 18.234.21.125, 54.236.230.55, 54.224.223.249, 50.17.152.180, 3.210.49.232, 35.169.141.177, 52.1.54.141","api-cloudfront.gotinder.com, api-ue1az.gotinder.com, api.b.ue1az.gotinder.com","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-ue1az.gotinder.com,"54.85.217.144, 34.197.150.143, 54.86.195.215, 23.21.224.187, 23.23.201.244, 35.173.40.116, 35.174.93.34, 3.227.47.152",api.c.ue1az.gotinder.com,,NOERROR,,,,,,,,,
[x],api.a.ue1az.gotinder.com,"52.206.84.62, 34.224.154.34, 3.211.40.250, 18.235.107.36, 34.205.56.200, 44.194.151.246, 34.231.62.67, 44.198.132.25",,"ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
