new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],aaa.vlerick.com,193.190.150.53,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],adfs.vlerick.com,193.190.150.74,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],adfsportal.vlerick.com,193.190.150.51,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],api.uat.vlerick.com,51.145.247.35,,"vlerick-uat-apimgmt.azure-api.net, apimgmttmefqlasn0jwxm36lvdzdnewqiehrhebotqbb7t5yil.trafficmanager.net, vlerick-uat-apimgmt-westeurope-01.regional.azure-api.net, apic8ba20c7a6484a8093ccdf3d3eb3c110rjnk7zffq3meformfmgtf.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],api.vlerick.com,51.144.36.225,,"vlerick-prd-apimgmt.azure-api.net, apimgmttm5qhq2tizlwetxehwow8ftqohiai3dytfjw7wxlmoy.trafficmanager.net, vlerick-prd-apimgmt-westeurope-01.regional.azure-api.net, apimgmthscjlykmsuscn3batcspkkesc9nfzh7im75ury42xmb.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
[x],apply.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],auth.test.vlerick.com,193.190.150.54,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],auth.uat.vlerick.com,193.190.150.45,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],auth.vlerick.com,193.190.150.52,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],autodiscover.vlerick.com,"40.99.204.184, 52.97.176.8, 52.98.232.56, 40.101.83.24","2603:1026:c03:3000::8, 2603:1026:c03:707e::8, 2603:1026:c03:6024::8, 2603:1026:c03:7073::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,,,
[x],bcbi.vlerick.com,188.93.102.23,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],blog.vlerick.com,,,redirect.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],clearpass.vlerick.com,10.0.2.203,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,True,10.0.2.203,
[x],click.email.vlerick.com,,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
[x],dam.vlerick.com,"108.138.7.32, 108.138.7.29, 108.138.7.95, 108.138.7.3","2600:9000:2490:6000:18:58a2:7d80:93a1, 2600:9000:2490:1e00:18:58a2:7d80:93a1, 2600:9000:2490:a00:18:58a2:7d80:93a1, 2600:9000:2490:b200:18:58a2:7d80:93a1, 2600:9000:2490:a800:18:58a2:7d80:93a1, 2600:9000:2490:8c00:18:58a2:7d80:93a1, 2600:9000:2490:800:18:58a2:7d80:93a1, 2600:9000:2490:e200:18:58a2:7d80:93a1",rr-dam-vlerick-com.getbynder.com,"ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,amazon.com
[x],dev.test.vlerick.com,193.190.150.54,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],dev.uat.vlerick.com,193.190.150.45,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],dev.vlerick.com,193.190.150.52,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],e.uat.vlerick.com,"185.136.65.6, 185.136.64.6, 185.136.65.7, 185.136.64.7",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,,,return.flowmailer.net,v=spf1 include:spf.flowmailer.net ~all,,,,"entrust.net, mailto:abuse@flowmailer.com, letsencrypt.org, sectigo.com, digicert.com, quovadisglobal.com"
[x],edu.vlerick.com,193.190.150.56,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,edu-vlerick-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com -all, MS=ms13160272",,,,
[x],edutest.vlerick.com,,,,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,edutest-vlerick-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com -all, v=msv1 t=7bf76791c9639442adc09f39c19a22",,,,
[x],email.vlerick.com,161.71.33.242,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,v=spf1 include:cust-spf.exacttarget.com -all,"ns2.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com, ns4.exacttarget.com",,,
[x],enjoychange.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
[x],enrol.vlerick.com,193.190.150.59,,web02.vlerick.com,"ns1-06.azure-dns.com, hostmaster.vlerick.com",NOERROR,,,,,,,,
