new,host,a,soa,status_code,cname,ns,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,caa,mx,txt
[x],21d7aa71-45ec-4052-804b-fe96a8faf566.unifi-hosting.ui.com,46.101.108.113,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],4fingers.ui.com,"52.222.236.97, 52.222.236.36, 52.222.236.111, 52.222.236.69","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1469.awsdns-55.org, ns-1849.awsdns-39.co.uk, ns-277.awsdns-34.com, ns-656.awsdns-18.net",True,cloudfront,,,,,,
[x],82e82164-e2a9-4a17-97e8-72e5a0c8e06b.unifi-hosting.ui.com,137.184.64.212,"ns-1508.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a1203.ui.com,"143.204.215.129, 143.204.215.62, 143.204.215.88, 143.204.215.106","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],aalto.ui.com,"18.66.122.4, 18.66.122.56, 18.66.122.65, 18.66.122.88","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],abcd.ui.com,,"ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],access-master.ui.com,"18.65.39.91, 18.65.39.92, 18.65.39.71, 18.65.39.73","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],adderley.ui.com,"52.222.236.42, 52.222.236.111, 52.222.236.46, 52.222.236.44","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],adtech.ui.com,"99.84.108.26, 99.84.108.104, 99.84.108.14, 99.84.108.28","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],affinity.ui.com,"18.66.97.59, 18.66.97.51, 18.66.97.103, 18.66.97.10","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
[x],airmax-liteap.dev.ui.com,"54.68.1.75, 54.212.116.163","ns-1044.awsdns-02.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],airwave.ui.com,"13.226.153.49, 13.226.153.96, 13.226.153.41, 13.226.153.121","ns-1849.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,,
