new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt
,accounts.moneytree.jp,"35.74.182.216, 35.74.176.194",whispering-eyrie-9627.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,api-direct.moneytree.jp,"35.74.176.194, 35.74.182.216",whispering-eyrie-9627.fierce-springs-2127.herokuspace.com,"ns-43.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,api-sandbox.moneytree.jp,"18.66.97.4, 18.66.97.10, 18.66.97.27, 18.66.97.50",d1ns86u1fwz6mi.cloudfront.net,"ns-1470.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223c:5e00:1f:1356:1280:93a1, 2600:9000:223c:8000:1f:1356:1280:93a1, 2600:9000:223c:4c00:1f:1356:1280:93a1, 2600:9000:223c:c00:1f:1356:1280:93a1, 2600:9000:223c:4000:1f:1356:1280:93a1, 2600:9000:223c:e800:1f:1356:1280:93a1, 2600:9000:223c:4800:1f:1356:1280:93a1, 2600:9000:223c:7400:1f:1356:1280:93a1","ns-489.awsdns-61.com, ns-941.awsdns-53.net, ns-1470.awsdns-55.org, ns-1807.awsdns-33.co.uk",True,cloudfront,,
,api.moneytree.jp,"18.66.122.76, 18.66.122.78, 18.66.122.129, 18.66.122.17",d144rgwnx12y3e.cloudfront.net,"ns-1583.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2250:fe00:6:653:8680:93a1, 2600:9000:2250:5a00:6:653:8680:93a1, 2600:9000:2250:3800:6:653:8680:93a1, 2600:9000:2250:a000:6:653:8680:93a1, 2600:9000:2250:6600:6:653:8680:93a1, 2600:9000:2250:a00:6:653:8680:93a1, 2600:9000:2250:c200:6:653:8680:93a1, 2600:9000:2250:d000:6:653:8680:93a1","ns-1583.awsdns-05.co.uk, ns-74.awsdns-09.com, ns-1055.awsdns-03.org, ns-533.awsdns-02.net",True,cloudfront,,
,api2.moneytree.jp,,d3m7fujdo2x8m1.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,
,app-staging.getmoneytree.com,"188.114.97.0, 188.114.96.0",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3120::, 2a06:98c1:3121::",,True,cloudflare,,
,app.getmoneytree.com,"188.114.97.0, 188.114.96.0",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::, 2a06:98c1:3120::",,True,cloudflare,,
,assets-staging.moneytree.jp,"18.160.18.47, 18.160.18.116, 18.160.18.115, 18.160.18.76, 205.251.193.214, 205.251.195.9, 205.251.196.145, 205.251.198.45",d2bcjvq67n3271.cloudfront.net,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1581.awsdns-05.co.uk, ns-470.awsdns-58.com, ns-777.awsdns-33.net, ns-1169.awsdns-18.org",True,cloudfront,,
,assets.getmoneytree.com,"104.21.83.90, 172.67.220.238",,"pat.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:3033::ac43:dcee, 2606:4700:3031::6815:535a",,True,cloudflare,,
,assets.moneytree.jp,"143.204.89.100, 143.204.89.101, 143.204.89.79, 143.204.89.94",d3omjjb104pzuo.cloudfront.net,"ns-1921.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2156:4c00:1c:68f5:7000:93a1, 2600:9000:2156:5c00:1c:68f5:7000:93a1, 2600:9000:2156:7e00:1c:68f5:7000:93a1, 2600:9000:2156:9600:1c:68f5:7000:93a1, 2600:9000:2156:d600:1c:68f5:7000:93a1, 2600:9000:2156:f200:1c:68f5:7000:93a1, 2600:9000:2156:f400:1c:68f5:7000:93a1, 2600:9000:2156:4600:1c:68f5:7000:93a1","ns-291.awsdns-36.com, ns-559.awsdns-05.net, ns-1170.awsdns-18.org, ns-1921.awsdns-48.co.uk",True,cloudfront,,
