new,host,a,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa,aaaa
[x],17-121-122-116.eventbrite.com,"13.224.189.126, 13.224.189.8, 13.224.189.58, 13.224.189.91",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk",NOERROR,True,cloudfront,,,,
[x],7wkbk.www.eventbrite.nl,,d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,
[x],academy.eventbrite.com,"52.222.236.68, 52.222.236.30, 52.222.236.42, 52.222.236.46",d2k019gilbe7ke.cloudfront.net,"ns-1958.awsdns-52.co.uk, awsdns-hostmaster.amazon.com","ns-119.awsdns-14.com, ns-634.awsdns-15.net, ns-1250.awsdns-28.org, ns-1958.awsdns-52.co.uk",NOERROR,True,cloudfront,,,,
[x],accessalt.www.eventbrite.nl,"13.224.189.8, 13.224.189.58, 13.224.189.91, 13.224.189.126",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk",NOERROR,True,cloudfront,,,,
[x],account-tempcontainer-corporate.www.eventbrite.nl,"52.222.139.4, 52.222.139.74, 52.222.139.113, 52.222.139.100",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org",NOERROR,True,cloudfront,,,,
[x],accountapi-repositoryerpalt.www.eventbrite.nl,"52.222.139.74, 52.222.139.4, 52.222.139.113, 52.222.139.100",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org",NOERROR,True,cloudfront,,,,
[x],accountsintl.www.eventbrite.nl,"13.224.189.91, 13.224.189.58, 13.224.189.8, 13.224.189.126",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,
[x],aceswrm-po-04.www.eventbrite.nl,"52.222.139.74, 52.222.139.100, 52.222.139.4, 52.222.139.113",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,
[x],alphaprods3-eu.www.eventbrite.nl,"13.224.189.58, 13.224.189.8, 13.224.189.91, 13.224.189.126",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-2025.awsdns-61.co.uk, ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org",NOERROR,True,cloudfront,,,,
[x],apis3signuprelay-config-redirect.www.eventbrite.nl,"13.224.189.126, 13.224.189.8, 13.224.189.58, 13.224.189.91",d3o36vj0gwxqjp.cloudfront.net,"ns-229.awsdns-28.com, awsdns-hostmaster.amazon.com","ns-229.awsdns-28.com, ns-972.awsdns-57.net, ns-1377.awsdns-44.org, ns-2025.awsdns-61.co.uk",NOERROR,True,cloudfront,,,,
