new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,caa,txt,mx
[x],acc-abonnement.demorgen.be,"23.213.161.217, 23.213.161.208","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"crm.dpp.edgekey.net, e15443.dscb.akamaiedge.net",,,"2a02:26f0:ab00::214:8e53, 2a02:26f0:ab00::5c7a:d713",,,
[x],acc-mobilebackend.demorgen.be,"96.16.54.192, 96.16.54.187","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2a02:26f0:d8::1740:c2a, 2a02:26f0:d8::1740:c41",,,
[x],acc.demorgen.be,"23.61.11.165, 23.61.11.152","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2600:1408:5400:1d::173d:b98, 2600:1408:5400:1d::173d:ba5",,,
[x],account.demorgen.be,"2.17.100.242, 2.17.100.131","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpgm-account.edgekey.net, e123360.dscb.akamaiedge.net",,,"2a02:26f0:ab00::214:8e42, 2a02:26f0:ab00::214:8e60",,,
[x],accounts.acc-voordelen.demorgen.be,"52.17.121.244, 52.19.57.181, 52.30.9.119, 52.31.157.92, 52.49.16.186, 52.212.156.205, 54.229.120.124, 52.17.82.217","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com",,,,,,
[x],accounts.demorgen.be,"52.212.156.205, 52.19.57.181, 52.30.9.119, 52.17.121.244, 52.49.16.186, 52.31.157.92, 54.229.120.124, 52.17.82.217","dns1.p01.nsone.net, hostmaster.nsone.net, ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"accounts-ad-nl.sslproxy.gigya.com, sslproxy.eu1.gigya.com, lb.eu1.gigya.com",,,,,,
[x],beta.demorgen.be,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,,,,
[x],blogs.demorgen.be,,,NOERROR,,,,,,,
[x],bouwjestad.demorgen.be,"62.115.252.57, 80.239.137.139","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2001:2030:21::3e73:fc39, 2001:2030:21::50ef:898b",,,
[x],brandedcontent.demorgen.be,"62.115.252.26, 80.239.137.146","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"common1.dpp.edgekey.net, e15441.dscb.akamaiedge.net",,,"2001:2030:21::3e73:fc1a, 2001:2030:21::50ef:8992",,,
[x],cmp.demorgen.be,"13.32.121.91, 13.32.121.98, 13.32.121.43, 13.32.121.85","ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,cdn-1294.privacy-mgmt.com,True,cloudfront,,,,
[x],deals.demorgen.be,146.185.53.23,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
[x],dev.bouwjestad.demorgen.be,"23.61.11.171, 23.61.11.140","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dmo.dpp.edgekey.net, e15453.dscb.akamaiedge.net",,,"2600:1408:5400:1d::173d:b8c, 2600:1408:5400:1d::173d:bab",,,
[x],digitalekrant.demorgen.be,"46.30.127.86, 46.30.127.87, 46.30.127.88, 46.30.126.135, 46.30.126.143, 46.30.126.155, 46.30.126.159, 46.30.127.83, 46.30.127.84, 46.30.127.85","ns1.dlx.dk, ks.dlx.dk",NOERROR,www.e-pages.dk,,,,"mailto:ks@dlx.dk, buypass.com, digicert.com, letsencrypt.org, sectigo.com",,
[x],dmcityantwerpen.demorgen.be,146.185.53.23,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
[x],dmcitybrussel.demorgen.be,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
[x],dmcitygent.demorgen.be,146.185.53.23,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
[x],dmcityleuven.demorgen.be,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,dpp-public-cl21.persgroep-ops.net,,,,,,
[x],dossiers.demorgen.be,"23.34.82.198, 23.34.82.218","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,,,,
[x],download.demorgen.be,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,
[x],e.email.demorgen.be,"185.136.64.7, 185.136.64.6, 185.136.65.7, 185.136.65.6","ns1.flowmailer.net, contact.flowmailer.net",NOERROR,web.flowmailer.net,,,,"mailto:abuse@flowmailer.com, digicert.com, quovadisglobal.com, letsencrypt.org, entrust.net, sectigo.com",v=spf1 include:spf.flowmailer.net ~all,return.flowmailer.net
[x],ebike.demorgen.be,"23.53.42.233, 23.53.43.40","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2a02:26f0:7100::210:14a, 2a02:26f0:7100::210:131",,,
[x],esales.demorgen.be,"2.16.241.153, 2.16.241.149","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2a02:26f0:480:c::210:f199, 2a02:26f0:480:c::210:f195",,,
[x],feedback.demorgen.be,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,v=spf1 include:mail.alliera.com ip4:62.2.139.50 ip4:77.109.144.50 ~all,
[x],ftp.demorgen.be,146.185.54.156,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,ftp14101.persgroep.be,,,,,,
[x],gesprokendagblad.demorgen.be,77.94.248.177,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,
[x],identificatie.demorgen.be,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,
[x],imap.demorgen.be,146.185.54.143,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,ssl20102.persgroep.be,,,,,,
[x],img.demorgen.be,"184.86.103.215, 184.86.103.207","n0dscd.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpgm-image-api.edgekey.net, e127453.dscd.akamaiedge.net",,,"2a02:26f0:fd00:15::213:a1a3, 2a02:26f0:fd00:15::213:a1b0",,,
[x],ims.demorgen.be,"88.221.24.24, 88.221.24.75","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"dpp-dmo-wc.edgekey.net, e29511.dscb.akamaiedge.net",,,"2a02:26f0:b200::58dd:192a, 2a02:26f0:b200::58dd:1928",,,
[x],kapiteinwinokio.demorgen.be,77.94.248.177,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,
