new,host,a,cname,soa,txt,status_code,has_internal_ips,internal_ips,ns,aaaa,mx,cdn,cdn-name,caa,ptr
[x],001-z4r7dasnvnlv4eam.zoomnode.zoomonprem.com,10.100.50.71,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.71,,,,,,,
[x],001-zauzu2y7kwrmowfz.zoommanagedtest-openam.zoomonprem.com,10.100.50.112,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.112,,,,,,,
[x],001-zdmhgsnxaj4vkxkw.zoomnode.zoomonprem.com,10.100.50.31,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.31,,,,,,,
[x],001-zf6467gybdimffc7.zoomsandbox-us.zoomonprem.com,10.100.56.42,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.56.42,,,,,,,
[x],001-zgiv4uo4iraiowbu.zoomnode.zoomonprem.com,10.100.50.96,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.96,,,,,,,
[x],001-zjb7na74ejm6tbqm.zoomnode.zoomonprem.com,10.100.50.109,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.109,,,,,,,
[x],001-zkbiy4ab2wnh34gr.zoomnode.zoomonprem.com,10.100.50.70,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.70,,,,,,,
[x],001-znbw675lztczl675.zoomnode.zoomonprem.com,10.100.50.70,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.70,,,,,,,
[x],001-zo7oumg4jtetgmk3.zoomnode.zoomonprem.com,10.100.50.87,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.87,,,,,,,
[x],001-zoa6iqvshcclrsbr.sfimk5hotmop.zoomonprem.com,10.100.50.187,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.187,,,,,,,
[x],001-zrlylslwremvhokx.zoomnode.zoomonprem.com,10.100.50.88,,"ns-774.awsdns-32.net, awsdns-hostmaster.amazon.com",,NOERROR,True,10.100.50.88,,,,,,,
