new,host,a,soa,ns,status_code,mx,txt,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,caa
[x],28bbe7485b6b4c12f8de02e5cc92cd452a0b5f4c-ios-1-10-1.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1156.awsdns-16.org, ns-1896.awsdns-45.co.uk, ns-25.awsdns-03.com, ns-945.awsdns-54.net",NOERROR,,,,,,,,,
[x],41jxc99l8s-android-8-2-0.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],5ejbnrs2-android-0-9-3-1.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9rijwk1f-android-2-5-0.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9rijwk1f-android-2-5-2.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9rijwk1f-android-2-5-3.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9rijwk1f-android-3-2-3.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9rijwk1f-android-4-1-3-0.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a1.notifications-delivery.mail.intercom.io,192.237.159.72,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a10.mail.intercom.io,104.130.122.37,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a1pq327c-android-1-3.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a1pq327c-android-4-1-1.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a2.mail.intercom.io,192.237.159.46,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a3.mail.intercom.io,166.78.71.243,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a4.mail.intercom.io,166.78.71.244,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a5.mail.intercom.io,192.237.159.22,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a6.mail.intercom.io,192.237.159.23,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a7.mail.intercom.io,192.237.159.38,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a8.mail.intercom.io,192.237.159.39,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a9.mail.intercom.io,104.130.122.36,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],ajdyi5r6-android.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirus.booking-api-pgvu23cp-ios-2-4.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirus.booking-apiawv0n6r-ios-10-4.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirus1-rkp9r87w-android.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],antivirus1.ipd319sn-android-3-1-4-1.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api-iam.au.intercom.io,"13.236.20.252, 3.105.195.22, 52.63.34.19","ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api-iam.eu.intercom.io,"99.81.24.68, 54.76.150.118, 63.34.164.219","ns-1202.awsdns-22.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api-iam.intercom.io,"107.22.31.116, 44.209.97.165, 18.214.14.231, 184.73.143.246, 50.16.210.222, 34.203.99.99, 52.87.100.101, 52.201.183.245","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com","ns-1478.awsdns-56.org, ns-1867.awsdns-41.co.uk, ns-661.awsdns-18.net, ns-97.awsdns-12.com",NOERROR,,,,,,,,,
[x],api-ping.intercom.io,"44.211.195.229, 52.87.100.101, 44.209.97.165, 54.80.248.17, 107.22.31.116, 52.201.183.245, 44.213.141.180, 34.203.99.99","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com","ns-1478.awsdns-56.org, ns-1867.awsdns-41.co.uk, ns-661.awsdns-18.net, ns-97.awsdns-12.com",NOERROR,,,,,,,,,
[x],api.intercom.io,"3.217.51.107, 3.229.104.85, 54.82.191.129, 34.238.207.145, 3.233.35.154, 34.234.155.77, 52.21.149.31, 18.233.43.208","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],app.intercom.io,"34.203.115.206, 34.201.238.158, 3.221.40.136, 54.87.122.167, 52.4.92.174, 3.217.115.14","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],atg-pg-catalog-stagingdb01-sjc1.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],au.intercom.io,,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com","ns-1363.awsdns-42.org, ns-2017.awsdns-60.co.uk, ns-604.awsdns-11.net, ns-95.awsdns-11.com",NOERROR,,,,,,,,,
[x],au.internal.intercom.io,205.251.193.140,"ns-396.awsdns-49.com, awsdns-hostmaster.amazon.com","ns-2043.awsdns-63.co.uk, ns-1318.awsdns-36.org, ns-396.awsdns-49.com, ns-882.awsdns-46.net",NOERROR,,,,,,,,2600:9000:5305:2600::1,
[x],auk9qjcf-android.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],b2r065l4-ios.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],b6ma41m3-ios-1-4-4.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],b7jijf0t-android.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],backupdns-examplestunnel-mx.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-fr.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],billing-external.internal.intercom.io,"54.227.196.250, 44.213.141.187, 52.201.124.49","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,billing-api-external-production-1479755112.us-east-1.elb.amazonaws.com,,,,
[x],bkv28uhm-ios.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],blog.intercom.io,"13.227.219.104, 13.227.219.91, 13.227.219.61, 13.227.219.36","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",,NOERROR,,,True,cloudfront,,,,,
[x],booking-api-pgvu23cp-ios-2-4.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],booking-apiawv0n6r-ios-10-4.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1156.awsdns-16.org, ns-1896.awsdns-45.co.uk, ns-25.awsdns-03.com, ns-945.awsdns-54.net",NOERROR,,,,,,,,,
[x],booking-apij71pnmws-ios.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bw0jknvf-android-1-9-1.mobile-sdk-api.intercom.io,,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bx6ssdy0-android.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],c32thwt1-android.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],c6lzax5n-android-4-0-5.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],c6lzax5n-android-4-6-0-1.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],c8bddxax-android-5-0-0.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cbql2fu0-android-1-0-6-4-4-0-6-5.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],contrail.internal.intercom.io,"10.0.53.127, 10.0.39.69, 10.0.46.66","ns-809.awsdns-37.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,"10.0.53.127, 10.0.39.69, 10.0.46.66",,
[x],criygh1s-android.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cset.corporate.intercom.io,"3.215.191.240, 107.23.146.89, 54.88.247.4, 52.203.115.219, 34.235.204.20, 52.7.176.163","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com","ns-1426.awsdns-50.org, ns-1723.awsdns-23.co.uk, ns-6.awsdns-00.com, ns-846.awsdns-41.net",NOERROR,,,,,,,,,
[x],ct0824z3-android-2-4.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com","ns-1156.awsdns-16.org, ns-1896.awsdns-45.co.uk, ns-25.awsdns-03.com, ns-945.awsdns-54.net",NOERROR,,,,,,,,,
[x],cxbzxiry-android-1-0-2-6.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],d1q2sn1w-android.mobile-sdk-api.intercom.io,"34.197.199.101, 52.86.133.128","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],d89bb09b8dd1e9d2ca3070b697a15059d6fbcc8b-ios.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],data.mobile-sdk-api.intercom.io,"52.86.133.128, 34.197.199.101","ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
