new,host,a,soa,status_code,ns,txt,aaaa,cdn,cdn-name,cname,caa,has_internal_ips,internal_ips,mx
[x],4softt.learn.mod.uk,80.71.1.181,"ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,,,,,,,,,
[x],acms.mod.uk,94.236.30.120,"ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,,,,,,,,,
[x],action.mod.uk,217.33.101.122,"ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,v=spf1 mx a:217.33.102.122 -all,,,,,,,,mx1.action.mod.uk
[x],ad.cortisone.dev.iace.mod.gov.uk,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,,,,
[x],admin.bader.mod.uk,"104.18.21.53, 104.18.20.53","ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,,"2606:4700::6812:1435, 2606:4700::6812:1535",True,cloudflare,,,,,
[x],aidu.ice.mod.gov.uk,,"ns-1600.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-481.awsdns-60.com, ns-987.awsdns-59.net, ns-1195.awsdns-21.org, ns-1600.awsdns-08.co.uk",,,,,,,,,
[x],aidu.mcn.ice.mod.gov.uk,,"ns-523.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1499.awsdns-59.org, ns-1985.awsdns-56.co.uk, ns-523.awsdns-01.net, ns-8.awsdns-01.com",,,,,,,,,
[x],airspace.raf.mod.uk,146.177.10.49,"ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,,,,,,,,,
[x],akxonline.defencegateway.mod.uk,"104.18.14.198, 104.18.15.198","ns0047.secondary.cloudflare.com, lf-cbm-ais-webexteammailbox.mod.uk",NOERROR,,,,True,cloudflare,,,,,
[x],alumni.raf.mod.uk,"108.138.17.31, 108.138.17.55, 108.138.17.83, 108.138.17.113","ns-685.awsdns-21.net, awsdns-hostmaster.amazon.com",NOERROR,,v=spf1 include:sendgrid.net ~all,,True,cloudfront,raf.alumni-services-001.com,,,,
