input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
*.defencegateway.mod.uk,502 Bad Gateway,502,524,defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,defencegateway.mod.uk,cloudflare,443,https://defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.14.198,/,30668879,104.18.15.198,Cloudflare Bot Management,13,False,True,,,,
*.gov.uk,Welcome to GOV.UK,200,102098,www.gov.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-18T14:45:01Z,2024-01-01T17:26:01Z,"CN=www.gov.uk, O=Government Digital Service, L=London, ST=Greater London, C=GB",www.gov.uk,Government Digital Service,gov.uk,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,04141fbc02d876dd10d1b2bc547f8a35,9f1e807971573e98a2a2934d1aafb50857e4957d43f0106e63fb2d8b9d6d1a79,True,ctls,www.gov.uk,fastly,443,https://gov.uk:443,https,nginx,text/html,GET,151.101.0.144,/,1190606557,2a04:4e42:200::144,Varnish,1039,False,True,,https://www.gov.uk/,www.region1.google-analytics.com,
akxonline.defencegateway.mod.uk,,403,13,akxonline.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,akxonline.defencegateway.mod.uk,cloudflare,443,https://akxonline.defencegateway.mod.uk:443,https,cloudflare,text/plain,GET,104.18.15.198,/,-1840324437,104.18.14.198,Microsoft SharePoint,1,False,True,,,,
api-dev.royalnavy.mod.uk,,403,16,api-dev.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,api-dev.royalnavy.mod.uk,cloudflare,443,https://api-dev.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.16.76,/,1253481126,2606:4700::6812:114c,Cloudflare Bot Management,1,False,True,,,,
api.defencegateway.mod.uk,403 - Forbidden: Access is denied.,403,1233,api.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,api.defencegateway.mod.uk,cloudflare,443,https://api.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.15.198,/,1631801191,104.18.14.198,Microsoft ASP.NET,30,False,True,,,,
api.ocp1.azure.dso.digital.mod.uk,404 Not Found,404,581,api.ocp1.azure.dso.digital.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-10T00:00:00Z,2023-11-10T23:59:59Z,CN=*.apps.ocp1.azure.dso.digital.mod.uk,*.apps.ocp1.azure.dso.digital.mod.uk,,apps.ocp1.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,28944e9614a23d4c02b450f8dd5e4691,f16ca7a5d3f998509937d6ed591b6696abcb8ef644959785f6e3db49e815a35e,True,ctls,api.ocp1.azure.dso.digital.mod.uk,,443,https://api.ocp1.azure.dso.digital.mod.uk:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.108.108.248,/,1129692473,20.108.108.248,,14,False,,True,,,
api.ukspoc.mod.gov.uk,403 Forbidden,403,199,api.ukspoc.mod.gov.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,2023-07-25T23:59:59Z,CN=ukspoc.mod.gov.uk,ukspoc.mod.gov.uk,,mock.ukspoc.mod.gov.uk,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",923f16a95d2d5718c31c7f71a305e64a,dae14c1af5b3d2f9ca7201e31624c46b5ec223bca483daf209a935f77be5ec58,,ctls,api.ukspoc.mod.gov.uk,,443,https://api.ukspoc.mod.gov.uk:443,https,Web Server,text/html,GET,18.135.185.218,/,-855688948,18.135.185.218,,8,False,,,https://api.ukspoc.mod.gov.uk/default,,
apigateway-pre.defencegateway.mod.uk,Integration Server Administrator,200,951,apigateway-pre.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T16:57:36Z,2023-06-16T16:57:35Z,CN=*.apigateway-pre.defencegateway.mod.uk,*.apigateway-pre.defencegateway.mod.uk,,apigateway-pre.defencegateway.mod.uk,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,705b93e73a6cc68a4da3cbb1464beaa4,61049fc49c893bff3d5a3b1bcdc4bb7ea2bde5d4b405e838d82bdf9c1011c7d2,True,ctls,apigateway-pre.defencegateway.mod.uk,cloudflare,443,https://apigateway-pre.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.7.167,/,-234335289,2606:4700::6812:7a7,Cloudflare,15,False,True,,,,
apigateway.defencegateway.mod.uk,Integration Server Administrator,200,951,apigateway.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,apigateway.defencegateway.mod.uk,cloudflare,80,http://apigateway.defencegateway.mod.uk:80,http,cloudflare,text/html,GET,104.18.15.198,/,-234335289,104.18.14.198,Cloudflare Bot Management,15,False,True,,https://apigateway.defencegateway.mod.uk/,,
app-main.stars.iace.mod.gov.uk,STARS,200,39468,app-main.stars.iace.mod.gov.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T23:44:17Z,2023-06-24T23:44:16Z,CN=app-main.stars.iace.mod.gov.uk,app-main.stars.iace.mod.gov.uk,,app.stars.iace.mod.gov.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,41da55cbfbdf3f6281e3894efbdb6840,21412da4895ea4eb2ac48d57d89a510ef4e7fe160092ed4c8cee1c19bffe3456,,ctls,app-main.stars.iace.mod.gov.uk,azure,443,https://app-main.stars.iace.mod.gov.uk:443,https,,text/html,GET,20.49.149.184,/,1494302000,20.49.149.184,HSTS,132,False,True,,,,
