input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,csp_domains_,tls_self_signed
abc.htc.com,403 Forbidden,403,555,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,abc.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2023-11-05T23:59:59Z,CN=abc.htc.com,abc.htc.com,,abc.htc.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7f1366e5dd7e60e34301d5386e095b08,d192f8b22732020ef759c6ca1bdef89f6447a0ac69acedd72acbea5d41b50667,ctls,abc.htc.com,443,https://abc.htc.com:443,https,nginx/1.22.1,text/html,GET,20.119.0.29,/,231531802,,20.119.0.29,Nginx:1.22.1,14,False,,,,,,
apmaintenance.htc.com,"System Announcemen
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"" />
<meta http-equiv=""X-UA-Compatible"" content=""IE=Edge;chrome=1"">
<title>System Announcement",200,5373,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,apmaintenance.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,apmaintenance.htc.com,443,https://apmaintenance.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,-1220558490,,23.201.250.189,Envoy,128,False,,,,,,
apu-chin.htc.com,Error,403,74,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,80,http://apu-chin.htc.com:80,http,,text/html,GET,114.30.34.32,/,-1463124301,,114.30.34.32,,1,False,,,,,,
apu-msg.htc.com,Error,403,74,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,apu-msg.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,apu-msg.htc.com,443,https://apu-msg.htc.com:443,https,,text/html,GET,114.30.34.33,/,-1463124301,,114.30.34.33,,1,False,True,,,,,
apus-liveimage.htc.com,403 Forbidden,403,409,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,apus-liveimage.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,apus-liveimage.htc.com,443,https://apus-liveimage.htc.com:443,https,Apache/2.2.15 (CentOS),text/html,GET,23.37.59.43,/,317876807,,23.37.59.43,CentOS,13,False,,,,,,
asiaapi.htc.com,403 - Forbidden: Access is denied.,403,1233,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,asiaapi.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,asiaapi.htc.com,443,https://asiaapi.htc.com:443,https,Microsoft-IIS/7.5,text/html,GET,23.212.216.237,/,1631801191,,23.212.216.237,Windows Server,30,False,,,,,,
asiachannel.htc.com,Runtime Error,500,3490,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,asiachannel.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-22T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,HTC Corporation,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7ee503258672f8257a240894be73a593,c7d81d078a120d00bb80f6034c88e9b995baf0cb38e1afc0df755eb5cd1056ec,ctls,asiachannel.htc.com,443,https://asiachannel.htc.com:443,https,istio-envoy,text/html,GET,23.201.250.189,/,1631801191,https://asiachannel.htc.com/Login.aspx?ReturnUrl=%2f,23.201.250.189,Microsoft ASP.NET:4.0.30319,83,False,,,,,,
autodiscover.htc.com,Outlook,200,58842,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,autodiscover.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,HTC Corporation,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,160310875a8b8b3133032517f4f9de3f,985e234e490e5a872a4b8684bef9cbd55c10d77fd246d535d5cc95ca291b11c6,ctls,autodiscover.htc.com,443,https://autodiscover.htc.com:443,https,,text/html,GET,122.147.173.173,/,1039186096,https://autodiscover.htc.com/owa/auth/logon.aspx?url=https%3a%2f%2fautodiscover.htc.com%2fowa%2f&reason=0,122.147.173.173,Outlook Web App:15.1.2375,1411,False,True,,,,,
bi.htc.com,Bad Request (400),400,143,AS396982,GOOGLE-CLOUD-PLATFORM,US,146.148.64.0/18,bi.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T10:13:13Z,2023-07-08T10:13:12Z,CN=crime-index.pinkerton.com,crime-index.pinkerton.com,,crime-index.pinkerton.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,10757dabd3cbb900521f94967b7a16f7,8b160e74b82a01b5313e0bdd338c133f60d78ea97d9c22821110e16d560100e8,ctls,bi.htc.com,443,https://bi.htc.com:443,https,nginx/1.14.0 (Ubuntu),text/html,GET,146.148.38.7,/,-1089532742,,146.148.38.7,Ubuntu,11,False,,True,google,True,,
blog.htc.com,BLOG,200,102263,AS20940,AKAMAI-ASN1,NL,23.208.0.0/12,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=www.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",www.htc.com,HTC Corporation,www.recamera.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1995c5fe3a1e85dbac518a77402336b1,2e96443015ab6679b142f939a84d3c1893419723ccf127592b0013a0bd624095,ctls,www.htc.com,443,https://blog.htc.com:443,https,nginx,text/html,GET,23.212.216.237,/,60899838,https://www.htc.com/blog/,23.212.216.237,Nginx,2508,False,,,,,https:,
