input,title,status_code,content_length,port,url,scheme,method,host,path,favicon,a_,lines,failed,webserver,content_type,tech_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,cdn_name,final_url,cdn,tls_subject_org_,tls_mismatched,tls_expired,tls_self_signed
155-9-171-19.security.datastax.com,,503,,443,https://155-9-171-19.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,155-9-171-19.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,155-9-171-19.security.datastax.com,,,,,,,,
155-9-210-88.security.datastax.com,,503,,443,https://155-9-210-88.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,155-9-210-88.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,155-9-210-88.security.datastax.com,,,,,,,,
155-9-218-88.security.datastax.com,,503,,443,https://155-9-218-88.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,155-9-218-88.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,155-9-218-88.security.datastax.com,,,,,,,,
155-9-62-14.security.datastax.com,,503,,80,http://155-9-62-14.security.datastax.com:80,http,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155-9-76-47.security.datastax.com,,503,,443,https://155-9-76-47.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,155-9-76-47.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,155-9-76-47.security.datastax.com,,,,,,,,
17-121-112-4.security.datastax.com,,503,,443,https://17-121-112-4.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,17-121-112-4.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,17-121-112-4.security.datastax.com,,,,,,,,
17-121-112-89.security.datastax.com,,503,,443,https://17-121-112-89.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,17-121-112-89.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,17-121-112-89.security.datastax.com,,,,,,,,
17-121-113-25.security.datastax.com,,503,,80,http://17-121-113-25.security.datastax.com:80,http,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-121-114-71.security.datastax.com,,503,,443,https://17-121-114-71.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,17-121-114-71.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,17-121-114-71.security.datastax.com,,,,,,,,
17-121-115-0.security.datastax.com,,503,,443,https://17-121-115-0.security.datastax.com:443,https,GET,3.94.44.251,/,-1840324437,3.94.44.251,1,False,,,,17-121-115-0.security.datastax.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-07T23:59:59Z,CN=security.datastax.com,security.datastax.com,*.security.datastax.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ecd4f32df91a621e43ced8bc0254dc18,a7cd43bbe47ff234cd22b153dc59f6a857dc9d5af4c8630689b592382ad57ebd,True,ctls,17-121-115-0.security.datastax.com,,,,,,,,
