input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_expired,tls_self_signed,location
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,fastly,443,https://mapbox.com:443,https,,text/html,GET,151.101.0.143,/,1556104729,151.101.192.143,Webflow,2201,False,True,https://www.mapbox.com/,,,,,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,True,ctls,mixpanel.com,google,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,True,,,,,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,fastly,443,https://tiles.mapbox.com:443,https,,text/html,GET,199.232.192.143,/,71544021,199.232.196.143,Webflow,2201,False,True,https://www.mapbox.com,,,,,
abritel.fr,"Abritel | Locations vacances, locations saisonnières : villa, maison",200,419953,www.abritel.fr,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-23T23:59:59Z,"CN=vrbo.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",vrbo.com,"Expedia Group, Inc.",*.abritel.fr,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f3306348945341114b2ce2d109cee5cb,845899a7094f15ed1b5514bd39b89e447e12a30999c0a6dbc3163106fc9c1db6,True,ctls,www.abritel.fr,,443,https://abritel.fr:443,https,,text/html,GET,199.247.90.18,/,997060724,199.247.90.18,Zipkin,576,False,,https://www.abritel.fr/,True,,,,
accommodation.ebookers.com,NameBright - Coming Soon,200,5314,,,,,,,,,,,,,,,,,,,,,80,http://accommodation.ebookers.com:80,http,,text/html,GET,34.197.121.219,/,977701182,34.228.163.56,,164,False,,,,,,,
accounts.expediagroup.com,Bot or Not?,429,345682,accounts.expediagroup.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-20T00:00:00Z,2023-09-22T23:59:59Z,"CN=*.expediagroup.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",*.expediagroup.com,"Expedia Group, Inc.",expediagroup.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f90b5ef4e29e870e5478cb06858db510,822f5b502bbaa5159d57c50e0f123ecb978ae03656260972bd50ee801ee52a84,True,ctls,accounts.expediagroup.com,,443,https://accounts.expediagroup.com:443,https,istio-envoy,text/html,GET,23.212.207.133,/,-1258314091,23.212.207.133,Zipkin,182,False,,,,,,,
accounts.homeaway.com,"Vrbo | Book your vacation rentals: beach houses, cabins, condos & more",200,418170,www.vrbo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-22T00:00:00Z,2023-11-23T23:59:59Z,"CN=vrbo.com, O=Expedia Group\, Inc., L=Seattle, ST=Washington, C=US",vrbo.com,"Expedia Group, Inc.",*.abritel.fr,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f3306348945341114b2ce2d109cee5cb,845899a7094f15ed1b5514bd39b89e447e12a30999c0a6dbc3163106fc9c1db6,True,ctls,www.vrbo.com,,443,https://accounts.homeaway.com:443,https,,text/html,GET,2.16.187.152,/,-124858428,2.16.187.48,Zipkin,532,False,,https://www.vrbo.com/,True,,,,
aceyus.expedia.com,Microsoft Internet Information Services 8,200,1398,aceyus.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T02:03:52Z,2024-03-24T02:03:52Z,"CN=*.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",*.expedia.com,"Expedia, Inc.",expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3dd2c38a735f4f3e574704634a26ab65,08ba25da441ce194ff749cf6fb2ef4c576096988aa9795e38df29afd2f8e35e9,True,ctls,aceyus.expedia.com,,443,https://aceyus.expedia.com:443,https,Microsoft-IIS/8.0,text/html,GET,173.209.82.42,/,1631801191,173.209.82.42,Windows Server,65,False,,,,,,,
aceyus.gslbcct.expedia.com,Microsoft Internet Information Services 8,200,1398,aceyus.gslbcct.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T02:03:52Z,2024-03-24T02:03:52Z,"CN=*.expedia.com, O=Expedia\, Inc., L=Seattle, ST=Washington, C=US",*.expedia.com,"Expedia, Inc.",expedia.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3dd2c38a735f4f3e574704634a26ab65,08ba25da441ce194ff749cf6fb2ef4c576096988aa9795e38df29afd2f8e35e9,True,ctls,aceyus.gslbcct.expedia.com,,443,https://aceyus.gslbcct.expedia.com:443,https,Microsoft-IIS/8.0,text/html,GET,173.209.82.42,/,1631801191,173.209.82.42,Windows Server,65,False,,,True,,,,
adbuilder.expedia.com,Expedia Group Ad Builder,200,4949,adbuilder.expedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-01T23:59:59Z,CN=adbuilder.expedia.com,adbuilder.expedia.com,,adbuilder.expedia.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f2ecdd538c170be3976e1d018d8779cb,55a8f8d3b630504704575c0ba3648bb9dcc06cd8cc729956c81d4236b6bfce1a,,ctls,adbuilder.expedia.com,,443,https://adbuilder.expedia.com:443,https,nginx,text/html,GET,107.23.238.9,/,1494302000,18.235.54.52,Nginx,65,False,,,,,,,
