new,host,a,soa,status_code,cdn,cdn-name,ns,aaaa,cname,mx,txt,caa,has_internal_ips,internal_ips
[x],155-9-206-59.staging.twist.com,"18.66.97.98, 18.66.97.114, 18.66.97.16, 18.66.97.5","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],423g23.staging.twist.com,"65.9.55.45, 65.9.55.108, 65.9.55.34, 65.9.55.125","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],7wkb2.staging.twist.com,"65.9.55.125, 65.9.55.34, 65.9.55.45, 65.9.55.108","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],a23-196-208-58.staging.twist.com,"18.244.155.58, 18.244.155.23, 18.244.155.67, 18.244.155.22","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],a72.staging.twist.com,"18.66.97.5, 18.66.97.98, 18.66.97.114, 18.66.97.16","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],acc.beta2.twist.com,"13.224.189.6, 13.224.189.119, 13.224.189.25, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],afrc-coin-sds.staging.twist.com,"18.165.83.110, 18.165.83.41, 18.165.83.99, 18.165.83.109","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],alpha-logs-miembros.staging.twist.com,"13.249.9.94, 13.249.9.46, 13.249.9.121, 13.249.9.4","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],alpha-wiki-controller-new-corp.staging.twist.com,"18.244.155.23, 18.244.155.22, 18.244.155.58, 18.244.155.67","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api-apppostman-cdn.twist.com,"13.224.189.25, 13.224.189.6, 13.224.189.119, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1217.awsdns-24.org, ns-1768.awsdns-29.co.uk, ns-440.awsdns-55.com, ns-666.awsdns-19.net",,,,,,,
[x],are.local.twist.com,"13.249.9.89, 13.249.9.40, 13.249.9.127, 13.249.9.53","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],async.ldap.twist.com,"13.224.189.119, 13.224.189.6, 13.224.189.25, 13.224.189.113","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],auth-yocumoil.twist.com,"52.85.242.81, 52.85.242.49, 52.85.242.23, 52.85.242.45","ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
