new,host,a,aaaa,soa,status_code,ns,cname,txt,cdn,cdn-name,caa,mx
[x],0.tcp.ap.ngrok.io,18.139.9.214,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0.tcp.ngrok.io,3.134.39.220,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],0.tcp.sa.ngrok.io,18.229.248.167,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0009d286.ngrok.io,3.134.39.220,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-146.awsdns-18.com, ns-1482.awsdns-57.org, ns-1654.awsdns-14.co.uk, ns-886.awsdns-46.net",,,,,,
[x],001715fe.ngrok.io,3.17.7.232,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0034-112-134-210-164.ngrok.io,3.22.30.40,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0038-188-156-142-185.ngrok-free.app,"3.125.209.94, 3.125.102.39, 3.125.223.134, 18.158.249.75, 18.192.31.165, 3.124.142.205","2a05:d014:21b:8e02::6e:5, 2a05:d014:21b:8e00::6e:0, 2a05:d014:21b:8e01::6e:1, 2a05:d014:21b:8e01::6e:4, 2a05:d014:21b:8e00::6e:3, 2a05:d014:21b:8e02::6e:2","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],004a074d.ngrok.io,3.13.191.225,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],006627da4220.ngrok.io,3.13.191.225,,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],00821b4c.ngrok.io,3.134.39.220,2600:1f16:d83:1200::6e:3,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],008ebc54.ngrok.io,3.13.191.225,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0091dd53.ngrok.io,3.14.182.203,2600:1f16:d83:1201::6e:4,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],00fa62cb.ngrok.io,3.134.125.175,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],011aa58e.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:5,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0124-49-205-208-171.ngrok-free.app,,,"ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],013ed96b.ngrok.io,3.134.39.220,2600:1f16:d83:1202::6e:2,"ns-1482.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
