new,host,a,aaaa,soa,ns,status_code,cdn,cdn-name,cname,txt,has_internal_ips,internal_ips,mx,caa
[x],auth.acorns.com,"10.10.132.225, 10.10.130.155, 10.10.138.170",,"ns-383.awsdns-47.com, awsdns-hostmaster.amazon.com",,NOERROR,,,sm-auth-old.acorns.io,,True,"10.10.132.225, 10.10.130.155, 10.10.138.170",,
[x],blogs.app.acorns.com,"108.157.229.56, 108.157.229.66, 108.157.229.23, 108.157.229.90",,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],client.app.acorns.com,"13.227.219.59, 13.227.219.79, 13.227.219.93, 13.227.219.7",,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],cone.build.acorns.com,"13.224.245.41, 13.224.245.128, 13.224.245.58, 13.224.245.113","2600:9000:244f:7200:14:58ae:6980:93a1, 2600:9000:244f:4e00:14:58ae:6980:93a1, 2600:9000:244f:8000:14:58ae:6980:93a1, 2600:9000:244f:1600:14:58ae:6980:93a1, 2600:9000:244f:8600:14:58ae:6980:93a1, 2600:9000:244f:6200:14:58ae:6980:93a1, 2600:9000:244f:7e00:14:58ae:6980:93a1, 2600:9000:244f:e200:14:58ae:6980:93a1","ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com","ns-119.awsdns-14.com, ns-1305.awsdns-35.org, ns-1671.awsdns-16.co.uk, ns-936.awsdns-53.net",NOERROR,True,cloudfront,,,,,,
[x],dmz.app.acorns.com,"13.227.219.59, 13.227.219.7, 13.227.219.79, 13.227.219.93",,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],elastic.build.acorns.com,"52.222.139.52, 52.222.139.59, 52.222.139.43, 52.222.139.90","2600:9000:2204:aa00:14:58ae:6980:93a1, 2600:9000:2204:c400:14:58ae:6980:93a1, 2600:9000:2204:d000:14:58ae:6980:93a1, 2600:9000:2204:ca00:14:58ae:6980:93a1, 2600:9000:2204:4200:14:58ae:6980:93a1, 2600:9000:2204:6c00:14:58ae:6980:93a1, 2600:9000:2204:fa00:14:58ae:6980:93a1, 2600:9000:2204:6e00:14:58ae:6980:93a1","ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],found-money-admin-assets.build.acorns.com,"18.66.233.4, 18.66.233.128, 18.66.233.93, 18.66.233.67","2600:9000:2435:d400:14:58ae:6980:93a1, 2600:9000:2435:5e00:14:58ae:6980:93a1, 2600:9000:2435:fe00:14:58ae:6980:93a1, 2600:9000:2435:7c00:14:58ae:6980:93a1, 2600:9000:2435:4000:14:58ae:6980:93a1, 2600:9000:2435:b200:14:58ae:6980:93a1, 2600:9000:2435:ce00:14:58ae:6980:93a1, 2600:9000:2435:f600:14:58ae:6980:93a1","ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],m9.app.acorns.com,"18.67.65.103, 18.67.65.46, 18.67.65.15, 18.67.65.53",,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],nashm58wi452admin.app.acorns.com,"18.66.122.128, 18.66.122.104, 18.66.122.27, 18.66.122.111",,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],wap.build.acorns.com,"18.66.248.63, 18.66.248.52, 18.66.248.22, 18.66.248.75","2600:9000:224a:a600:14:58ae:6980:93a1, 2600:9000:224a:7600:14:58ae:6980:93a1, 2600:9000:224a:5200:14:58ae:6980:93a1, 2600:9000:224a:8e00:14:58ae:6980:93a1, 2600:9000:224a:a00:14:58ae:6980:93a1, 2600:9000:224a:7e00:14:58ae:6980:93a1, 2600:9000:224a:3000:14:58ae:6980:93a1, 2600:9000:224a:ba00:14:58ae:6980:93a1","ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
