new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,caa
[x],0274accb-0486-4ff2-a889-89eda01ff7c1.edge1-test.pingone.com,"18.66.112.84, 18.66.112.125, 18.66.112.102, 18.66.112.94","2600:9000:223f:ae00:9:8d52:d8c0:93a1, 2600:9000:223f:5e00:9:8d52:d8c0:93a1, 2600:9000:223f:d000:9:8d52:d8c0:93a1, 2600:9000:223f:e400:9:8d52:d8c0:93a1, 2600:9000:223f:9a00:9:8d52:d8c0:93a1, 2600:9000:223f:4a00:9:8d52:d8c0:93a1, 2600:9000:223f:3200:9:8d52:d8c0:93a1, 2600:9000:223f:d400:9:8d52:d8c0:93a1",dgzdc1wrutbvn.cloudfront.net,"ns-525.awsdns-01.net, awsdns-hostmaster.amazon.com","ns-1099.awsdns-09.org, ns-1840.awsdns-38.co.uk, ns-261.awsdns-32.com, ns-525.awsdns-01.net",NOERROR,True,cloudfront,,,
[x],0377fcf6-8915-4ae3-bf6b-ccb5d4d8a8a2.edge1.pingone.com,"18.66.233.14, 18.66.233.53, 18.66.233.76, 18.66.233.94","2600:9000:2435:fc00:5:219a:dcc0:93a1, 2600:9000:2435:d600:5:219a:dcc0:93a1, 2600:9000:2435:9e00:5:219a:dcc0:93a1, 2600:9000:2435:de00:5:219a:dcc0:93a1, 2600:9000:2435:e00:5:219a:dcc0:93a1, 2600:9000:2435:7a00:5:219a:dcc0:93a1, 2600:9000:2435:c400:5:219a:dcc0:93a1, 2600:9000:2435:5e00:5:219a:dcc0:93a1",d2n8vmvrlzreyb.cloudfront.net,"ns-1135.awsdns-13.org, awsdns-hostmaster.amazon.com","ns-1648.awsdns-14.co.uk, ns-456.awsdns-57.com, ns-612.awsdns-12.net, ns-1135.awsdns-13.org",NOERROR,True,cloudfront,,,
[x],10f7635c-ed92-4160-905b-5c90c363bf91.edge1-test.pingone.com,"99.86.4.54, 99.86.4.96, 99.86.4.104, 99.86.4.121","2600:9000:2057:4000:2:6ef3:d6c0:93a1, 2600:9000:2057:d800:2:6ef3:d6c0:93a1, 2600:9000:2057:1600:2:6ef3:d6c0:93a1, 2600:9000:2057:b000:2:6ef3:d6c0:93a1, 2600:9000:2057:de00:2:6ef3:d6c0:93a1, 2600:9000:2057:1000:2:6ef3:d6c0:93a1, 2600:9000:2057:600:2:6ef3:d6c0:93a1, 2600:9000:2057:c000:2:6ef3:d6c0:93a1",d1pdzt2u8e94yj.cloudfront.net,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-864.awsdns-44.net, ns-1119.awsdns-11.org, ns-2022.awsdns-60.co.uk, ns-84.awsdns-10.com",NOERROR,True,cloudfront,,,
[x],123456789.edge1-local.pingone.com,"3.129.185.94, 44.241.84.41, 52.11.201.206, 3.130.152.31, 3.17.229.99, 44.240.2.215",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],1823d1df-8a43-4b12-983c-da569a5030a9.edge1.pingone.com,"65.9.66.105, 65.9.66.118, 65.9.66.46, 65.9.66.59","2600:9000:206f:cc00:18:9bc5:9580:93a1, 2600:9000:206f:f200:18:9bc5:9580:93a1, 2600:9000:206f:1a00:18:9bc5:9580:93a1, 2600:9000:206f:4400:18:9bc5:9580:93a1, 2600:9000:206f:ac00:18:9bc5:9580:93a1, 2600:9000:206f:b600:18:9bc5:9580:93a1, 2600:9000:206f:b800:18:9bc5:9580:93a1, 2600:9000:206f:ca00:18:9bc5:9580:93a1",dtm21smpyehjq.cloudfront.net,"ns-1233.awsdns-26.org, awsdns-hostmaster.amazon.com","ns-322.awsdns-40.com, ns-1005.awsdns-61.net, ns-1233.awsdns-26.org, ns-2007.awsdns-58.co.uk",NOERROR,True,cloudfront,,,
[x],2019.pingone.com,"3.129.185.94, 44.240.2.215, 3.17.229.99, 3.130.152.31, 44.241.84.41, 52.11.201.206",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],208a178b-87c6-4812-b768-b4334bbb0b9a.edge1-test.pingone.com,,,d1rsvvcpej2aux.cloudfront.net,"ns-58.awsdns-07.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,
[x],221cfba4-b8a1-4219-ac57-4fcc4653e9d7.edge1.pingone.com,"18.66.122.2, 18.66.122.77, 18.66.122.63, 18.66.122.67","2600:9000:2250:9600:2:2a51:6280:93a1, 2600:9000:2250:ae00:2:2a51:6280:93a1, 2600:9000:2250:b200:2:2a51:6280:93a1, 2600:9000:2250:2800:2:2a51:6280:93a1, 2600:9000:2250:5400:2:2a51:6280:93a1, 2600:9000:2250:9a00:2:2a51:6280:93a1, 2600:9000:2250:5a00:2:2a51:6280:93a1, 2600:9000:2250:3600:2:2a51:6280:93a1",d1f5hpisw024y2.cloudfront.net,"ns-1575.awsdns-04.co.uk, awsdns-hostmaster.amazon.com","ns-1113.awsdns-11.org, ns-579.awsdns-08.net, ns-1575.awsdns-04.co.uk, ns-438.awsdns-54.com",NOERROR,True,cloudfront,,,
[x],253aapi-staging.pingone.com,"44.240.2.215, 52.11.201.206, 3.17.229.99, 3.130.152.31, 3.129.185.94, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
[x],253aapps-staging.pingone.com,"3.17.229.99, 52.11.201.206, 44.241.84.41, 3.130.152.31, 3.129.185.94, 44.240.2.215",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",,NOERROR,,,,,
