new,host,a,cname,soa,ns,status_code,aaaa,cdn,cdn-name,mx,txt,caa
[x],administrator.cloud.tyk.io,"3.208.49.197, 54.88.196.71, 54.210.191.147, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],aws-euw1.cloud.tyk.io,"54.210.68.5, 54.88.196.71, 3.208.49.197, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],blogs.cloud.tyk.io,"54.88.196.71, 54.210.191.147, 3.208.49.197, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],boiler-room.cloud.tyk.io,"54.88.196.71, 54.210.68.5, 3.208.49.197, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],build.cloud.tyk.io,"54.210.191.147, 3.208.49.197, 54.88.196.71, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],cdn.cloud.tyk.io,"54.210.68.5, 54.210.191.147, 54.88.196.71, 3.208.49.197",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],cms.cloud.tyk.io,"3.208.49.197, 54.88.196.71, 54.210.191.147, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,
[x],cms1.cloud.tyk.io,"54.210.191.147, 54.88.196.71, 54.210.68.5, 3.208.49.197",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,
[x],community.cloud.tyk.io,"3.208.49.197, 54.88.196.71, 54.210.191.147, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",NOERROR,,,,,,
[x],compute.cloud.tyk.io,"3.208.49.197, 54.88.196.71, 54.210.68.5, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],developer.cloud.tyk.io,"54.210.191.147, 54.88.196.71, 3.208.49.197, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],drupal.cloud.tyk.io,"54.210.191.147, 54.210.68.5, 54.88.196.71, 3.208.49.197",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],email.cloud.tyk.io,"54.88.196.71, 54.210.68.5, 3.208.49.197, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],grafana.cloud.tyk.io,"54.88.196.71, 54.210.191.147, 3.208.49.197, 54.210.68.5",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],ir.cloud.tyk.io,"54.210.68.5, 54.88.196.71, 3.208.49.197, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],legacy.cloud.tyk.io,"54.88.196.71, 54.210.68.5, 54.210.191.147, 3.208.49.197",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],live.cloud.tyk.io,"54.210.68.5, 3.208.49.197, 54.88.196.71, 54.210.191.147",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],log.cloud.tyk.io,"54.210.68.5, 54.210.191.147, 3.208.49.197, 54.88.196.71",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],login.cloud.tyk.io,"54.88.196.71, 54.210.68.5, 54.210.191.147, 3.208.49.197",web-ingress-527387518.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
