input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,csp_domains_,tls_subject_org_,tls_wildcard_certificate,final_url
*.workspace365.net,Attention Required! | Cloudflare,403,4517,cloudflare,443,https://workspace365.net:443,https,cloudflare,text/html,GET,104.26.4.62,/,816486774,2606:4700:20::ac43:47e6,HSTS,94,False,True,workspace365.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-03-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,workspace365.net,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4c7a5c627644de49f8dd12519bbada3b,8844084ac74b88448cdcd132f5c23a0847c028067f27eef99718a47fde5dad73,ctls,workspace365.net,,"Cloudflare, Inc.",True,
as.conclusion.nl,Dé data- en integratie specialist | AMIS,200,330566,,80,http://as.conclusion.nl:80,http,Netlify,text/html,GET,18.198.243.11,/,1494302000,18.198.243.11,webpack,126,False,,www.conclusion.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T07:30:12Z,2023-08-09T07:30:11Z,CN=conclusion.nl,conclusion.nl,www.conclusion.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b941f1c69a2c9f0b6dae8e253f6d6c5,5298620e69f6a09a00481ea26ca8ec6f36f25d499f67544d113cd252fd6f4170,ctls,www.conclusion.nl,,,,https://www.conclusion.nl/amis/
autodiscover.conclusion.nl,Sign in to Outlook,200,200160,,80,http://autodiscover.conclusion.nl:80,http,,text/html,GET,40.99.155.232,/,-1249852061,2603:1026:c0d:77::8,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=0d945a98-5334-86a6-a4db-4da6d3cb33c9&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=conclusion.nl&nonce=638194065131113621.771d2167-2e61-4342-9b96-17fa43269208&state=DctBDoMgEEBRqHdp0gXKDHRGFqZnoUATE8okWu31ZfH-7mul1NDdOm17FJObIXhLT3AA4AhhZIaMQGywEBjvPJrwDmSAP9E7pIB21v19TPKP02srsX6XJC3VY1-lja3ez7zE4yd53ZOcZbsA
conclusion.nl,Conclusion | Digitale Transformatie,200,360000,google,80,http://conclusion.nl:80,http,Netlify,text/html,GET,104.198.14.52,/,1817066174,104.198.14.52,webpack,170,False,True,www.conclusion.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T07:30:12Z,2023-08-09T07:30:11Z,CN=conclusion.nl,conclusion.nl,www.conclusion.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b941f1c69a2c9f0b6dae8e253f6d6c5,5298620e69f6a09a00481ea26ca8ec6f36f25d499f67544d113cd252fd6f4170,ctls,www.conclusion.nl,,,,https://www.conclusion.nl/
directaccess.conclusion.nl,Conclusion | Digitale Transformatie,200,360000,,443,https://directaccess.conclusion.nl:443,https,Netlify,text/html,GET,185.108.225.11,/,1817066174,185.108.225.11,webpack,170,False,,www.conclusion.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T07:30:12Z,2023-08-09T07:30:11Z,CN=conclusion.nl,conclusion.nl,www.conclusion.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b941f1c69a2c9f0b6dae8e253f6d6c5,5298620e69f6a09a00481ea26ca8ec6f36f25d499f67544d113cd252fd6f4170,ctls,www.conclusion.nl,,,,https://www.conclusion.nl/
https://intranet-acc.dichterbij.nl,Sign in to your account,200,198559,,443,https://intranet-acc.dichterbij.nl:443,https,,text/html,GET,185.181.140.92,/,-1840324437,185.181.140.92,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,Microsoft Corporation,,https://login.microsoftonline.com/bf74a2f8-18a7-4b2d-9b4a-5785bf0da31f/saml2?SAMLRequest=vZJPb9swDMXv%2FRSF7%2FJ%2Fz7aQBMiWYQuQJUGT7rDLQEt0os6WPFEu9vHn2F3W9tBjdRPJ9%2FjwA2cEbdPxZe%2FO%2Bg5%2F90ju5nZ4f9pGEx%2Bbc6%2B3mhsgRVxDi8Sd4Ifltw2P%2FZB31jgjTOO9kr2tAiK0Thk9ydarubfbft7svqy3P%2FM6LTCvwixPSgkCPtRlUogwk3VdJEmMVQmJSJNykn5HS4PP3Btsp8remkcl0W6HrXNvpcTZoa3Uw9Mqoh7XmhxoN4jCOGFhxqLoGMU8y3hY%2FJjmVgMJpcGN3mfnOuJB0JiT0n6rhDVkamd0ozT6wrRBVecpxHXBogJyllaxZGWVAsvyIqvqUEIS1cGFS3wNOWL7qLRU%2BvQ2rWoaIv71eNyz%2Fe5wnEyW%2Fyh%2BMpr6Fu0B7aMSeH%2B3%2BZ9ZaWdBo2MghC%2BvNHzdXFuvyh2IX3BCCpRVNIZmNBmz7oltgFp2ZtBTAIL87tx5izHS7DLOR8h28V4RWnQgwcElxyx4nuBm%2Br488MVf&RelayState=https%3A%2F%2Fintranet-acc.dichterbij.nl%2Fintranet.dichterbij.nl%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=fqQnSb0tMun1XrxGJwe8Mbl%2BlVaspE7eXQt4%2BG5jQSZ%2FQhSuKGw5j5%2BJDjDyY9%2FUqAEq3DMsS9Bzelbykx08OB6LbZxNjU1uBQi7T0swuAMCJlOvvmEnoF9PlQCb04x51ozQkBH3sFQqN%2BDtYMJt8NLNQu0uqHfwmf6nWwJZWiZ0aMbVfkUOns65M8pNUpll3cQPU9BokWTr2qD9mH3rnNy4fEZ26EOPMV1hXcK0PYQ9XFbmSyPXZ3YfG5hcoW0nUoPvh%2FV0lDcud%2Fa8bHE8Q%2Bb96bMDA3QYeMHmxQHVkvRxZLoebu0%2FKO6ft0sbqvv4p71v3Ho6HhIEap7we1nFIm4uM9%2FAixy5FsciLn8CCwU0bN9VMlETjzp623EwWWZJtHFWR%2FM3QtFLBEqZkclAt2F3MCOq5ure9ChMT%2F1gtwil%2BGGqwQk8ylikKpx5ekrGkx%2B2fqsyLpKWb23SRun3jPjsM%2Fi2GvmSf5fJEutUR3rFto5zubkdExcVpWoZwU34%2Fr79qQN2yn1YcBWUEFSPK5%2BTUu72JlxxH5gpCfAvX6aef3oEe3fcAN9F%2F%2FWp26gl4G0l1GW0FpuGXOyeOInnZnU5w%2F4DrGD3tmZbylt36sEaxasGVoaal00fpmaFCkRVzMQMRZ4cPHZEy2rXUPu4m7CfwdBW9lRrzVJ0qqj0My0%3D
https://intranet.dichterbij.nl,Sign in to your account,200,198519,,443,https://intranet.dichterbij.nl:443,https,,text/html,GET,185.181.140.27,/,-1840324437,185.181.140.27,HSTS,173,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,Microsoft Corporation,,https://login.microsoftonline.com/bf74a2f8-18a7-4b2d-9b4a-5785bf0da31f/saml2?SAMLRequest=rZJBb5swGIbv%2FRUVdzA2EMBKImXLtEXKkqhJd9hl%2BmxM4g5s5s9U%2B%2Fkj0HVdDz3VN%2Bzved9Pj5gjtE3HV72%2FmDv1q1fob26H87ttDPLxcRH0znALqJEbaBVyL%2Flx9XXLWRTzzllvpW2CV9jbFCAq57U1E7ZZL4L97tN2%2F3mz%2ByHjNK1rAUk5S8syp4ImjJaszhKWK5jROBMlFLNkQr8ph0POIhhip5uDs4%2B6Um43tC6CtZYXr5zQD09ViL3aGPRg%2FADFLAnjLKT0RBnPMh4X36e59WBCG%2FBj9sX7DjkhjT1rE7VaOou29tY02qhI2paIOk%2BB1UVIC8jDVLAqLEUKYZYXmajjChJak6sX9rzkqO2DNpU257dtiWkI%2BZfT6RAe9sfTFLL6a%2FGjNdi3yh2Ve9RS3d9t%2F%2B2sjXdglI%2BqZxORaUgH8iecFRLtNI6bhTjRYfckkChTdXbgkYDEqLt0wXLsnV%2FH%2BWjSLd%2B1p1UeKvBwLZuTlzU30%2Bf%2Fv%2BryDw%3D%3D&RelayState=https%3A%2F%2Fintranet.dichterbij.nl%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=IRDqZC5VDCkXJlanff2LdcbxzcyLB3e1cdGyKZT%2Bl5BKOuke1nmku9MOLSmucc11kEUj51EcPG0oVx587KkNutE3G898QfBEoo9kS6br%2FA8sBhrRNfe9L1EhRInSb%2BV5wEwyP%2BtrO7ankWiWmJge7ahYwsbgGNa%2FkybVdxbF34Ev6sJQIuY%2BePcBWx4dALfT%2FefHB7sgcq6%2ByEsSBxz648mwMWGytDf7Xw4e%2BY1G30A82F%2Bq71tR9ert1Zry5YrsJvq4Kh82DsAcoqGbhd2%2Fw9kgdu79iDzP%2Bi1wG9VD9EZQhvy2FrbOgPNIklwPLl%2F6YliNU8uf7NarBDKUJefaywLP8iNeRUtFnJMQb6wkljRW7dyXhP0OFIk8FxapxKiK5DLSetWswXTWRVJDvP%2BV5U8%2BDevy2Lnk8eyO3QYhjDSpviW5zkvqALkJ9r1ZEerkOTM%2B9V3iOreW3mObCWH8wCXL%2FkBFBhD7B%2FC7ZUY79aVpuVsNLWNjWsdCLHPZMh2rfOV4tNdDEXOH9MbL8dI8tW0B7O10VpGqAS6w55%2FlEjw6dpm5KmTi9qg0%2BYVeICM4LeyCvioKYAx7Ug%2FdDqAJCaz1nR8p0bTN4nmWx2XpSLIxT7eXgZ%2B3ItuzhADtecfIuTpP05KB%2BPWJoaEvxV9eGopZNCBk80AJvCeHOJpYH9I%3D
https://teams.microsoft.com,Checking your credentials...,200,284991,,443,https://teams.microsoft.com:443,https,,text/html,GET,52.113.195.132,/,-1754922028,2620:1ec:42::132,HSTS,1475,False,,teams.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T19:04:27Z,2023-08-14T19:04:27Z,"CN=teams.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",teams.microsoft.com,teams.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,86595395d1fb657b6b28f9a2cf8a3332,ccbe147f1a9421d1403fada7217051b267c4bf8b6eb2a2605730974896d547ce,ctls,teams.microsoft.com,wss://127.0.0.1:9002,Microsoft Corporation,,
learningsupport.conclusion.nl,Login,200,2981,cloudflare,443,https://learningsupport.conclusion.nl:443,https,cloudflare,text/html,GET,104.17.26.241,/,589927604,2606:4700::6811:19f1,HSTS,6,False,True,learningsupport.conclusion.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T14:23:15Z,2023-07-30T14:23:14Z,CN=learningsupport.conclusion.nl,learningsupport.conclusion.nl,learningsupport.conclusion.nl,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3c338d9b08310c6b06f5cdfb27d30456,76fb136e42dbd2f54cb7ec42a7f9f6418adfabf98c94b9d039f7ef74952b621f,ctls,learningsupport.conclusion.nl,,,,
pm-bounces.conclusion.nl,Postmark — Email delivery for web apps,200,4374,,80,http://pm-bounces.conclusion.nl:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,,,,,,,,,,,,,,,,,,,
