new,host,a,aaaa,cname,soa,txt,status_code,caa,mx,ns,cdn,cdn-name
,benjamin.weblate.org,77.78.107.252,2001:1528:136:dead:beef:4242:0:30,web.cihar.com,"coby.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a mx a:mort.cihar.com -all,NOERROR,,,,,
,betaweb.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,cachet.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,debian.weblate.org,77.78.107.252,2001:1528:136:dead:beef:4242:0:30,web.cihar.com,"coby.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a mx a:mort.cihar.com -all,NOERROR,,,,,
,debug.weblate.org,,2001:1528:136:dead:beef:4242:0:30,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,demo.weblate.org,77.78.107.252,2001:1528:136:dead:beef:4242:0:30,web.cihar.com,"coby.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a mx a:mort.cihar.com -all,NOERROR,,,,,
,docs.weblate.org,"104.17.32.82, 104.17.33.82","2606:4700::6811:2052, 2606:4700::6811:2152",readthedocs.io,"ivan.ns.cloudflare.com, dns.cloudflare.com","google-site-verification=KNkeKlikmpSoWOQ_xkkuIKXUKrvWivh3hHDKCZhSHb0, google-site-verification=_9m86KBk0-5kAqCFQmrdr3PIvq562Qtkf6q9kBaiXE0",NOERROR,"comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes","aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","ivan.ns.cloudflare.com, tegan.ns.cloudflare.com",True,cloudflare
,dyson.weblate.org,78.47.78.238,2a01:4f8:c2c:91e2::1,dyson.weblate.cloud,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,git.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,gotify.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,helm.weblate.org,"185.199.111.153, 185.199.108.153, 185.199.109.153, 185.199.110.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153",weblateorg.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"digicert.com, letsencrypt.org",,,,
,hg.weblate.org,116.203.108.97,2a01:4f8:c0c:a84b::1,hosted.weblate.org,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,hosted.weblate.org,116.203.108.97,2a01:4f8:c0c:a84b::1,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,oldsupport.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,s.weblate.org,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,True,cloudflare
,statping.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,status2.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,support.weblate.org,77.78.107.252,2001:1528:136:dead:beef:4242:0:30,web.cihar.com,"coby.ns.cloudflare.com, dns.cloudflare.com",v=spf1 a mx a:mort.cihar.com -all,NOERROR,,,,,
,weblate.org,77.78.107.252,2001:1528:136:dead:beef:4242:0:30,,"coby.ns.cloudflare.com, dns.cloudflare.com","site24x7-signals-domain-verification=7b4c370f5ae35f274458357730d97124, v=spf1 a mx a:mail.cihar.com a:django.cihar.com -all, facebook-domain-verification=gewan20j1o2zw7vyau06y7wpmb07w7, google-site-verification=SSd77ql2j6xSOlvDHT2pO2r3ZMQQyMVTycyse-l9i6A",NOERROR,"letsencrypt.org, pki.goog; cansignhttpexchanges=yes, comodoca.com, digicert.com; cansignhttpexchanges=yes, mailto:info@weblate.org, globalsign.com",mail.cihar.com,"coby.ns.cloudflare.com, nicole.ns.cloudflare.com",,
,www.weblate.org,,2001:1528:136:dead:beef:4242:0:30,weblate.org,"coby.ns.cloudflare.com, dns.cloudflare.com","facebook-domain-verification=gewan20j1o2zw7vyau06y7wpmb07w7, google-site-verification=SSd77ql2j6xSOlvDHT2pO2r3ZMQQyMVTycyse-l9i6A, site24x7-signals-domain-verification=7b4c370f5ae35f274458357730d97124, v=spf1 a mx a:mail.cihar.com a:django.cihar.com -all",NOERROR,"mailto:info@weblate.org, comodoca.com, digicert.com; cansignhttpexchanges=yes, globalsign.com, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",mail.cihar.com,"coby.ns.cloudflare.com, nicole.ns.cloudflare.com",,
,zammad.weblate.org,,,,"coby.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
