new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],ablink.email.ro.co,"104.21.36.66, 172.67.186.196",,"kate.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,,"kate.ns.cloudflare.com, oswald.ns.cloudflare.com",,,
[x],abmail.email.ro.co,,u9378994.wl245.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:167.89.83.49 ip4:167.89.93.64 -all,,,,
[x],abmail.notifications.ro.co,,u9378994.wl245.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:167.89.83.49 ip4:167.89.93.64 -all,,,,
[x],api-origin.myplenity.com,35.174.103.209,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-staging.modernfertility.com,"104.18.16.59, 104.18.17.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:113b, 2606:4700::6812:103b",,,,,,
[x],api-staging.ropharmacy.com,"188.114.97.4, 188.114.96.4",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,,,,,
[x],api.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8c33, 2606:4700::6812:8b33",,,,,,
[x],api.rs2.usw2.rockset.com,"108.156.60.52, 108.156.60.65, 108.156.60.67, 108.156.60.94",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,ManagedBy=Terraform,,,,
[x],api.use1a1.rockset.com,"65.9.66.45, 65.9.66.93, 65.9.66.109, 65.9.66.87",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,ManagedBy=Terraform,,,,
[x],api.usw2a1.rockset.com,"18.164.96.53, 18.164.96.24, 18.164.96.106, 18.164.96.93",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,ManagedBy=Terraform,,,,
[x],assets.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8b33, 2606:4700::6812:8c33",,,,,,
[x],background.modernfertility.com,"34.253.101.190, 34.251.201.224, 54.194.170.100","proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],billing.rockset.com,"10.4.98.43, 10.4.87.81, 10.4.45.252",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"heritage=external-dns,external-dns/owner=infra-use1a1-rockset-com,external-dns/resource=ingress/billing/billing-ingress",,True,"10.4.98.43, 10.4.87.81, 10.4.45.252",
[x],blog-staging.modernfertility.com,"104.18.16.59, 104.18.17.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:103b, 2606:4700::6812:113b",,,,,,
[x],bounces.modernfertility.com,138.197.30.54,pm.mtasv.net,"ns-1077.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"p-pm-bounce-smtp01c-aws-useast2c.mtasv.net, p-pm-bounce-smtp01a-aws-useast2a.mtasv.net","google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847, v=spf1 include:spf.mtasv.net -all, google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s",,,,
[x],brand.ro.co,,domain.corebook.io,"ns55.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,
[x],calendar.rockset.com,172.217.16.147,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:810::2013,,,,,,
[x],care.ro.co,"104.18.140.51, 104.18.139.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],cc.ro.co,"104.18.139.51, 104.18.140.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8c33, 2606:4700::6812:8b33",,,,,,
[x],click.hcp.myplenity.com,13.111.71.253,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],clicks.modernfertility.com,"104.18.16.59, 104.18.17.59",,"paislee.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:103b, 2606:4700::6812:113b",,,,,,
[x],cloud.hcp.myplenity.com,13.111.158.12,,"ns-144.awsdns-18.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],comm.ro.co,,,"drake.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"ca3-0edafff696b443d5a6e26c215c83c78a, v=spf1 ip4:167.89.83.49 ip4:167.89.93.64 -all","naomi.ns.cloudflare.com, drake.ns.cloudflare.com",,,
[x],console.dev.rockset.com,"13.32.99.87, 13.32.99.104, 13.32.99.52, 13.32.99.84",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2251:6c00:12:23b6:4280:93a1, 2600:9000:2251:cc00:12:23b6:4280:93a1, 2600:9000:2251:4a00:12:23b6:4280:93a1, 2600:9000:2251:0:12:23b6:4280:93a1, 2600:9000:2251:400:12:23b6:4280:93a1, 2600:9000:2251:a00:12:23b6:4280:93a1, 2600:9000:2251:f200:12:23b6:4280:93a1, 2600:9000:2251:ea00:12:23b6:4280:93a1",,,,,,
[x],console.rockset.com,,,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2550:a000:19:304a:2200:93a1, 2600:9000:2550:7000:19:304a:2200:93a1, 2600:9000:2550:c600:19:304a:2200:93a1, 2600:9000:2550:8e00:19:304a:2200:93a1, 2600:9000:2550:9e00:19:304a:2200:93a1, 2600:9000:2550:a600:19:304a:2200:93a1, 2600:9000:2550:2000:19:304a:2200:93a1, 2600:9000:2550:0:19:304a:2200:93a1",,,"ns-1088.awsdns-08.org, ns-1664.awsdns-16.co.uk, ns-17.awsdns-02.com, ns-638.awsdns-15.net",,,
[x],covid.ro.co,"104.18.140.51, 104.18.139.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],datablog.ro.co,"104.18.140.51, 104.18.139.51",,"amber.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:8c33, 2606:4700::6812:8b33",,,,,,
[x],delivery.getroman.com,,u3020395.wl146.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all,,,,
[x],demo.ro.co,,,"kate.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,"kate.ns.cloudflare.com, oswald.ns.cloudflare.com",,,
[x],dev.myplenity.com,"104.18.18.146, 104.18.19.146","dev.myplenity.com.dxcloud.episerver.net, dev.myplenity.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6812:1292, 2606:4700::6812:1392",,,,,,
[x],dev.rockset.com,"108.138.51.59, 108.138.51.81, 108.138.51.92, 108.138.51.106, 205.251.193.224, 205.251.196.156, 205.251.199.198",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2436:2600:a:6ddd:9f80:93a1, 2600:9000:2436:cc00:a:6ddd:9f80:93a1, 2600:9000:2436:aa00:a:6ddd:9f80:93a1, 2600:9000:2436:6e00:a:6ddd:9f80:93a1, 2600:9000:2436:7e00:a:6ddd:9f80:93a1, 2600:9000:2436:ce00:a:6ddd:9f80:93a1, 2600:9000:2436:9800:a:6ddd:9f80:93a1, 2600:9000:2436:ac00:a:6ddd:9f80:93a1","aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com",,"ns-915.awsdns-50.net, ns-480.awsdns-60.com, ns-1990.awsdns-56.co.uk, ns-1180.awsdns-19.org",,,
[x],docs.dev.rockset.com,"13.227.219.89, 13.227.219.108, 13.227.219.52, 13.227.219.19",,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:21c7:c400:16:32dc:840:93a1, 2600:9000:21c7:ee00:16:32dc:840:93a1, 2600:9000:21c7:cc00:16:32dc:840:93a1, 2600:9000:21c7:1000:16:32dc:840:93a1, 2600:9000:21c7:b600:16:32dc:840:93a1, 2600:9000:21c7:de00:16:32dc:840:93a1, 2600:9000:21c7:ce00:16:32dc:840:93a1, 2600:9000:21c7:9000:16:32dc:840:93a1",,,,,,
