new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,mx,caa
[x],accountreset.jetblue.com,64.25.24.40,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],accountsdev.jetblue.com,"76.223.106.183, 13.248.236.251",,"dev-jetblue.customdomains.oktapreview.com, op1-custom-crtrs.oktapreview.com, op1-custom-crtrs.oktaedge.oktapreview.com, a9dcaea81ce6d4aa6.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],accountsqa.jetblue.com,151.101.246.245,,jetblue.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,
[x],aces.jetblue.com,64.25.25.88,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],agile-devops.it.jetblue.com,1.1.1.1,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,
[x],agiletransformation.it.jetblue.com,35.237.110.194,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
[x],aosaintsvcs-primary.jetblue.com,64.25.24.67,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosaintsvcs.jetblue.com,64.25.24.67,,aosaintsvcs-primary.jetblue.com,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosaqasvcs-primary.jetblue.com,64.25.24.66,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosaqasvcs.jetblue.com,64.25.24.66,,aosaqasvcs-primary.jetblue.com,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosastgsvcs-primary.jetblue.com,64.25.24.69,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosatest.jetblue.com,64.25.24.49,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],aosaweb.jetblue.com,64.25.24.62,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],api-dev.jetblue.com,13.90.243.96,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,True,azure,,,,
[x],api-int.jetblue.com,13.90.243.96,,api-dev.jetblue.com,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,True,azure,,,,
[x],api-qa.jetblue.com,13.90.243.96,,api-dev.jetblue.com,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,True,azure,,,,
[x],api-stg.jetblue.com,64.25.24.99,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],api.jetblue.com,64.25.24.98,,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,
[x],api.paisly.jetblue.com,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,"connie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
