input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,final_url,tls_self_signed,csp_domains_
alnitak-rx-staging.orionlabs.io,Fastly error: unknown domain alnitak-rx-staging.orionlabs.io,500,290,alnitak-rx-staging.orionlabs.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-10T04:55:10Z,2024-05-11T04:55:09Z,CN=c.sni-561-default.ssl.fastly.net,c.sni-561-default.ssl.fastly.net,c.sni-561-default.ssl.fastly.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,40eabf68e3033ad8283d8d307f94c162,86fe51d5b157a6f38af36e71309d0645035b21bededb5d38f1fdc8458afa6d7c,ctls,alnitak-rx-staging.orionlabs.io,fastly,443,https://alnitak-rx-staging.orionlabs.io:443,https,Varnish,text/html,GET,146.75.122.49,/,-1352944623,2a04:4e42:8e::561,Varnish,8,False,True,True,,,,,
alnitak.orionlabs.io,,200,33,alnitak.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T07:10:09Z,2023-08-08T07:10:08Z,CN=*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,59987c3db84f85cedf992a29dba0a487,f2c34e82212d2e6095c219079aeadc0480d63cca4f84fc0b6b12a4959fcdda1f,ctls,alnitak.orionlabs.io,,443,https://alnitak.orionlabs.io:443,https,,text/plain,GET,3.217.205.200,/,-1840324437,107.20.255.83,HSTS,3,False,,,,True,,,
api.dev-02.orionlabs.io,,200,114,api.dev-02.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T07:38:24Z,2023-07-18T07:38:23Z,CN=*.dev-02.orionlabs.io,*.dev-02.orionlabs.io,*.dev-02.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d4d6826018797f7647c556517ed4ae8d,ab468672a009df380dda775a20825f6f2c35a0d582b9c3a6451e98fa021de879,ctls,api.dev-02.orionlabs.io,,443,https://api.dev-02.orionlabs.io:443,https,,text/plain,GET,18.206.131.153,/,2024276015,35.153.246.145,HSTS,4,False,,,,True,,,
api.dev-03.orionlabs.io,503 Service Temporarily Unavailable,503,592,api.dev-03.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T11:00:04Z,2023-06-26T11:00:03Z,CN=*.dev-03.orionlabs.io,*.dev-03.orionlabs.io,dev-03.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eb685385642d743a2de97c7c37fceecf,b5e43714763fad61ff3fa94bb750b90d89e7c77d60632a31979ced98de784249,ctls,api.dev-03.orionlabs.io,,443,https://api.dev-03.orionlabs.io:443,https,,text/html,GET,3.227.76.140,/,1131193170,35.170.10.17,HSTS,14,False,,,,True,,,
api.discovery.orionlabs.io,,200,115,api.discovery.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T14:23:18Z,2023-06-14T14:23:17Z,CN=*.discovery.orionlabs.io,*.discovery.orionlabs.io,*.discovery.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,02a3f59417aab344e9baa284fe2f3c07,3aff878cada25923162444523c6e674e1dda11def18c07e6885ebea10f2a6675,ctls,api.discovery.orionlabs.io,,443,https://api.discovery.orionlabs.io:443,https,,text/plain,GET,52.203.104.48,/,-1585065459,3.232.143.177,HSTS,4,False,,,,True,,,
api.orionlabs.io,,200,108,api.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T07:10:09Z,2023-08-08T07:10:08Z,CN=*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,59987c3db84f85cedf992a29dba0a487,f2c34e82212d2e6095c219079aeadc0480d63cca4f84fc0b6b12a4959fcdda1f,ctls,api.orionlabs.io,,443,https://api.orionlabs.io:443,https,,text/plain,GET,107.20.255.83,/,275899212,23.23.116.85,HSTS,4,False,,,,True,,,
api.prod-01.orionlabs.io,,200,108,api.prod-01.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-10T07:10:09Z,2023-08-08T07:10:08Z,CN=*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,*.prod-01.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,59987c3db84f85cedf992a29dba0a487,f2c34e82212d2e6095c219079aeadc0480d63cca4f84fc0b6b12a4959fcdda1f,ctls,api.prod-01.orionlabs.io,,443,https://api.prod-01.orionlabs.io:443,https,,text/plain,GET,3.217.205.200,/,278815436,23.23.116.85,HSTS,4,False,,,,True,,,
api.staging.orionlabs.io,,200,114,api.staging.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T11:00:37Z,2023-06-14T11:00:36Z,CN=*.staging-01.orionlabs.io,*.staging-01.orionlabs.io,*.staging.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,16d92695d27093830fbbafd5c2f0240b,7a1c01b8d25cf6bf23982d00651841b246526b34f97e75a4c88836697252ccb7,ctls,api.staging.orionlabs.io,,443,https://api.staging.orionlabs.io:443,https,,text/plain,GET,52.203.104.48,/,1658490845,3.232.143.177,HSTS,4,False,,True,,True,,,
atlas-staging.orionlabs.io,ERROR: The request could not be satisfied,502,507,atlas-staging.orionlabs.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-12-05T23:59:59Z,CN=*.orionlabs.io,*.orionlabs.io,*.orionlabs.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d148d8d9bcc5380e3324a06602e4e0a3,f421e0a7914dbdff80be4982afc3914131594e9ccb1c2e45920b85517b2f08ef,ctls,atlas-staging.orionlabs.io,cloudfront,443,https://atlas-staging.orionlabs.io:443,https,CloudFront,text/html,GET,13.32.27.73,/,-2106442734,13.32.27.21,Amazon Web Services,16,False,True,,,True,,,
atlas.orionlabs.io,"Orion Command Center - Manage your teams, users, groups, and devices",200,1882,login.orionlabs.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-25T23:06:25Z,2023-06-23T23:06:24Z,CN=login.orionlabs.io,login.orionlabs.io,login.orionlabs.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f56bef907677ccf913f3982a80aedbe4,f6100d890712f434f24febfb40c963d20d9e3b8c3f807953ed85bae39b867576,ctls,login.orionlabs.io,cloudfront,443,https://atlas.orionlabs.io:443,https,,text/html,GET,18.66.147.125,/,-131834120,18.66.147.129,Varnish,35,False,True,,,,https://login.orionlabs.io/,,
