input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,csp_domains_,final_url,location,tls_expired,tls_self_signed
accounts-staging.tokopedia.com,404,404,134,AS15169,GOOGLE,US,35.186.192.0/18,accounts-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,accounts-staging.tokopedia.com,443,https://accounts-staging.tokopedia.com:443,https,,text/html,GET,35.186.219.109,/,1530892233,35.186.219.109,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
accounts.tokopedia.id,503 Service Temporarily Unavailable,503,206,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.74.0.0/15,accounts.tokopedia.id,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2021-09-27T00:00:00Z,2022-10-28T23:59:59Z,"CN=*.tokopedia.id, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.id,tokopedia.id,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,140dc611af49b0eb3e2793183c9164fe,bee0f605e42df5d7c074399233e7ccaa7835652751c1dc7e1102665356e8b624,True,ctls,accounts.tokopedia.id,80,http://accounts.tokopedia.id:80,http,,text/html,GET,47.74.174.17,/,-460329555,47.74.174.17,,8,False,PT. Tokopedia,,,,https://accounts.tokopedia.id/,,True,
ace-staging.tokopedia.com,404,404,134,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.102.0.0/15,ace-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,ace-staging.tokopedia.com,443,https://ace-staging.tokopedia.com:443,https,,text/html,GET,34.102.249.76,/,1530892233,34.102.249.76,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
affiliate.tokopedia.com,Tokopedia Affiliate Program,200,197615,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,affiliate.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,affiliate.tokopedia.com,443,https://affiliate.tokopedia.com:443,https,nginx,text/html,GET,34.117.166.57,/,55462883,34.117.166.57,Nginx,201,False,PT. Tokopedia,google,True,https://*.google-analytics.com,,,,
alpha5.tokopedia.net,403 Forbidden,403,146,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.74.0.0/15,alpha5.tokopedia.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,alpha5.tokopedia.net,443,https://alpha5.tokopedia.net:443,https,,text/html,GET,47.74.175.252,/,-1561873722,47.74.175.252,,8,False,PT. Tokopedia,,,,,,,
analytics-staging.tokopedia.com,404,404,134,AS15169,GOOGLE,US,34.149.0.0/16,analytics-staging.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,analytics-staging.tokopedia.com,443,https://analytics-staging.tokopedia.com:443,https,,text/html,GET,34.149.157.238,/,1530892233,34.149.157.238,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
api-status.tokopedia.com,,403,108,AS15169,GOOGLE,US,34.149.0.0/16,api-status.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,api-status.tokopedia.com,80,http://api-status.tokopedia.com:80,http,nginx,application/json,GET,34.149.107.28,/,238233844,34.149.107.28,Nginx,2,False,PT. Tokopedia,google,True,,https://api-status.tokopedia.com:443/,,,
apps.tokopedia.net,Sign in - Google Accounts,200,583545,AS20940,AKAMAI-ASN1,NL,23.48.0.0/12,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,443,https://apps.tokopedia.net:443,https,ESF,text/html,GET,23.53.40.224,/,909238400,23.53.40.242,HTTP/3,46,False,,,,https://www.google-analytics.com,https://accounts.google.com/v3/signin/identifier?dsh=S973464241%3A1683706298387415&client_id=298272717118-60307diuofj72ji8kgbrc2l7s81kgq6a.apps.googleusercontent.com&o2v=1&prompt=consent&redirect_uri=https%3A%2F%2Fapps.tokopedia.net%2Fapi%2Fv1%2Fauth%2Fgoogle&response_type=code&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&service=lso&state=ctatNcO54CjE0B16Hf7NC8y880rg10VGbaO4k37M%2F6s%3D&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAMKUE4Bc-KWntz0gIRXm5RG5BqlkbAFVQGITwqF2vtqGjb3y_c2sVtbITkTFnix55-BNe_rmAN_HC76uEJYr93iPX9aqFJZEgJ1DyeoPpxeVJKpLr4lJh3zKjbQ6swIgpAsIdarOo0yKBXzw1__gYvwQB2dx8sfkNZpTxqvn3uGEvxJe6zRp3aWoG5yUTKGz010MhbDxiVKgOhH-pKUthhTlvfJSYBy56avIuZNiIUUaLq0IM1AUfBL8Y3GTMICG9FDoZiEzj4TuVoqma54yMSLCewmXEHH1mRg9oYMrLKOfRVnxG-S09x-S6MP1ISGywnmZPAL2EkmUQqnFDlj_ZelgOBxFtbkFJR65pBX5y6kDA9X5IxeJxsOxF_kz88c_e2v1YBnMhqh5CZl1ujSjaEWIBDShKTUmJwZL3YZ2iN90nu0vqkgxjcq_J3nDZuDKsnukjesK8PD3tDE4q5igSiTTTwIOQ%26as%3DS973464241%253A1683706298387415%26client_id%3D298272717118-60307diuofj72ji8kgbrc2l7s81kgq6a.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fapps.tokopedia.net&rart=ANgoxceLSVFh0-k-pKb1rcHoQKupni2Rmr8q5uGkyXPShqhNsrCcoVXnSnt8woa9TV2dLfmy0ZmJbBWH_TFM88X7eZmdValWbQ,,,
assets-staging.tokopedia.net,,403,13,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,assets-staging.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,assets-staging.tokopedia.net,443,https://assets-staging.tokopedia.net:443,https,,,GET,34.120.35.141,/,55462883,34.120.35.141,HTTP/3,1,False,PT. Tokopedia,google,True,,,,,
atlantis.tokopedia.com,404,404,134,AS15169,GOOGLE,US,34.149.0.0/16,atlantis.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,atlantis.tokopedia.com,80,http://atlantis.tokopedia.com:80,http,,text/html,GET,34.149.107.28,/,1530892233,34.149.107.28,HTTP/3,1,False,PT. Tokopedia,google,True,,https://atlantis.tokopedia.com:443/,,,
aypbpr.tokopedia.com,,404,91,AS44788,ASN-CRITEO-EUROPE,FR,178.250.0.0/23,aypbpr.tokopedia.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-15T00:00:00Z,2023-06-09T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",ukgfxw.satofull.jp,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8b03c6d92541424f65ca5dba004ef56a,058faf8ebb7996c6a0d3b2fd228fb7ef6bce0edd47432ac27557707ed1286da5,,ctls,aypbpr.tokopedia.com,443,https://aypbpr.tokopedia.com:443,https,Kestrel,text/html,GET,178.250.1.11,/,-1947197333,2a02:2638:d::d,Microsoft ASP.NET,1,False,Criteo SA,,,,,,,
b2b.tokopedia.com,,403,2,AS16509,AS16509,Unknown,54.248.0.0/13,b2b.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,b2b.tokopedia.com,443,https://b2b.tokopedia.com:443,https,awselb/2.0,application/json,GET,54.254.114.122,/,-1206076886,54.255.157.129,,1,False,PT. Tokopedia,,,,,,,
blog.tokopedia.com,502 Bad Gateway,502,552,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN,47.88.194.150/32,blog.tokopedia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-08-02T00:00:00Z,2023-09-02T23:59:59Z,"CN=*.tokopedia.com, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.com,tokopedia.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e289dc87eade488bf9d7dacd83ede29,d94380e7908bbe3cb3611ed2ae1aba8d37be379b5396995adc989aab89591833,True,ctls,blog.tokopedia.com,443,https://blog.tokopedia.com:443,https,,text/html,GET,47.88.140.65,/,55462883,47.88.140.65,,14,False,PT. Tokopedia,,,,,,,
bounty.tokopedia.net,Bug Bounty Portal,200,910,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.120.0.0/14,bounty.tokopedia.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-05-18T00:00:00Z,2023-06-18T23:59:59Z,"CN=*.tokopedia.net, O=PT. Tokopedia, L=Jakarta Selatan, ST=Daerah Khusus Ibukota Jakarta, C=ID",*.tokopedia.net,tokopedia.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12ed28ea78da4b52b496adc609e49145,dcfa2c4d933479aad3492a2aceb84f0b8499be143c4bf93763a4bbc89dbc8e21,True,ctls,bounty.tokopedia.net,443,https://bounty.tokopedia.net:443,https,Apache/2.4.52 (Unix) OpenSSL/1.1.1n,text/html,GET,34.117.137.29,/,-1052194101,34.117.137.29,UNIX,1,False,PT. Tokopedia,google,True,,,,,
broadcast.tokopedia.com,403 Forbidden,403,254,AS24429,"TAOBAO Zhejiang Taobao Network Co.,Ltd",CN,163.181.92.0/24,,,,,,,,,,,,,,,,,,,,80,http://broadcast.tokopedia.com:80,http,Tengine,text/html,GET,163.181.92.235,/,1998210445,163.181.92.236,Tengine,8,False,,,,,,,,
