new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cname,aaaa,cdn,cdn-name,mx,txt
[x],00c8z.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],11-sysbilling.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-187-16.sandbox.directly.com,"3.232.232.251, 3.214.232.166, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-192-4.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-208-60.sandbox.directly.com,"3.224.175.215, 3.214.232.166, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-211-83.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 35.168.33.143, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],155-9-223-26.sandbox.directly.com,"35.168.33.143, 3.224.175.215, 3.214.232.166, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-223-74.sandbox.directly.com,"3.214.232.166, 35.168.33.143, 3.232.232.251, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],155-9-224-77.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-225-90.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],155-9-73-15.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 35.168.33.143, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],165-137-110-27.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-112-17.sandbox.directly.com,"3.224.175.215, 3.232.232.251, 35.168.33.143, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-112-46.sandbox.directly.com,"35.168.33.143, 3.232.232.251, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-112-6.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-113-41.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-113-7.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-117-21.sandbox.directly.com,"3.224.175.215, 3.214.232.166, 35.168.33.143, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-117-72.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],17-121-117-93.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-118-13.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 35.168.33.143, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],17-121-119-17.sandbox.directly.com,"3.224.175.215, 35.168.33.143, 3.232.232.251, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-120-11.sandbox.directly.com,"3.232.232.251, 3.214.232.166, 35.168.33.143, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-120-74.sandbox.directly.com,"3.232.232.251, 3.224.175.215, 3.214.232.166, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-121-1.sandbox.directly.com,"3.232.232.251, 3.224.175.215, 3.214.232.166, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-122-76.sandbox.directly.com,"35.168.33.143, 3.224.175.215, 3.214.232.166, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-123-20.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-123-51.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 35.168.33.143, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-123-61.sandbox.directly.com,"3.224.175.215, 35.168.33.143, 3.232.232.251, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-123-76.sandbox.directly.com,"3.232.232.251, 3.214.232.166, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-121-127-30.sandbox.directly.com,"3.232.232.251, 3.224.175.215, 3.214.232.166, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-58-100-49.sandbox.directly.com,"3.224.175.215, 35.168.33.143, 3.232.232.251, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],17-58-101-26.sandbox.directly.com,"3.224.175.215, 3.214.232.166, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],17-58-101-90.sandbox.directly.com,"35.168.33.143, 3.232.232.251, 3.214.232.166, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],17-58-97-95.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],21novel.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],4a68.sandbox.directly.com,"3.232.232.251, 3.224.175.215, 3.214.232.166, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],4aaf.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],4zsoqkiioa.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],64-67.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],6sbyl92h.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],7wj98.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],7wkca.sandbox.directly.com,"3.232.232.251, 3.214.232.166, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],81b8.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],a-96-119-33-51.community.directly.com,"34.239.229.38, 52.7.171.31, 3.223.245.124, 54.146.201.247","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],a23-3-170-81.sandbox.directly.com,"3.224.175.215, 3.214.232.166, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],a23-3-38-64.sandbox.directly.com,"3.214.232.166, 35.168.33.143, 3.224.175.215, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],abpp.sandbox.directly.com,"35.168.33.143, 3.232.232.251, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],acccustomers-backupconfig.sandbox.directly.com,"3.214.232.166, 35.168.33.143, 3.232.232.251, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accenture.sandbox.directly.com,"35.168.33.143, 3.214.232.166, 3.224.175.215, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],acceptfms4.sandbox.directly.com,"3.224.175.215, 3.232.232.251, 35.168.33.143, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-acc-acc-backupsauth-antiviruspre.sandbox.directly.com,"3.224.175.215, 3.214.232.166, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-assetsapp-betaeuauth-antiviruspre.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 35.168.33.143, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-bucket-temp-log-examplestunnel-mx.sandbox.directly.com,"3.232.232.251, 35.168.33.143, 3.224.175.215, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-com87.sandbox.directly.com,"3.214.232.166, 35.168.33.143, 3.232.232.251, 3.224.175.215","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-demo.sandbox.directly.com,"35.168.33.143, 3.224.175.215, 3.232.232.251, 3.214.232.166","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-healthcheck.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access-pacific.sandbox.directly.com,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],access.preprod.directly.com,"52.0.146.249, 52.23.148.234, 34.226.72.16, 174.129.242.99","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accessaccessdemo-private-alpha-jirasite.sandbox.directly.com,"3.214.232.166, 3.232.232.251, 3.224.175.215, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],accessdelmarcollege.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 3.232.232.251, 35.168.33.143","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
[x],accessinformatica.sandbox.directly.com,"3.214.232.166, 3.224.175.215, 35.168.33.143, 3.232.232.251","ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1105.awsdns-10.org, ns-1903.awsdns-45.co.uk, ns-222.awsdns-27.com, ns-621.awsdns-13.net",,,,,,,,
