new,host,a,soa,status_code,cname,ns,aaaa,mx,txt,caa
[x],cdn.office.akismet.com,,"ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
[x],extranetoceania.rest.akismet.com,"195.234.111.251, 195.234.111.252","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons3.akismet.com, geons1.akismet.com, geons2.akismet.com",,,,
[x],feishu-b2cop.law.akismet.com,"192.0.80.243, 192.0.80.245","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
[x],livestream-edgetee-upload-shv-01-fml2.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
[x],mhsi-47-164-26.rest.akismet.com,"195.234.111.252, 195.234.111.251","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons2.akismet.com, geons1.akismet.com, geons3.akismet.com",,,,
[x],s1-iad-ss-services-media.mp3.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
[x],web5.dfw.akismet.com,192.0.86.112,"ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,02a95fcf3783.rest.akismet.com,"195.234.111.251, 195.234.111.252","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons1.akismet.com, geons2.akismet.com, geons3.akismet.com",,,,
,04457687731b.rest.akismet.com,,"geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons2.akismet.com, geons3.akismet.com, geons1.akismet.com",,,,
,0545226b975e.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,069f79e7f7d4.rest.akismet.com,"195.234.111.251, 195.234.111.252","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons3.akismet.com, geons2.akismet.com, geons1.akismet.com",,,,
,07c9d6ac3656.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0801efba8050.web.akismet.com,"192.0.80.243, 192.0.80.245","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0987897f66b1.web.akismet.com,"192.0.80.243, 192.0.80.245","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0b9bf9559902.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0c5cd17ab993.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0cae6105081a.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,0df045ffee00.web.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,1.bp.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,10questions.akismet.com,"192.0.80.245, 192.0.80.243","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,11868baab678.web.akismet.com,"192.0.80.243, 192.0.80.245","ns1.automattic.com, hostmaster.automattic.com",NOERROR,,,,,,
,122810277738.rest.akismet.com,"195.234.111.252, 195.234.111.251","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,,,,,
,132e86abf15a.rest.akismet.com,"192.0.96.248, 192.0.96.247, 198.181.116.6, 198.181.117.6, 192.0.74.6","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons3.akismet.com, geons2.akismet.com, geons1.akismet.com",,,,
,14bfd0f996d2.rest.akismet.com,"192.0.96.248, 192.0.96.247, 198.181.116.6, 198.181.117.6, 192.0.74.6","geons1.akismet.com, hostmaster.automattic.com",NOERROR,api.akismet.com,"geons3.akismet.com, geons1.akismet.com, geons2.akismet.com",,,,
