input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,location,tls_expired
*.virtualearth.net,"Bing Karten - Wegbeschreibungen, Reiseplanung, Verkehrskameras und mehr",200,292390,,www.bing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-15T20:16:38Z,2023-11-15T20:16:38Z,"CN=r.bing.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",r.bing.com,Microsoft Corporation,*.bing.com,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,29fc15b9750aa18d1c532b9a2dd521de,80a5435f1698438a7d697f67fc00c3c86d13b0ac230853d7ef05be890da297e0,True,ctls,www.bing.com,443,https://virtualearth.net:443,https,,text/html,GET,204.79.197.219,/,-465985928,https://www.bing.com/maps?FORM=LGCYVD,204.79.197.219,HTTP/3,40,False,True,,,,
1stnb.olb.fisglobal.com,,500,181,https://view.officeapps.live.com,resmedpreprod.o9solutions.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-11T00:00:00Z,2024-01-08T23:59:59Z,"CN=*.o9solutions.com, O=o9 Solutions\, Inc., L=Dallas, ST=Texas, C=US",*.o9solutions.com,"o9 Solutions, Inc.",o9solutions.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,805686c41618465f40d23b259bfe483e,cf62f99aff29e5a97584f3c4e34f34815796bfd65fc0c7b4fd191542709788ac,True,ctls,resmedpreprod.o9solutions.com,443,https://1stnb.olb.fisglobal.com:443,https,cloudflare,text/html,GET,107.162.165.133,/,-210270437,https://resmedpreprod.o9solutions.com:443/Kibo2,107.162.165.133,HTTP/3,9,False,,,,,
abc.fisglobal.com,Not Found,404,315,,abc.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,abc.fisglobal.com,443,https://abc.fisglobal.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,84.53.164.191,/,225052475,,2a02:26f0:3500:88e::3b69,Microsoft HTTPAPI:2.0,7,False,,,,,
access.au.fisglobal.com,FIS Secure Access Portal - Sign-In Notification,200,3468,,access.au.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-06-02T23:59:59Z,"CN=access.au.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",access.au.fisglobal.com,"Fidelity National Information Services, Inc.",access2.au.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a18e66d062681c94fc13e6fa0a22b19a,51076d5486ab7bcf279d37a5b1983b27ce8056d07aae487461d13d64360a7503,,ctls,access.au.fisglobal.com,443,https://access.au.fisglobal.com:443,https,,text/html,GET,63.141.160.18,/,-1209181190,https://access.au.fisglobal.com/dana-na/auth/url_default/welcome.cgi,63.141.160.18,HSTS,94,False,,,,,
access1.au.fisglobal.com,Authentication,200,3308,,access1.au.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-06-02T23:59:59Z,"CN=access.au.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",access.au.fisglobal.com,"Fidelity National Information Services, Inc.",access2.au.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a18e66d062681c94fc13e6fa0a22b19a,51076d5486ab7bcf279d37a5b1983b27ce8056d07aae487461d13d64360a7503,,ctls,access1.au.fisglobal.com,443,https://access1.au.fisglobal.com:443,https,,text/html,GET,63.141.160.18,/,-390683346,https://access1.au.fisglobal.com/dana-na/auth/url_default/welcome.cgi,63.141.160.18,HSTS,103,False,,,,,
addv-doc.fisglobal.com,401 - Unauthorized: Access is denied due to invalid credentials.,401,1293,,addv-doc.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-05-26T00:00:00Z,2023-06-25T23:59:59Z,"CN=fisglobal.com, O=Fidelity National Information Services, L=Jacksonville, ST=Florida, C=US",fisglobal.com,Fidelity National Information Services,wmrc.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,50f7f8660c71910b33daf0c188d35c38,53012f7bedcad713e3d480ebba316ce7745032c2cedddf94caaa3e0d9c789bad,,ctls,addv-doc.fisglobal.com,443,https://addv-doc.fisglobal.com:443,https,,text/html,GET,147.249.130.110,/,-2017930255,,147.249.130.110,HSTS,30,False,,,,,
ai360uat.fisglobal.com,HTTP Status 404 – Not Found,404,678,,ai360uat.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-04-04T23:59:59Z,"CN=www.olmretailrewards.com, O=Fidelity National Information Services, ST=Florida, C=US",www.olmretailrewards.com,Fidelity National Information Services,www.olmretailrewardsuat.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,cb33938a6c1d51a94d6f1a24c0aca239,8bea8e3bce6573366a610b4d1c38511902fb0d1ee0da0b0d6af86cafe90b6d5f,,ctls,ai360uat.fisglobal.com,443,https://ai360uat.fisglobal.com:443,https,Apache/2.4.51 (Red Hat),text/html,GET,104.126.37.162,/,-1130949165,,2a02:26f0:1700:11::b856:6787,Red Hat,1,False,,,,,
aka18901-www.fisglobal.com,400 Bad Request,400,171,,aka18901-www.fisglobal.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,aka18901-www.fisglobal.com,443,https://aka18901-www.fisglobal.com:443,https,Apache,text/html,GET,156.55.138.18,/,386594154,,156.55.138.18,Apache,1,False,,,,,
aka77793-login5.fisglobal.com,,503,62,,aka77793-login5.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,aka77793-login5.fisglobal.com,443,https://aka77793-login5.fisglobal.com:443,https,,,GET,156.55.137.240,/,107704025,,156.55.137.240,,1,False,,,,,
alertconsole.fisglobal.com,,404,193,,alertconsole.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,alertconsole.fisglobal.com,443,https://alertconsole.fisglobal.com:443,https,,text/html,GET,104.102.53.67,/,-995778259,,2a02:26f0:480:59f::3b69,HSTS,1,False,,,,,
