input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,tls_mismatched,webserver,content_type,tech_,cdn_name,cdn,final_url,csp_domains_,tls_subject_org_,tls_expired,location
*.carriersignal.info,,200,,carriersignal.info,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2021-12-29T11:28:47Z,2023-01-30T11:28:47Z,CN=*.carriersignal.info,*.carriersignal.info,carriersignal.info,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c2801c89ee6ea554e00fbe0aa8783b4d,7e37b9bc5465e6a22d0cf6579bab37bfd897e801d8a61efd31f8793234b129b2,True,ctls,carriersignal.info,443,https://carriersignal.info:443,https,GET,52.38.114.247,/,-1840324437,52.38.114.247,1,False,,,text/plain,,,,,,,True,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://doubleclick.net:443,https,GET,142.250.186.78,/,708578229,2a00:1450:4001:831::200e,2179,False,,sffe,text/html,HTTP/3,,,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
*.fb.com,Facebook - log in or sign up,200,13207,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2023-05-20T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f6e389c7240ab2594d350e0b8348c81d,f3026f8cda3f093ed8102d6601228abe19e0d8ca706e35f572d7374f11eb1479,True,ctls,m.facebook.com,443,https://fb.com:443,https,GET,157.240.251.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,2,False,,,application/vnd.wap.xhtml+xml,HTTP/3,,,https://m.facebook.com/,,"Meta Platforms, Inc.",,
*.fbsbx.com,Not Found,404,126,fbsbx.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2023-05-20T23:59:59Z,"CN=fbcdn.net, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",fbcdn.net,www.fbcdn.net,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d33b04901080d7406819680efb828804,f36243ed9fc4ede648ffc70921accc0a41e77a003d5db9c71199ee2dc5c49d58,,ctls,fbsbx.com,443,https://fbsbx.com:443,https,GET,157.240.253.35,/,1684230672,2a03:2880:f176:181:face:b00c:0:25de,1,False,,,text/html,HTTP/3,,,,*.twitter.com,"Meta Platforms, Inc.",,
*.giphy.com,GIPHY - Be Animated,200,16199,giphy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-29T22:27:14Z,2023-12-31T22:27:13Z,CN=giphy.com,giphy.com,www.giphy.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,abbe03d402fc564a91d813d208efb573,0b90433de6d90a7b8075ee48e9735213c0c8b4dea1784dde46d53642ab4d595e,,ctls,giphy.com,443,https://giphy.com:443,https,GET,151.101.65.185,/,175346534,151.101.129.185,308,False,,nginx,text/html,Varnish,fastly,True,,,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,GET,142.250.185.100,/,302920777,2a00:1450:4001:82f::2004,1831,False,,sffe,text/html,HTTP/3,,,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,,
*.google.com,Google,200,202274,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,443,https://google.com:443,https,GET,172.217.18.14,/,708578229,2a00:1450:4001:813::200e,134,False,,gws,text/html,HTTP/3,,,https://www.google.com/,https://csp.withgoogle.com/csp/gws/other-hp,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,443,https://gstatic.com:443,https,GET,142.250.181.227,/,302920777,2a00:1450:4001:803::2003,12,False,,sffe,text/html,HTTP/3,,,https://www.gstatic.com/,,,,
*.tenor.co,Tenor GIF Keyboard - Bring Personality To Your Conversations,200,349691,tenor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-30T21:42:19Z,2023-10-01T21:42:18Z,CN=tenor.com,tenor.com,tenor.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ebf3adac442f231c1ade3f75bb423513,189d051b0d0e65d460dc64df9f369504a30cd53383fc6f2e7d97382c1fe0e560,,ctls,tenor.com,443,https://tenor.co:443,https,GET,151.101.2.217,/,-446793542,151.101.194.217,4,False,,,text/html,Varnish,fastly,True,https://tenor.com/,https://c.tenor.com/,,,
*.whatsapp.net,WhatsApp,200,232424,www.whatsapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2023-05-20T23:59:59Z,"CN=*.whatsapp.net, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.whatsapp.net,whatsapp.net,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5deca95387d3e866c105607f19dd3b77,beb74018bd0dd855f85e2aff9bb6f511b9472b224b74a8ef71e43cd06d6fcf87,True,ctls,www.whatsapp.com,443,https://whatsapp.net:443,https,GET,157.240.253.60,/,1735289686,2a03:2880:f276:cd:face:b00c:0:167,18,False,True,,text/html,HTTP/3,,,https://www.whatsapp.com/,,"Meta Platforms, Inc.",,
