new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips
[x],1000klassiekers.radio2.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],1000klassiekerskoor-vooravond.events.radio2.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],1000klassiekerskoor.events.radio2.be,"ns1.ethera.be, dns.tigron.net",NOERROR,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,,,"web0.tickoweb.net, peak.proxy.tickoweb.net",,,,,,
[x],100jaarjazz.klara.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],4ever.ketnet.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],aaa-0.lab.vrt.be,"ns02.vrt.be, niels\.laukens.vrt.be",NOERROR,95.130.44.3,,,,,,,,,,
[x],aaa-1.lab.vrt.be,"ns02.vrt.be, niels\.laukens.vrt.be",NOERROR,95.130.44.4,,,,,,,,,,
[x],acceptance.ketnet.be,"ns-621.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],accounts-dev.vrt.be,"ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"18.211.61.121, 107.23.218.60, 18.205.77.36, 18.210.153.8, 18.209.204.66, 54.88.149.194, 52.2.141.183, 18.206.141.83, 107.23.67.121, 18.210.235.241",,,,"vrt-us.sslproxy.gigya.com, sslproxy.us1.gigya.com, farm5.us1.gigya.com, lb-d.us1.gigya.com",,,,,,
[x],accounts.dev.vrt.be,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"52.2.141.183, 107.23.218.60, 18.209.204.66, 18.206.141.83, 18.205.77.36, 18.210.235.241, 18.211.61.121, 18.210.153.8, 107.23.67.121, 54.88.149.194",,,,"vrt-us.sslproxy.gigya.com, sslproxy.us1.gigya.com, farm5.us1.gigya.com, lb-d.us1.gigya.com",,,,,,
[x],accounts.stag.vrt.be,"ns-1877.awsdns-42.co.uk, awsdns-hostmaster.amazon.com, dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"18.210.153.8, 18.210.235.241, 18.211.61.121, 52.2.141.183, 54.88.149.194, 107.23.67.121, 107.23.218.60, 18.205.77.36, 18.206.141.83, 18.209.204.66",,,,"vrt-us.sslproxy.gigya.com, sslproxy.us1.gigya.com, farm5.us1.gigya.com, lb-d.us1.gigya.com",,,,,,
