input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired,tls_self_signed
1000klassiekerskoor-vooravond.events.radio2.be,elke dag telt voor 2 | radio2,200,243147,AS56837,TIGRON-AS,BE,86.39.64.0/20,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,,443,https://1000klassiekerskoor-vooravond.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-1312892925,2a00:6ec0:101:1:0:98:0:1,webpack,1,False,,nginx/1.22.0,https://radio2.be/,,,,,,
1000klassiekerskoor.events.radio2.be,elke dag telt voor 2 | radio2,200,243147,AS56837,TIGRON-AS,BE,86.39.64.0/20,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,,443,https://1000klassiekerskoor.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,1,False,,nginx/1.22.0,https://radio2.be/,,,,,,
accounts-dev.vrt.be,,200,,AS14618,AMAZON-AES,US,18.211.60.0/24,,,,,,,,,,,,,,,,,,,80,http://accounts-dev.vrt.be:80,http,text/html,GET,18.205.77.36,/,-1516177449,18.210.153.8,,1,False,,,,,,,,,
accounts.dev.vrt.be,,200,,AS14618,AMAZON-AES,US,54.88.0.0/14,accounts.dev.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T00:00:00Z,2023-05-30T23:59:59Z,CN=accounts.dev.vrt.be,accounts.dev.vrt.be,social.stag.vrt.be,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,f00b00e840faecfecbac57d937b0236e,306854b8006d7d579f05e97f24a7cb90c3b66f58343930cdae42a4d2831195b8,ctls,accounts.dev.vrt.be,,443,https://accounts.dev.vrt.be:443,https,text/html,GET,54.88.149.194,/,,52.2.141.183,,1,False,,,,,,,,,
accounts.stag.vrt.be,,200,,AS14618,AMAZON-AES,US,52.0.0.0/13,accounts.stag.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-30T00:00:00Z,2023-05-30T23:59:59Z,CN=accounts.dev.vrt.be,accounts.dev.vrt.be,social.stag.vrt.be,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,f00b00e840faecfecbac57d937b0236e,306854b8006d7d579f05e97f24a7cb90c3b66f58343930cdae42a4d2831195b8,ctls,accounts.stag.vrt.be,,443,https://accounts.stag.vrt.be:443,https,text/html,GET,52.2.141.183,/,-1516177449,54.88.149.194,,1,False,,,,,,,,,
actievideo.dewarmsteweek.be,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,actievideo.dewarmsteweek.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-10T23:59:59Z,CN=*.dewarmsteweek.be,*.dewarmsteweek.be,dewarmsteweek.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7154e180daff39c67da42d4778255115,ccb7fde7fc4a2b5155d6894b003a5405a8ac970be384b496faff6eff5fb1d49e,ctls,actievideo.dewarmsteweek.be,cloudfront,443,https://actievideo.dewarmsteweek.be:443,https,application/xml,GET,108.138.7.7,/,2062148311,2600:9000:2490:e400:1a:746a:ea00:93a1,Amazon Web Services,2,False,True,AmazonS3,,True,,,,,
adfs.vrt.be,Not Found,404,315,AS49046,VRT-AS,BE,95.130.40.0/21,adfs.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-12T00:00:00Z,2023-09-12T23:59:59Z,"CN=adfs.vrt.be, O=VRT, ST=Brussels Hoofdstedelijk Gewest, C=BE",adfs.vrt.be,www.adfs.vrt.be,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,63ba59d7232221c87b01e28d612fe13f,67505b318e637c9a44778b543401ab27fe2f7c615f3dbaa9ae09f287f9205d9d,ctls,adfs.vrt.be,,443,https://adfs.vrt.be:443,https,text/html,GET,95.130.43.91,/,225052475,95.130.43.91,Microsoft HTTPAPI:2.0,7,False,,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,,,,VRT,,,
adfsdecrypt.vrt.be,Not Found,404,315,AS49046,VRT-AS,BE,95.130.40.0/21,,,,,,,,,,,,,,,,,,,80,http://adfsdecrypt.vrt.be:80,http,text/html,GET,95.130.43.91,/,225052475,95.130.43.91,Microsoft HTTPAPI:2.0,7,False,,Microsoft-HTTPAPI/2.0,,,,,,,
admin-ouders.ketnet.be,Log in | Ketnet voor Ouders,200,5702,AS0,Not routed,None,13.224.192.0/21,admin-ouders.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-29T23:59:59Z,CN=ouders.ketnet.be,ouders.ketnet.be,admin-stag-ouders.ketnet.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,32b9bb35357b0780e8333a9dee346e69,9eed35d6ed065bef4774f56a8093a69b98a78c38d5f710eaebf26ff16ecfd168,ctls,admin-ouders.ketnet.be,cloudfront,443,https://admin-ouders.ketnet.be:443,https,text/html,GET,13.224.189.19,/,97040601,2600:9000:20eb:c400:0:2ba:1bc0:93a1,PHP,93,False,True,nginx,https://admin-ouders.ketnet.be/user/login,,,,https://www.ketnet.be,,
admin.events.vrt.be,Login to your VRT  admin,200,4067,AS56837,TIGRON-AS,BE,86.39.64.0/20,admin.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-01T14:05:13Z,2023-06-30T14:05:12Z,CN=admin.events.vrt.be,admin.events.vrt.be,admin.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6fbd4e2b4906b98c43f2d03dc754efae,4a2e280c6bf9b482fffe616ecdf730f2c4cefe5bb63da0ef853ea4ced6404997,ctls,admin.events.vrt.be,,443,https://admin.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,97,False,,,https://admin.events.vrt.be/login,,,,,,
