new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,mx,ns,txt,caa
[x],maillink.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],mobileapp.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],notifications.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],o1.mail1.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,168.245.34.88,,,,,,,,
[x],pdf-convert.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],preview.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],push.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],qa.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],sales.bitwarden.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,"54.243.161.55, 54.221.50.8, 54.166.96.114",,,,custom-tracking.salesloft.com,,,,"comodoca.com, digicert.com, letsencrypt.org, pki.goog"
[x],scim.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],selfhost.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],send.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:d21, 2606:4700::6812:c21",True,cloudflare,,,,,
[x],sso.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],staging-website.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.33, 104.18.13.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],start.bitwarden.com,"jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.29, 199.60.103.227","2606:2c40::c73c:671d, 2606:2c40::c73c:67e3",,,"22371289.group39.sites.hubspot.net, group39.sites.hscoscdn30.net",,,,
[x],status.bitwarden.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"52.27.210.93, 44.225.164.27, 54.218.247.76",,,,"bitwarden.hund.io, hund.io","in1-smtp.messagingengine.com, in2-smtp.messagingengine.com","ns-1041.awsdns-02.org, ns-1840.awsdns-38.co.uk, ns-332.awsdns-41.com, ns-544.awsdns-04.net","google-site-verification=ABVQgB531cVTnVYrS-sH1mrHPlKCbzfmIhYVnB22wyQ, v=spf1 a mx include:servers.mcsv.net include:sendgrid.net include:mailgun.org include:spf.messagingengine.com ~all","mailto:support@hund.io, awstrust.com, letsencrypt.org"
[x],vault-staging.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.33, 104.18.12.33","2606:4700::6812:c21, 2606:4700::6812:d21",True,cloudflare,,,,,
[x],www.blog.bitwarden.com,"igor.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
