new,host,a,cname,soa,caa,status_code,txt,aaaa,ns,cdn,cdn-name,mx,has_internal_ips,internal_ips
[x],bounces.mollie.com,,eu.sparkpostmail.com,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",,NOERROR,"google-site-verification=Qx_Hf7j4nPAg9U0GwAwXHrYd0VQ7zysFmqBUzgAa4CQ, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202203052053464ssc9e0bx6sxfn166dy9hz8920yzqh29g2osq7ipzecjw7a4pj",,"ns-384.awsdns-48.com, ns-894.awsdns-47.net, ns-1107.awsdns-10.org, ns-1800.awsdns-33.co.uk",,,smtp.eu.sparkpostmail.com,,
,_spf.ses.mollie.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,v=spf1 ip4:54.240.52.108 ip4:54.240.52.109 ip4:69.169.231.186 ip4:69.169.231.187 -all,,,,,,,
,api.cc.mollie.com,79.171.83.60,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,api.mcpp.mollie.com,34.111.145.109,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-e4.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com",True,google,,,
,api.mollie.com,34.111.71.221,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,assets.docs.mollie.com,"18.165.83.111, 18.165.83.7, 18.165.83.83, 18.165.83.122, 205.251.193.130, 205.251.195.118, 205.251.196.155, 205.251.199.106",d28msjb06o9g86.cloudfront.net,"ns-1179.awsdns-19.org, awsdns-hostmaster.amazon.com",,NOERROR,,"2600:9000:24f4:2600:c:2f5a:9980:93a1, 2600:9000:24f4:3a00:c:2f5a:9980:93a1, 2600:9000:24f4:9600:c:2f5a:9980:93a1, 2600:9000:24f4:4400:c:2f5a:9980:93a1, 2600:9000:24f4:2c00:c:2f5a:9980:93a1, 2600:9000:24f4:a00:c:2f5a:9980:93a1, 2600:9000:24f4:f200:c:2f5a:9980:93a1, 2600:9000:24f4:ea00:c:2f5a:9980:93a1, 2600:9000:5301:8200::1","ns-1179.awsdns-19.org, ns-886.awsdns-46.net, ns-386.awsdns-48.com, ns-1898.awsdns-45.co.uk",True,cloudfront,,,
,assets.mollie.com,"108.138.85.51, 108.138.85.57, 108.138.85.55, 108.138.85.126",rr-assets-mollie-com.getbynder.com,"ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,"2600:9000:2509:b800:6:a1f8:8700:93a1, 2600:9000:2509:6c00:6:a1f8:8700:93a1, 2600:9000:2509:8000:6:a1f8:8700:93a1, 2600:9000:2509:9200:6:a1f8:8700:93a1, 2600:9000:2509:1600:6:a1f8:8700:93a1, 2600:9000:2509:ea00:6:a1f8:8700:93a1, 2600:9000:2509:ec00:6:a1f8:8700:93a1, 2600:9000:2509:5800:6:a1f8:8700:93a1",,True,cloudfront,,,
,beta.mollie.com,34.111.71.221,mollie.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","mailto:security@mollie.com, comodoca.com, digicert.com, globalsign.com, letsencrypt.org, ;",NOERROR,"apple-domain-verification=P6t7ibCD57Ks8ySP, docusign=ed21ba74-b9ba-4227-ad85-cfb18cb1b336, 1password-site-verification=VICI5I5G3ZFNHNZUMTFUOE7DXQ, docker-verification=be34279c-85d7-4673-9750-c256e923396f, facebook-domain-verification=stc7mgdejvo0n3wodfxlzjtbx9rejl, mixpanel-domain-verify=96ac912b-fe68-4670-9ed8-4abbfa7f4ce5, pinterest-site-verification=fe7b5c9a049f83497c3533f769c78c30, marketing-cloud=SFMC-fr7sZUEq9Oe-GFbRXc5dr92hZv6BnvkUfE82-n4d, google-site-verification=I3p5mTUmo64TgrFkQkFAH0eFxntdrQlRN7Nqz9plxSE, google-site-verification=YI1XhqSOrKf_Pbt1kn92EAUAnm4NEsa32ffRwCdetRE, atlassian-domain-verification=YtEfelC1r3jpY1Fgm+X+JHik3soTZgNbU6ixW/1fZvGwisa38VNcp3cvW0WsYPPj, v=spf1 ip4:81.93.166.36/31 include:_spf.ses.mollie.com include:_spf.google.com include:mail.zendesk.com ~all",,"ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",True,google,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",,
,blog.mollie.com,"52.6.3.192, 52.4.38.70, 52.0.16.118, 52.1.147.205, 52.4.240.221, 52.1.119.170, 52.1.173.203, 52.4.225.124, 52.4.145.119, 52.4.175.111, 52.6.46.142, 52.5.181.79",,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","letsencrypt.org, mailto:security@mollie.com, comodoca.com",NOERROR,,,,,,,,
,cashadvance.mollie.com,34.110.250.163,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e4.googledomains.com",True,google,,,
,cdn.merchantdashboard.mollie.com,35.190.76.245,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,cdn.website.mollie.com,34.110.164.163,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,click.email.mollie.com,159.92.136.36,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,,
,cloud.my.mollie.com,34.102.146.113,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,cloud.www.mollie.com,34.102.146.113,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,components.lightspeed.mollie.com,34.117.156.210,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,config.lightspeed.mollie.com,34.117.156.210,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,True,google,,,
,demo.mollie.com,35.241.47.199,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com",True,google,,,
,dummyservice.mollie.com,34.120.19.40,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,"ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com",True,google,,,
,email.mollie.com,159.92.152.14,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,v=spf1 include:cust-spf.exacttarget.com -all,,"ns2.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com, ns4.exacttarget.com",,,reply.s51.exacttarget.com,,
,help.mollie.com,"104.16.53.111, 104.16.51.111",molliehelp.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,"pod=18, v=spf1 include:mail.zendesk.com ~all",,,True,cloudflare,mail-pod-18.int.zendesk.com,,
,info.mollie.com,"199.60.103.31, 199.60.103.225","2529010g10.secure0088.hubspot.net, 2529010.group10.sites.hubspot.net, group10.sites.hscoscdn10.net","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,"2606:2c40::c73c:671f, 2606:2c40::c73c:67e1",,,,,,
,jobs.mollie.com,"37.97.224.112, 37.97.224.113",,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,js.mollie.com,79.171.83.60,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
,lightspeed.mollie.com,"34.117.156.210, 216.239.32.110, 216.239.34.110, 216.239.36.110, 216.239.38.110",,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,"2001:4860:4802:32::6e, 2001:4860:4802:34::6e, 2001:4860:4802:36::6e, 2001:4860:4802:38::6e","ns-cloud-e3.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e4.googledomains.com",True,google,,,
,localhost.email.mollie.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",,NOERROR,,,,,,,True,127.0.0.1
,marketing.mollie.com,159.92.128.135,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,,
