new,host,a,soa,ns,status_code,aaaa,cname,mx,caa,cdn,cdn-name,txt,has_internal_ips,internal_ips
[x],31859095.app.asana.com,"34.226.53.8, 34.231.47.205, 50.16.4.148, 34.227.129.202, 54.152.19.51, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],35393328.app.asana.com,"54.152.19.51, 34.226.53.8, 50.16.4.148, 44.193.37.178, 34.227.129.202, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],3dapp.asana.com,"34.231.47.205, 44.193.37.178, 54.152.19.51, 34.226.53.8, 34.227.129.202, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],4jjxqskapcy4tamk.app.asana.com,"54.152.19.51, 44.193.37.178, 34.226.53.8, 50.16.4.148, 34.227.129.202, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],50663734.app.asana.com,"34.226.53.8, 50.16.4.148, 34.227.129.202, 34.231.47.205, 54.152.19.51, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],55571204.asana.com,"34.231.47.205, 34.226.53.8, 44.193.37.178, 54.152.19.51, 50.16.4.148, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],6-sync-prod-eu1.app.asana.com,"44.193.37.178, 54.152.19.51, 34.227.129.202, 50.16.4.148, 34.231.47.205, 34.226.53.8","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],62818201.app.asana.com,"50.16.4.148, 54.152.19.51, 34.231.47.205, 34.226.53.8, 44.193.37.178, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],6310997.asana.com,"50.16.4.148, 44.193.37.178, 34.231.47.205, 54.152.19.51, 34.226.53.8, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],66275025.app.asana.com,"34.226.53.8, 34.227.129.202, 44.193.37.178, 50.16.4.148, 54.152.19.51, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],66620184.app.asana.com,"50.16.4.148, 34.231.47.205, 54.152.19.51, 34.226.53.8, 44.193.37.178, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],68808897.app.asana.com,"34.231.47.205, 34.227.129.202, 34.226.53.8, 50.16.4.148, 54.152.19.51, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],73953839.app.asana.com,"34.231.47.205, 34.227.129.202, 34.226.53.8, 44.193.37.178, 54.152.19.51, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],73994258.asana.com,"44.193.37.178, 34.231.47.205, 54.152.19.51, 34.226.53.8, 34.227.129.202, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],78228133.app.asana.com,"34.231.47.205, 44.193.37.178, 50.16.4.148, 54.152.19.51, 34.226.53.8, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],80326832.app.asana.com,"50.16.4.148, 54.152.19.51, 34.226.53.8, 34.227.129.202, 34.231.47.205, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],81854599.app.asana.com,"34.231.47.205, 44.193.37.178, 50.16.4.148, 54.152.19.51, 34.226.53.8, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],85382113.app.asana.com,"44.193.37.178, 50.16.4.148, 34.226.53.8, 34.227.129.202, 34.231.47.205, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],89858412.asana.com,"54.152.19.51, 44.193.37.178, 34.231.47.205, 34.226.53.8, 50.16.4.148, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],8atzywvvgloeqjvr.asana.com,"34.226.53.8, 44.193.37.178, 50.16.4.148, 54.152.19.51, 34.227.129.202, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],8zx6go4a65i7xlca.app.asana.com,"54.152.19.51, 34.226.53.8, 34.231.47.205, 34.227.129.202, 50.16.4.148, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],94617712.app.asana.com,"44.193.37.178, 34.226.53.8, 50.16.4.148, 54.152.19.51, 34.231.47.205, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],99707968.app.asana.com,"50.16.4.148, 34.227.129.202, 44.193.37.178, 34.231.47.205, 34.226.53.8, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],9lugfi7k6kbugpdx.asana.com,"34.227.129.202, 50.16.4.148, 34.226.53.8, 44.193.37.178, 34.231.47.205, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],a1310pp.asana.com,"34.231.47.205, 34.227.129.202, 44.193.37.178, 54.152.19.51, 50.16.4.148, 34.226.53.8","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],aap.asana.com,"50.16.4.148, 34.231.47.205, 34.227.129.202, 44.193.37.178, 54.152.19.51, 34.226.53.8","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],about.asana.com,"34.227.129.202, 34.226.53.8, 34.231.47.205, 44.193.37.178, 54.152.19.51, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],academy.asana.com,"18.173.233.76, 18.173.233.20, 18.173.233.125, 18.173.233.110","ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,academy.asana.com.skilljarapp.com,,,True,cloudfront,,,
[x],acc-beta.integrations.asana.plus,"65.9.86.88, 65.9.86.123, 65.9.86.105, 65.9.86.69","ns-1272.awsdns-31.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,cloudfront,,,
[x],acc-qa.integrations.asana.plus,"52.222.214.64, 52.222.214.48, 52.222.214.126, 52.222.214.21","ns-1272.awsdns-31.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,cloudfront,,,
[x],acc.integrations.asana.plus,"99.86.4.27, 99.86.4.63, 99.86.4.99, 99.86.4.86","ns-1272.awsdns-31.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,cloudfront,,,
[x],acc2.integrations.asana.plus,"13.225.78.97, 13.225.78.24, 13.225.78.102, 13.225.78.113","ns-871.awsdns-44.net, awsdns-hostmaster.amazon.com","ns-1408.awsdns-48.org, ns-1537.awsdns-00.co.uk, ns-321.awsdns-40.com, ns-871.awsdns-44.net",NOERROR,"2600:9000:21f3:dc00:1f:c6ba:6fc0:93a1, 2600:9000:21f3:8a00:1f:c6ba:6fc0:93a1, 2600:9000:21f3:5200:1f:c6ba:6fc0:93a1, 2600:9000:21f3:7400:1f:c6ba:6fc0:93a1, 2600:9000:21f3:8e00:1f:c6ba:6fc0:93a1, 2600:9000:21f3:1a00:1f:c6ba:6fc0:93a1, 2600:9000:21f3:6200:1f:c6ba:6fc0:93a1, 2600:9000:21f3:6a00:1f:c6ba:6fc0:93a1",d14bsumxauweyn.cloudfront.net,,,True,cloudfront,,,
[x],advisors-2.asana.com,"44.193.37.178, 34.227.129.202, 34.226.53.8, 34.231.47.205, 54.152.19.51, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],advisors-5.asana.com,"34.227.129.202, 34.231.47.205, 44.193.37.178, 50.16.4.148, 54.152.19.51, 34.226.53.8","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],advisors.asana.com,"18.244.140.29, 18.244.140.48, 18.244.140.14, 18.244.140.12","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,True,cloudfront,,,
[x],advisors2.asana.com,"34.231.47.205, 54.152.19.51, 34.226.53.8, 50.16.4.148, 44.193.37.178, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],airflow.asana.biz,,"ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],airpedal.asana.com,"50.16.4.148, 34.231.47.205, 34.227.129.202, 34.226.53.8, 54.152.19.51, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],ant14v14rus14nternet-secur14ty.asana.com,"44.193.37.178, 50.16.4.148, 34.227.129.202, 34.226.53.8, 54.152.19.51, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],antivirusinternet-security.asana.com,"44.193.37.178, 54.152.19.51, 50.16.4.148, 34.226.53.8, 34.227.129.202, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],api.asana.com,"34.226.53.8, 34.227.129.202, 54.152.19.51, 44.193.37.178, 34.231.47.205, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],app.asana.com,"54.152.19.51, 50.16.4.148, 34.231.47.205, 34.226.53.8, 34.227.129.202, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,"google-site-verification=48sALEW3QesNyljQVGTvPHuuBfllOaRs7s_9QqCltgk, v=spf1 -all",,
[x],apps.asana.com,"34.227.129.202, 44.193.37.178, 50.16.4.148, 34.226.53.8, 34.231.47.205, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],asana.biz,"18.66.122.38, 18.66.122.23, 18.66.122.89, 18.66.122.75","ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com","ns-1321.awsdns-37.org, ns-1645.awsdns-13.co.uk, ns-441.awsdns-55.com, ns-731.awsdns-27.net",NOERROR,,,,,True,cloudfront,"google-site-verification=myNYTNSBZz3hHzqmko3edxiiY5gC4mjmmtDR9Uccnrw, v=spf1 -all",,
[x],asana.com,"151.101.129.187, 151.101.65.187, 151.101.1.187, 151.101.193.187","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,"alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com",,True,fastly,"adobe-idp-site-verification=2896b77ba494e6c0f990471fc7c8ca6a7c4e3994e321095bcc3c8bbf945b7ad6, adobe-idp-site-verification=9e1a3657986c3349d25538a0edafec8fdc2f7f82e859f56e1f966b8937899483, atlassian-domain-verification=Qy2QHH23jn/9B4B2OGIAPMK5iwt5M5ApbJOKKMkvSIU9jbaOPOQ5QlQNtdGRanMD, citrix-verification-code=7deecbc0-1cdb-4259-9ab0-bb9518b7a306, docker-verification=5afdc54c-fd14-4aee-9a83-b64faf64e580, docusign=9297a515-abdf-4ccf-9ef1-a7745c4ae0a0, docusign=bc6fd7b2-c85b-4aa8-b2cd-f76828857622, drift-domain-verification=93cc340df66d84d8b0228f9a6af5e687876773ae3d54135289cad0a9fe252ee3, facebook-domain-verification=rvwl77vi0zpstm13gyoqyvdyfxhj6t, globalsign-domain-verification=wvdz6fqNpGYoUxoyCbEUOYrkz-Z8Nh2zXAoS8lsLRh, globalsign-domain-verification=zfCNvJt0iTcEchLrE0nrimsdl4h4m4zVTSJYOcrlcJ, google-site-verification=2WiKNPQZP5e0V2guf_QIYqXrH-QSNP3QDU4ADE6B-Sg, google-site-verification=DmL7ihpGYbW4ZedC80sBu2va0INYY1m7nRqKmvXd-es, google-site-verification=DxotoqlMTfSRrxiKGMd-XA44xVkuFK-hBE6Fb1s_sos, google-site-verification=ELz_Zq8mezZ-jMGFhX6bz95lUtBDnE5U7reJR-5qVkM, google-site-verification=LZlTECX7UL8Rn2AoSdHJBPKBAa7J9seMO9LkAkI21AQ, google-site-verification=MVXdwV1XJqZhtcXD6acaOd_PF-9HFX-I_HbkIK2qk7Y, google-site-verification=PsdrQY64fgMD4yY4BzT63Mh9XiPxa_LoRJO2UGfgnmQ, google-site-verification=Ssz7_hbTrMNTdGAOjORxdGrx9aiNRZRJSDw1RM5e950, google-site-verification=uz1agEzzV9STo8iE0lGf-_aY0rTSxqT_1z5rgn8g_0M, pinterest-site-verification=c4c1eeeebcad0f384488dbb928c3af49, status-page-domain-verification=6z2gjm6xzr3m, stripe-verification=09b42486aff9591dba05d44a87237b528320de33b90bdb4306ca52582d38ad71, stripe-verification=399ed11dabf186ff0c414ad8055755dc3d1cdb0c530ed01d2c80b4f96f5f6db6, stripe-verification=488f72d5ceb58bfe8390ee75830f91d0352a373ec10a7702a940379db83ca5a4, stripe-verification=5d786faafef386964629cec24c05681134028452a87855cd1c9cff95f473103a, stripe-verification=87851634101c0a53918fad9e101ae4294788569f6abbdf253a7cd47e77190165, stripe-verification=bcd33c573bbf080f50965fe94c6632baba7bf04cd3dd7bf567a7cd1cb5e36819, v=spf1 a:zgateway.zuora.com include:_spf.google.com include:amazonses.com include:spf.mtasv.net include:mktomail.com include:mg-spf.greenhouse.io exists:%{i}._spf.mta.salesforce.com -all, ZOOM_verify_cd-PrKuBT6C7UsSQIZFdgQ",,
[x],asana.plus,"13.32.99.92, 13.32.99.129, 13.32.99.8, 13.32.99.119","ns-1168.awsdns-18.org, awsdns-hostmaster.amazon.com","ns-835.awsdns-40.net, ns-1732.awsdns-24.co.uk, ns-1168.awsdns-18.org, ns-316.awsdns-39.com",NOERROR,,,,"amazon.com, mailto:prod-security@asana.com",True,cloudfront,"v=spf1 -all, google-site-verification=Ra6iHUY2ZNMzfsX9_rl0Sup-Ubm0fCibILTvIH9WPGE, globalsign-domain-verification=FnXWfFjPqReOGiIH8ITAbUasqKxnix6ftvTUzPOKHF",,
[x],asana.xn--comwavelength-r82l.xn--comblog-0o3f.asana.xn--comcommunity-f33kqs0j.asana.com,"34.226.53.8, 50.16.4.148, 44.193.37.178, 34.227.129.202, 34.231.47.205, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],asanapedia.asana.biz,"54.158.142.179, 54.162.121.126","ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],assets.asana.biz,"18.160.18.74, 18.160.18.87, 18.160.18.20, 18.160.18.40","ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:250b:6a00:1b:58de:c4c0:93a1, 2600:9000:250b:a800:1b:58de:c4c0:93a1, 2600:9000:250b:a00:1b:58de:c4c0:93a1, 2600:9000:250b:3400:1b:58de:c4c0:93a1, 2600:9000:250b:1600:1b:58de:c4c0:93a1, 2600:9000:250b:1c00:1b:58de:c4c0:93a1, 2600:9000:250b:f600:1b:58de:c4c0:93a1, 2600:9000:250b:e00:1b:58de:c4c0:93a1",rr-assets-asana-biz.getbynder.com,,amazon.com,True,cloudfront,,,
[x],au1.app.asana.com,"34.226.53.8, 34.227.129.202, 34.231.47.205, 44.193.37.178, 50.16.4.148, 54.152.19.51","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],auth-eu1.app.asana.com,"34.227.129.202, 44.193.37.178, 34.231.47.205, 34.226.53.8, 54.152.19.51, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],auth.asana.plus,"54.224.31.66, 3.211.92.111","ns-1168.awsdns-18.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],autoland-dv.comform.asana.com,"54.152.19.51, 34.227.129.202, 34.226.53.8, 50.16.4.148, 44.193.37.178, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bama4kids.co.ukform.asana.com,"34.227.129.202, 34.226.53.8, 54.152.19.51, 34.231.47.205, 44.193.37.178, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bastion.integrations.asana.plus,52.40.64.117,"ns-1272.awsdns-31.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],belianki.vh85.app.asana.com,"44.193.37.178, 54.152.19.51, 50.16.4.148, 34.226.53.8, 34.231.47.205, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bestantivirussoftware.asana.com,"44.193.37.178, 34.227.129.202, 54.152.19.51, 50.16.4.148, 34.231.47.205, 34.226.53.8","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-bastion-preferred.machine.asana.biz,18.209.20.4,"ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-datascripts-preferred.machine.asana.biz,100.26.172.184,"ns-1645.awsdns-13.co.uk, awsdns-hostmaster.amazon.com","ns-1321.awsdns-37.org, ns-1645.awsdns-13.co.uk, ns-441.awsdns-55.com, ns-731.awsdns-27.net",NOERROR,,,,,,,,,
[x],beta-mock-platform-ui-app-server.asana.plus,"3.213.144.242, 3.226.234.1","ns-1168.awsdns-18.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-prod-beta-us1-beta.app.asana.com,"44.193.37.178, 34.226.53.8, 34.227.129.202, 34.231.47.205, 54.152.19.51, 50.16.4.148","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-prod-beta-us1.app.asana.com,"50.16.4.148, 34.226.53.8, 34.231.47.205, 54.152.19.51, 34.227.129.202, 44.193.37.178","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],beta-prod-internal-internal.app.asana.com,"44.193.37.178, 50.16.4.148, 34.227.129.202, 34.226.53.8, 54.152.19.51, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com","ns-1105.awsdns-10.org, ns-1990.awsdns-56.co.uk, ns-236.awsdns-29.com, ns-810.awsdns-37.net",NOERROR,,,,,,,,,
[x],beta-slack-server.asana.plus,"54.165.95.212, 54.157.110.103","ns-1168.awsdns-18.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-us1-cell01-111084d5.app.asana.com,"34.226.53.8, 54.152.19.51, 34.227.129.202, 44.193.37.178, 50.16.4.148, 34.231.47.205","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta-us1-cell01.app.asana.com,"34.231.47.205, 34.226.53.8, 44.193.37.178, 54.152.19.51, 50.16.4.148, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],beta.asana.com,"34.226.53.8, 54.152.19.51, 34.231.47.205, 44.193.37.178, 50.16.4.148, 34.227.129.202","ns-1990.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],blog.asana.com,"141.193.213.10, 141.193.213.11","darwin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,wp.wpenginepowered.com,,,,,,,
