input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tls_wildcard_certificate,webserver,tech_,cdn_name,cdn,final_url,csp_domains_
aaa.hilton.com,Hilton Page Reference Code,403,102487,AS26529,HILTON-E,US,167.187.200.0/22,www3.hilton.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-24T00:00:00Z,2023-09-27T23:59:59Z,"CN=*.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",*.hilton.com,Hilton International Holding LLC,hilton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2fe7951f757125e47bb9c0e028a156ca,c506c1a14e78805ce2069509b14c31113aad06684aafd17a85d57d870863a126,ctls,www3.hilton.com,80,http://aaa.hilton.com:80,http,text/html,GET,167.187.200.18,/,-738705486,167.187.200.18,141,False,,True,AkamaiNetStorage,,,,https://www3.hilton.com/en/portals/aaa/index.html,
acrl.hilton.com,the Lobby Login,200,9157,AS3826,HILTON-C,US,167.187.100.0/22,fd.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T00:00:00Z,2024-05-02T23:59:59Z,"CN=p.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",p.hilton.com,Hilton International Holding LLC,apipm.pep.hilton.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,88588eb407675bd7b4c3e3cfcfee553c,2c2295a2e712ed9e98a4cc069587fb1097ea4fd5db69664856235988f62c9d61,ctls,fd.hilton.com,443,https://acrl.hilton.com:443,https,text/html,GET,167.187.101.96,/,-1840324437,167.187.101.96,243,False,,,,Akamai,,,https://fd.hilton.com/idp/startSSO.ping?PartnerSpId=ACRL,
af.hilton.com,,404,9,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,af.hilton.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2022-09-24T00:00:00Z,2023-09-27T23:59:59Z,"CN=*.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",*.hilton.com,Hilton International Holding LLC,hilton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2fe7951f757125e47bb9c0e028a156ca,c506c1a14e78805ce2069509b14c31113aad06684aafd17a85d57d870863a126,ctls,af.hilton.com,443,https://af.hilton.com:443,https,text/html,GET,104.79.22.6,/,,104.79.22.6,1,False,,True,Apache,HSTS,,,,
albany.hilton.com,"Hilton Albany, NY Downtown Hotel with Indoor Pool",200,288771,AS26529,HILTON-E,US,167.187.200.0/22,www.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=www.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US, serialNumber=5538846, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.hilton.com,Hilton International Holding LLC,hilton.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,41bf9b2a5bbb44f989871a9affcc118f,169b781f112dd4a1d269860d765fb82bce45fe4b4af593c01bbee3b8abf2d989,ctls,www.hilton.com,80,http://albany.hilton.com:80,http,text/html,GET,167.187.200.18,/,-738705486,167.187.200.18,3,False,,,,HSTS,,,https://www.hilton.com/en/hotels/albhhhf-hilton-albany/,
aloha-1.hilton.com,,200,315,AS3826,HILTON-C,US,167.187.100.0/22,aloha-1.hilton.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-07-26T00:00:00Z,2023-07-26T23:59:59Z,"CN=aloha.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",aloha.hilton.com,Hilton International Holding LLC,aloha-1.hilton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,63b009cfe17d8207d7cf07c4c90b70e3,e88f0c898282977f806814fcdbeb6508275d6a59305122456b66dd6d78cde243,ctls,aloha-1.hilton.com,443,https://aloha-1.hilton.com:443,https,text/html,GET,167.187.103.215,/,-1840324437,167.187.103.215,9,False,,,,HSTS,,,,
alohaemea.hilton.com,,200,315,AS3356,LEVEL3,US,212.187.172.0/24,alohaemea.hilton.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-07-20T00:00:00Z,2023-07-20T23:59:59Z,"CN=alohaemea.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",alohaemea.hilton.com,Hilton International Holding LLC,alohaemea.hilton.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,debefd5247e95dc0e26451feb4c2a419,bea251ac6b8bd487c73c1aaec84cdbb1c31cb59cee370b071dfa61f13bf31f02,ctls,alohaemea.hilton.com,443,https://alohaemea.hilton.com:443,https,text/html,GET,212.187.163.122,/,-1840324437,212.187.163.122,9,False,,,,HSTS,,,,
alumni.hilton.com,Hilton Alumni,200,10930,AS14618,AMAZON-AES,US,44.213.52.0/23,alumni.hilton.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T08:15:11Z,2023-06-27T08:15:10Z,CN=alumni.hilton.com,alumni.hilton.com,,www.alumni.hilton.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,94e7aa4da4609e6e51bf1c8d20921a21,f1af37bd8444ca72deba75bca14324e187023bfd0559dffa2dccd92d99121007,ctls,alumni.hilton.com,443,https://alumni.hilton.com:443,https,text/html,GET,44.208.138.79,/,-1840324437,44.208.138.79,128,False,,,nginx,PHP:8.0.28,,,,
amsterdamairportschiphol.hilton.com,Schiphol Hotel - Hilton Amsterdam Airport Schiphol,200,346679,AS26529,HILTON-E,US,167.187.200.0/22,www.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=www.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US, serialNumber=5538846, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.hilton.com,Hilton International Holding LLC,hilton.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,41bf9b2a5bbb44f989871a9affcc118f,169b781f112dd4a1d269860d765fb82bce45fe4b4af593c01bbee3b8abf2d989,ctls,www.hilton.com,80,http://amsterdamairportschiphol.hilton.com:80,http,text/html,GET,167.187.200.18,/,,167.187.200.18,6,False,,,,HSTS,,,https://www.hilton.com/en/hotels/amsaphi-hilton-amsterdam-airport-schiphol/,
anchorage.hilton.com,Hilton Downtown Anchorage Hotel,200,261626,AS26529,HILTON-E,US,167.187.200.0/22,www.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-16T00:00:00Z,2024-02-16T23:59:59Z,"CN=www.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US, serialNumber=5538846, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.hilton.com,Hilton International Holding LLC,hilton.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,41bf9b2a5bbb44f989871a9affcc118f,169b781f112dd4a1d269860d765fb82bce45fe4b4af593c01bbee3b8abf2d989,ctls,www.hilton.com,80,http://anchorage.hilton.com:80,http,text/html,GET,167.187.200.18,/,-738705486,167.187.200.18,3,False,,,,HSTS,,,https://www.hilton.com/en/hotels/ancahhf-hilton-anchorage/,
apac.hilton.com,Amex KFA Hilton Redemption,200,84550,AS14061,DIGITALOCEAN-ASN,US,167.71.0.0/16,apac.hilton.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-03-14T23:59:59Z,"CN=apac.hilton.com, O=Hilton International Holding LLC, L=McLean, ST=Virginia, C=US",apac.hilton.com,Hilton International Holding LLC,apac.hilton.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,73411a6dcda236c379b7af0e19bc18d1,595ad2746923fe9d03c3c7a356687974b49000be7589e9c0a069836f7e8c01f4,ctls,apac.hilton.com,443,https://apac.hilton.com:443,https,text/html,GET,167.71.197.30,/,-582123221,167.71.197.30,1191,False,,,nginx/1.14.0 (Ubuntu),Ubuntu,,,https://apac.hilton.com/amexkrisflyer,
