new,host,a,cname,soa,has_internal_ips,internal_ips,status_code,txt,cdn,cdn-name,aaaa,ns,mx,caa
[x],0-aws-okta-mfa-ack-beanosnts.bistro.sk,"91.235.52.79, 91.235.53.12, 91.235.53.11, 91.235.53.13",bistro.sk,"ns.rintech.sk, hostmaster.rintech.sk",,,NOERROR,"v=spf1 ip4:91.235.52.0/22 include:_spf.google.com include:spf.protection.outlook.com include:_spf.jupiter.salesmanago.pl ~all, MS=ms86802621, google-site-verification=H08fNmgmSHLGMnlyOZPk8DZ5TlFnKQbGuw6oLumz_Dg, google-site-verification=I06RvHLiQZCegh9-1N9ejVki95KzrPgQEcntkqcHdug, google-site-verification=JDI2jJKYvxfqwuPGFfSib1WKIaZOKR_KWLhijfGYKuw, google-site-verification=lLDI1Lp5kdJhjzfbe5w051ZjQ6rcXyKjjv7RY3dNz10",,,,"ns.rintech.sk, ns.rintech.eu, ns.rintech.net","ALT3.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM",
[x],0-documassets-okta-mfa-ack-beanosnts-growingupnyc.bistro.sk,91.235.52.79,bistro.sk,"ns.rintech.sk, hostmaster.rintech.sk",,,NOERROR,"MS=ms86802621, google-site-verification=H08fNmgmSHLGMnlyOZPk8DZ5TlFnKQbGuw6oLumz_Dg, google-site-verification=I06RvHLiQZCegh9-1N9ejVki95KzrPgQEcntkqcHdug, google-site-verification=JDI2jJKYvxfqwuPGFfSib1WKIaZOKR_KWLhijfGYKuw, google-site-verification=lLDI1Lp5kdJhjzfbe5w051ZjQ6rcXyKjjv7RY3dNz10, v=spf1 ip4:91.235.52.0/22 include:_spf.google.com include:spf.protection.outlook.com include:_spf.jupiter.salesmanago.pl ~all",,,,"ns.rintech.eu, ns.rintech.sk, ns.rintech.net","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com",
[x],0-documassets-okta-mfa-ack-beanosnts.correo.bistro.sk,91.235.52.79,bistro.sk,"ns.rintech.sk, hostmaster.rintech.sk",,,NOERROR,"google-site-verification=H08fNmgmSHLGMnlyOZPk8DZ5TlFnKQbGuw6oLumz_Dg, google-site-verification=JDI2jJKYvxfqwuPGFfSib1WKIaZOKR_KWLhijfGYKuw, google-site-verification=I06RvHLiQZCegh9-1N9ejVki95KzrPgQEcntkqcHdug, MS=ms86802621, google-site-verification=lLDI1Lp5kdJhjzfbe5w051ZjQ6rcXyKjjv7RY3dNz10, v=spf1 ip4:91.235.52.0/22 include:_spf.google.com include:spf.protection.outlook.com include:_spf.jupiter.salesmanago.pl ~all",,,,"ns.rintech.net, ns.rintech.sk, ns.rintech.eu","ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT3.ASPMX.L.GOOGLE.COM",
[x],0-documassets-okta-mfa-ack-beanosnts.train.bistro.sk,91.235.52.79,bistro.sk,"ns.rintech.sk, hostmaster.rintech.sk",,,NOERROR,"google-site-verification=H08fNmgmSHLGMnlyOZPk8DZ5TlFnKQbGuw6oLumz_Dg, MS=ms86802621, google-site-verification=JDI2jJKYvxfqwuPGFfSib1WKIaZOKR_KWLhijfGYKuw, google-site-verification=lLDI1Lp5kdJhjzfbe5w051ZjQ6rcXyKjjv7RY3dNz10, v=spf1 ip4:91.235.52.0/22 include:_spf.google.com include:spf.protection.outlook.com include:_spf.jupiter.salesmanago.pl ~all, google-site-verification=I06RvHLiQZCegh9-1N9ejVki95KzrPgQEcntkqcHdug",,,,"ns.rintech.sk, ns.rintech.net, ns.rintech.eu","ALT3.ASPMX.L.GOOGLE.COM, ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM",
[x],0-documassets-okta-mfa-ack-beanosnts.us-w.bistro.sk,91.235.52.79,bistro.sk,"ns.rintech.sk, hostmaster.rintech.sk",,,NOERROR,"google-site-verification=lLDI1Lp5kdJhjzfbe5w051ZjQ6rcXyKjjv7RY3dNz10, google-site-verification=H08fNmgmSHLGMnlyOZPk8DZ5TlFnKQbGuw6oLumz_Dg, MS=ms86802621, google-site-verification=I06RvHLiQZCegh9-1N9ejVki95KzrPgQEcntkqcHdug, google-site-verification=JDI2jJKYvxfqwuPGFfSib1WKIaZOKR_KWLhijfGYKuw, v=spf1 ip4:91.235.52.0/22 include:_spf.google.com include:spf.protection.outlook.com include:_spf.jupiter.salesmanago.pl ~all",,,,"ns.rintech.eu, ns.rintech.sk, ns.rintech.net","ALT1.ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ASPMX.L.GOOGLE.COM, ALT3.ASPMX.L.GOOGLE.COM",
[x],0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-1-okta-mfa-ackorigin-testing-2.ar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00-11-okta-mfa-ackorigin.ar.oscommercetest.staging.pyszne.pl,10.201.24.102,test7.staging.takeaway.com,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",True,10.201.24.102,NOERROR,,,,,,,
[x],00-ebayassets.ftp0.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
[x],00-ebayassets.glg.okta.combeta.devsql.takeawayriders.com,49.12.20.104,takeaway-knowledge-base.k.elnino-production.com,"kip.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,
