input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,webserver,cdn,csp_domains_,final_url,tls_expired
0-documassets-okta-mfa-ack-beanosnts-growingupnyc.bistro.sk,"Bistro.sk - donáška, rozvoz jedla",200,107681,www.bistro.sk,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-30T00:00:00Z,2024-01-04T23:59:59Z,CN=*.bistro.sk,*.bistro.sk,,bistro.sk,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,41438fe4638c710e77559ccf7b6eb36c,e628de03e40627d85d30859ff5af40123264d138d97d2cea7147b799b050b8cf,ctls,www.bistro.sk,443,https://0-documassets-okta-mfa-ack-beanosnts-growingupnyc.bistro.sk:443,https,text/html,GET,91.235.52.79,/,14626610,91.235.52.79,Vue.js,376,False,True,,,,https://www.facebook.com,https://www.bistro.sk/,
0-documassets-okta-mfa-ack-beanosnts.correo.bistro.sk,"Bistro.sk - donáška, rozvoz jedla",200,107681,www.bistro.sk,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-30T00:00:00Z,2024-01-04T23:59:59Z,CN=*.bistro.sk,*.bistro.sk,,bistro.sk,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,41438fe4638c710e77559ccf7b6eb36c,e628de03e40627d85d30859ff5af40123264d138d97d2cea7147b799b050b8cf,ctls,www.bistro.sk,443,https://0-documassets-okta-mfa-ack-beanosnts.correo.bistro.sk:443,https,text/html,GET,91.235.52.79,/,14626610,91.235.52.79,Vue.js,376,False,True,,,,wss://*.hotjar.com,https://www.bistro.sk/,
0-documassets-okta-mfa-ack-beanosnts.train.bistro.sk,"Bistro.sk - donáška, rozvoz jedla",200,107681,www.bistro.sk,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-30T00:00:00Z,2024-01-04T23:59:59Z,CN=*.bistro.sk,*.bistro.sk,,bistro.sk,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,41438fe4638c710e77559ccf7b6eb36c,e628de03e40627d85d30859ff5af40123264d138d97d2cea7147b799b050b8cf,ctls,www.bistro.sk,443,https://0-documassets-okta-mfa-ack-beanosnts.train.bistro.sk:443,https,text/html,GET,91.235.52.79,/,14626610,91.235.52.79,Vue.js,376,False,True,,,,https://*.googletagmanager.com,https://www.bistro.sk/,
0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-03-29T05:09:22Z,2024-03-28T05:09:22Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c4d2f63c81a4d4dc182db9820aed55f3,13e706dbebeb8af23f1b9dd74b8daa85e3ff6d87fe3d6baa7a5e15858e1069e6,ctls,0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://0-ebayassets.glg.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
00-ebayassets.ftp0.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,146,00-ebayassets.ftp0.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T03:23:33Z,2024-04-18T03:23:33Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,8562cf55440d70b7417bcb73303a6527,4837197819a8f56cc5b211d0afb5c9aa2790f3c8eda26c312002d1dbc3657b56,ctls,00-ebayassets.ftp0.okta.combeta.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.ftp0.okta.combeta.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.glg.okta.combeta.devsql.takeawayriders.com,404 Not Found,404,146,00-ebayassets.glg.okta.combeta.devsql.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:29:00Z,2024-04-10T04:29:00Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9f6a8b0e75e4563166539d1c7e88ad3b,0559152fd7d2006bb7f71a2674d15ad928dcd6f0876042064c8e1585982c400d,ctls,00-ebayassets.glg.okta.combeta.devsql.takeawayriders.com,443,https://00-ebayassets.glg.okta.combeta.devsql.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.glg.okta.combeta.host.takeawayriders.com,404 Not Found,404,146,00-ebayassets.glg.okta.combeta.host.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T05:39:27Z,2024-04-18T05:39:27Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,3a7dd7c0424d3b5036d1f7395f45751d,c6fcad3cb76afab2956691b1de7fe1482870314954eeab4ef8b14a186560ac21,ctls,00-ebayassets.glg.okta.combeta.host.takeawayriders.com,443,https://00-ebayassets.glg.okta.combeta.host.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.glg.okta.combeta.monitor.takeawayriders.com,404 Not Found,404,146,00-ebayassets.glg.okta.combeta.monitor.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-19T03:23:33Z,2024-04-18T03:23:33Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,8562cf55440d70b7417bcb73303a6527,4837197819a8f56cc5b211d0afb5c9aa2790f3c8eda26c312002d1dbc3657b56,ctls,00-ebayassets.glg.okta.combeta.monitor.takeawayriders.com,443,https://00-ebayassets.glg.okta.combeta.monitor.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,1494302000,49.12.20.104,HSTS,8,False,,,,,,,
00-ebayassets.glg.okta.combeta.web.takeawayriders.com,404 Not Found,404,548,00-ebayassets.glg.okta.combeta.web.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:44:04Z,2024-04-10T04:44:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f3f379f3c31e4ae83eab908593b6dc9b,22c03004f3482be8fa9e82673cbb50d15e0a8b6fef4c52c46d01405746849052,ctls,00-ebayassets.glg.okta.combeta.web.takeawayriders.com,443,https://00-ebayassets.glg.okta.combeta.web.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
00-ebayassets.glg.okta.corp.demoemployee-specialsurvey.takeawayriders.com,404 Not Found,404,548,00-ebayassets.glg.okta.corp.demoemployee-specialsurvey.takeawayriders.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-11T04:44:04Z,2024-04-10T04:44:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f3f379f3c31e4ae83eab908593b6dc9b,22c03004f3482be8fa9e82673cbb50d15e0a8b6fef4c52c46d01405746849052,ctls,00-ebayassets.glg.okta.corp.demoemployee-specialsurvey.takeawayriders.com,443,https://00-ebayassets.glg.okta.corp.demoemployee-specialsurvey.takeawayriders.com:443,https,text/html,GET,49.12.20.104,/,566218143,49.12.20.104,HSTS,14,False,,,,,,,
