new,host,a,soa,status_code,mx,txt,cname,aaaa,ns,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],111megawatt.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],2a57j77xc06rtg53xrp4x4e4mmm6kew.qma.redbullmediahouse.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],360content.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],518.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],_spf.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,"v=spf1 ip4:194.107.82.180 ip4:194.107.83.244 ip4:194.107.83.245 ip4:194.107.83.252 ip4:194.107.83.253 ip4:213.227.179.12 ip4:144.208.212.212 ip4:144.208.213.4 ip4:144.208.214.6 ip4:144.208.212.213 ip4:144.208.214.5 ip4:213.227.179.13 ip4:144.208.213.5 ip4, :144.208.213.6 ip4:213.227.179.14 ip4:144.208.212.214 ip4:144.208.214.4 ip4:194.107.83.58 ip4:194.107.83.59 -all",,,,,,,,
[x],aarbeurcee.redbull.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],aarbeurcee01.redbull.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],abs.redbull.com,194.107.83.43,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],academy.redbull.com,64.29.31.40,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],accelerator.redbull.com,80.120.169.238,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,origin.microsites-ng.redbull.com,,,,,,,
[x],accessibility.redbull.com,"54.77.188.253, 52.215.128.215, 34.248.32.46","ns-2024.awsdns-61.co.uk, domains.redbull.com",NOERROR,,"heritage=external-dns,external-dns/owner=prod.awseuw1,external-dns/resource=ingress/accessibility/accessibility",accessibility-accessibility.liiift.io,,"ns-1256.awsdns-29.org, ns-2024.awsdns-61.co.uk, ns-462.awsdns-57.com, ns-859.awsdns-43.net",,,,,
[x],account-q.redbullmediahouse.com,"18.244.155.29, 18.244.155.41, 18.244.155.75, 18.244.155.124","ns-1775.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"900637805536.gigya-api.com, d1na2fvbp5jovd.cloudfront.net",,"ns-1362.awsdns-42.org, ns-1775.awsdns-29.co.uk, ns-449.awsdns-56.com, ns-554.awsdns-05.net",True,cloudfront,,,
[x],account.redbullmediahouse.com,"143.204.215.102, 143.204.215.27, 143.204.215.67, 143.204.215.32","ns-1858.awsdns-40.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"818618769336.gigya-api.com, d3tg7cdoub5huh.cloudfront.net",,"ns-40.awsdns-05.com, ns-946.awsdns-54.net, ns-1425.awsdns-50.org, ns-1858.awsdns-40.co.uk",True,cloudfront,,,
[x],ad.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all, MS=ms38806944",,,,,,,,
[x],admin.dev-wednesday.redbullmediahouse.com,80.158.43.203,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],admin.fr.redbullmusicacademy.com,"23.213.161.143, 23.213.161.133","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl03.microsites.redbull.edgesuite.net, a1790.dscr.akamai.net","2a02:26f0:480:9::210:ee17, 2a02:26f0:480:9::210:ee1b",,,,,,
[x],adv-publishing.redbullmediahouse.com,78.142.149.20,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ae-vpn01.redbull.com,94.56.27.141,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ae.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all,,,,,,,,
[x],aedxbdfvr01rb.redbull.com,94.56.27.142,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],afterparty.redbull.com,"104.97.85.54, 104.97.85.37","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"microsites.redbull.edgesuite.net, a445.r.akamai.net",,,,,,,
[x],agf.redtech.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],agreements.redbull.com,194.107.83.15,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],agtt.redtech.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ahl.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],alasparatuoficina.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],alerts.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],am.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all, R0E0D20170",,,,,,,,
[x],amaphiko.redbull.com,"184.25.51.73, 184.25.51.10","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl01.microsites.redbull.edgesuite.net, a1819.dscr.akamai.net","2a02:26f0:fe00::5c7a:652a, 2a02:26f0:fe00::5c7a:6512",,,,,,
[x],amp.redbull.com,23.56.9.105,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.microsites.redbull.edgekey.net, e10816.a.akamaiedge.net",,,,,,,
[x],amplify.redbull.com,104.102.15.117,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.redbull.com.edgekey.net, e7628.x.akamaiedge.net",,,,,,,
[x],analytics.redtech.redbull.com,52.29.250.173,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ao.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"R0E0D20170, v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all",,,,,,,,
[x],ap.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com -all,,,,,,,,
[x],api-design.redbullmediahouse.com,"13.32.121.31, 13.32.121.52, 13.32.121.17, 13.32.121.27","ns-567.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,,,d2uq2v721cbh4b.cloudfront.net,"2600:9000:236e:4a00:9:2bce:dac0:93a1, 2600:9000:2240:ae00:9:2bce:dac0:93a1, 2600:9000:2240:d600:9:2bce:dac0:93a1, 2600:9000:236e:ce00:9:2bce:dac0:93a1, 2600:9000:236e:4600:9:2bce:dac0:93a1, 2600:9000:236e:8e00:9:2bce:dac0:93a1, 2600:9000:2240:9c00:9:2bce:dac0:93a1, 2600:9000:2240:fe00:9:2bce:dac0:93a1","ns-1209.awsdns-23.org, ns-1964.awsdns-53.co.uk, ns-233.awsdns-29.com, ns-567.awsdns-06.net",True,cloudfront,,,
[x],api-q.redbull.com,35.163.208.162,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1626.awsdns-11.co.uk, ns-753.awsdns-30.net, ns-77.awsdns-09.com, ns-1351.awsdns-40.org",,,,,
[x],api-staging.redbull.com,104.75.89.105,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.microsites.redbull.edgekey.net, e10816.a.akamaiedge.net",,,,,,,
[x],api.redbull.com,104.91.49.93,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"wildcard.microsites.redbull.edgekey.net, e10816.a.akamaiedge.net",,,,,,,
[x],api.redbullmediahouse.com,"13.32.27.17, 13.32.27.45, 13.32.27.26, 13.32.27.96","ns-1246.awsdns-27.org, awsdns-hostmaster.amazon.com",NOERROR,,,d2ittv0nsh4hvj.cloudfront.net,"2600:9000:211e:1800:7:8391:1fc0:93a1, 2600:9000:211e:3e00:7:8391:1fc0:93a1, 2600:9000:211e:4c00:7:8391:1fc0:93a1, 2600:9000:211e:d200:7:8391:1fc0:93a1, 2600:9000:211e:c00:7:8391:1fc0:93a1, 2600:9000:211e:2200:7:8391:1fc0:93a1, 2600:9000:211e:d000:7:8391:1fc0:93a1, 2600:9000:211e:ea00:7:8391:1fc0:93a1","ns-123.awsdns-15.com, ns-1246.awsdns-27.org, ns-1806.awsdns-33.co.uk, ns-990.awsdns-59.net",True,cloudfront,,,
[x],apis-q.canvases.redbull.com,"54.93.158.196, 3.68.47.103","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],apis.canvases.redbull.com,"18.197.138.132, 3.125.169.3","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],app.canvases.redbull.com,"18.172.153.47, 18.172.153.65, 18.172.153.78, 18.172.153.18","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,cloudfront,,,
[x],app.redbull.com,213.227.189.20,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:_spf.transactional.redbull.com -all,,,,,,,,
[x],apple-q.redbull.com,"3.64.110.146, 3.70.86.36","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"rbjss.jamfcloud.com, euc1-rbjss-alb-656184163.eu-central-1.elb.amazonaws.com",,,,,,,
[x],apple.redbull.com,"3.65.164.42, 3.66.148.96","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"rbjssp.jamfcloud.com, euc1-rbjssp-alb-670830023.eu-central-1.elb.amazonaws.com",,,,,,,
[x],applications-support-q.redbull.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-29.int.zendesk.com,"pod=29, v=spf1 include:mail.zendesk.com ~all",applications-support-q.zendesk.com,,,True,cloudflare,,,
[x],applications-support.redbull.com,,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-29.int.zendesk.com,,applications-support.zendesk.com,,,True,cloudflare,,,
[x],apps.baopenshift-d-euw.infra.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],apps.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,"v=spf1 include:amazonses.com -all, v=spf1 -all",,,,,,,,
[x],appspaces.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ar.canvases.redbull.com,"18.66.147.127, 18.66.147.73, 18.66.147.49, 18.66.147.39","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,cloudfront,,,
[x],arcgis.redbull.com,198.22.138.70,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],arcgislic.redbull.com,10.234.21.84,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,True,10.234.21.84,
[x],archive.redbullmusicacademy.com,"2.19.198.129, 2.19.198.139","n0dscr.akamai.net, hostmaster.akamai.com",NOERROR,,,"ssl03.microsites.redbull.edgesuite.net, a1790.dscr.akamai.net","2a02:26f0:64::210:6aa0, 2a02:26f0:64::210:6adb",,,,,,
[x],artifactory.redbullmediahouse.com,"52.29.172.247, 52.29.170.255, 3.69.37.167, 52.57.177.201, 3.121.142.12, 52.28.80.153, 3.64.245.7, 18.156.59.78","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"repo-artifactory-rbmh-com.jfrog.com, artifactory-redbullmediahouse-com.customers.jfrog.net, endpointdns-prod-euc1-lb.jfrog.io, a06c5895556ef4159b7a69244f9d1904-563686639.eu-central-1.elb.amazonaws.com",,,,,,,
[x],as2-prod.redbull.com,194.107.83.33,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],asm.redbull.com,"173.222.107.21, 173.222.107.14","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,"microsites.redbull.edgesuite.net, a445.r.akamai.net",,,,,,,
[x],assets.canvases.redbull.com,"52.85.92.95, 52.85.92.124, 52.85.92.101, 52.85.92.12","ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,cloudfront,,,
[x],assets.ninja.redbull.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d6co5aay1elhl.cloudfront.net,,,,,,,
[x],assets.prod.ninja.redbull.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d3w1c9jarv4idc.cloudfront.net,,,,,,,
[x],at-test02.redbull.com,91.204.192.25,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],at-vpn-sap.redbull.com,195.177.199.227,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],at-vpn01.redbull.com,91.204.192.11,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],at.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com ip4:194.107.82.180 -all, 3d049f7358ad7d2c429eb773aa758bd4bd02153419ead35271114a6dcb5be6ea, docusign=fbab18fd-241e-4dec-8de8-65327bab43e9, oaup0WJGNstDXoXvtOYn0+tVC3+II+WQakGtdelQvL7lYbiMXRDcjAEj1LzatISY6Hx2pTPIcwfHrqApOvK+Tg==",,,,,,,,
[x],at.redbullmediahouse.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"QuoVadis=6d997eca-a748-4c56-9da4-6f5ede7a56cd, 364c015bf9db27bc483c219c9aacb4abbceab4a88c29f7e16ea9a3d2de10bc03, docusign=cd8bb8c8-52d0-450a-8f4c-a6f50800fedf, v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:_spf.transactional.redbull.com include:mail.zendesk.com ip4:195.177.199.46 ip4:195.177.199.47 -all",,,,,,,,
[x],atelb5qvr01rb.redbull.com,91.204.194.136,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],athleteapp-api-d.redbull.com,"108.138.17.36, 108.138.17.60, 108.138.17.68, 108.138.17.23","ns-1810.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,dgf4bf3e0uubz.cloudfront.net,,"ns-185.awsdns-23.com, ns-978.awsdns-58.net, ns-1200.awsdns-22.org, ns-1810.awsdns-34.co.uk",True,cloudfront,,,
[x],athleteapp-api-q.redbull.com,"108.138.217.129, 108.138.217.106, 108.138.217.110, 108.138.217.105","ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,d1aagknmk6lxd9.cloudfront.net,,"ns-1679.awsdns-17.co.uk, ns-482.awsdns-60.com, ns-576.awsdns-08.net, ns-1176.awsdns-19.org",True,cloudfront,,,
[x],athleteapp-api.redbull.com,"99.86.114.31, 99.86.114.36, 99.86.114.46, 99.86.114.97","ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,dekhkw4uiv1jw.cloudfront.net,,"ns-529.awsdns-02.net, ns-1433.awsdns-51.org, ns-1955.awsdns-52.co.uk, ns-38.awsdns-04.com",True,cloudfront,,,
[x],athleteapp-mgmt-q.redbull.com,"65.9.86.60, 65.9.86.86, 65.9.86.97, 65.9.86.52","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,d3ru7134dhkblt.cloudfront.net,,"ns-1293.awsdns-33.org, ns-1834.awsdns-37.co.uk, ns-25.awsdns-03.com, ns-561.awsdns-06.net",True,cloudfront,,,
[x],athleteapp-share-d.redbull.com,"13.32.145.76, 13.32.145.23, 13.32.145.97, 13.32.145.11","ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,d2yt7obcx5mj15.cloudfront.net,,"ns-696.awsdns-23.net, ns-1924.awsdns-48.co.uk, ns-35.awsdns-04.com, ns-1238.awsdns-26.org",True,cloudfront,,,
[x],athleteapp-share.redbull.com,"18.154.63.111, 18.154.63.69, 18.154.63.17, 18.154.63.95","ns-770.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,,dn9qw9rnh1aku.cloudfront.net,,"ns-770.awsdns-32.net, ns-1399.awsdns-46.org, ns-1880.awsdns-43.co.uk, ns-264.awsdns-33.com",True,cloudfront,,,
[x],athletesapp.redbull.com,204.74.99.100,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],atlas.redbull.com,"143.204.231.63, 143.204.231.71, 143.204.231.57, 143.204.231.79","ns-1806.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,d2qd0eb0z79myq.cloudfront.net,"2600:9000:2113:8a00:10:925b:e080:93a1, 2600:9000:2113:9800:10:925b:e080:93a1, 2600:9000:2113:7800:10:925b:e080:93a1, 2600:9000:2113:e600:10:925b:e080:93a1, 2600:9000:2113:8c00:10:925b:e080:93a1, 2600:9000:2113:8200:10:925b:e080:93a1, 2600:9000:2113:2a00:10:925b:e080:93a1, 2600:9000:2113:7400:10:925b:e080:93a1","ns-1456.awsdns-54.org, ns-1806.awsdns-33.co.uk, ns-281.awsdns-35.com, ns-622.awsdns-13.net",True,cloudfront,,,
[x],atrun.redbull.com,146.75.122.51,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,"view.ceros.com, pin.ceros.map.fastly.net",,,True,fastly,,,
[x],atspbrsvr01rb.redbull.com,80.123.233.149,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],atszgmhvr01rb.redbull.com,91.204.194.103,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],atviewgvr01rb.redbull.com,212.183.58.203,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],au-vpn01.redbull.com,124.19.7.154,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],au.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,redbull-com.mail.protection.outlook.com,"v=spf1 include:spf.protection.outlook.com include:_spf.redbull.com include:mail.zendesk.com -all, 2323e05ac702dc450c106fd12ea664699f6d9ab2b8ac0c8dd8705738139aadb, MS=ms50343176",,,,,,,,
[x],audio.redbullmediahouse.com,91.204.193.229,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],audits.redbull.com,194.107.83.44,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],ausyddsvr01rb.redbull.com,,"pdns91.ultradns.com, domains.redbull.com",NOERROR,,,,,,,,,,
[x],auth-preview.redbull.com,,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,"redbull-mediahouse.customdomains.oktapreview.com, op2-custom-crtrs.oktapreview.com, op2-custom-crtrs.oktaedge.oktapreview.com, a00816715afbb06dc.awsglobalaccelerator.com",,,,,,,
[x],auth-preview.redbullmediahouse.com,,,NOERROR,,,,,,,,,,
[x],auth.redbull.com,"3.33.238.178, 15.197.195.200","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,"redbull-mediahouse.customdomains.okta.com, ok9-custom-crtrs.okta.com, ok9-custom-crtrs.oktaedge.okta.com, ac4b547508e00da8e.awsglobalaccelerator.com",,,,,,,
