new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa,mx,ns,txt
,api.hummingbird.co,"172.67.37.28, 104.22.1.55, 104.22.0.55","2606:4700:10::6816:137, 2606:4700:10::ac43:251c, 2606:4700:10::6816:37","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,api.sandbox.hummingbird.co,"104.22.1.55, 104.22.0.55, 172.67.37.28","2606:4700:10::6816:137, 2606:4700:10::6816:37, 2606:4700:10::ac43:251c","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,api.staging.hummingbird.co,"172.67.37.28, 104.22.1.55, 104.22.0.55","2606:4700:10::6816:137, 2606:4700:10::6816:37, 2606:4700:10::ac43:251c","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
,archive.docs.hummingbird.co,"35.156.224.161, 35.198.80.163","2a05:d014:275:cb01::c8, 2a05:d014:275:cb00::c8","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,hummingbird-docs.netlify.com,,,,
,beta.docs.hummingbird.co,"104.18.2.117, 104.18.3.117","2606:4700::6812:375, 2606:4700::6812:275","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,hosting.gitbook.io,"letsencrypt.org, digicert.com, pki.goog",,,
,docs.hummingbird.co,"104.18.211.56, 104.18.210.56","2606:4700::6812:d238, 2606:4700::6812:d338","jeremy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,ssl.readmessl.com,"letsencrypt.org, comodoca.com, digicert.com, pki.goog; cansignhttpexchanges=yes",,,
,email.recruiting.hummingbird.co,"34.102.239.211, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78",,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,";, digicert.com, letsencrypt.org","mxa.mailgun.org, mxb.mailgun.org","ns-1482.awsdns-57.org, ns-586.awsdns-09.net, ns-133.awsdns-16.com, ns-1614.awsdns-09.co.uk","google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds"
,growth.hummingbird.co,"54.166.96.114, 54.221.50.8, 54.243.161.55",,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-tracking.salesloft.com,"comodoca.com, digicert.com, letsencrypt.org, pki.goog",,,
,help.hummingbird.co,"104.18.3.117, 104.18.2.117","2606:4700::6812:275, 2606:4700::6812:375","dahlia.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,hosting.gitbook.io,"digicert.com, letsencrypt.org, pki.goog",,,
,hummingbird.co,"199.60.103.150, 199.60.103.50",,"gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"sectigo.com, mailto:infosec@hummingbird.co, amazon.com, digicert.com, letsencrypt.org, pki.goog","alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com","gail.ns.cloudflare.com, konnor.ns.cloudflare.com","v=spf1 include:_spf.google.com include:servers.mcsv.net include:amazonses.com include:_spf.salesforce.com ~all, 33774B3F57, google-site-verification=pi6CSWopnmGpxYEPjqK0MpuaSHdYetYlyyg4u1bl8RM, notion-domain-verification=171bQNXM4ep9j3aEXyyyMMwb93Fec1sVhAGnzx5G7JT, proxy-ssl.webflow.com"
