input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,lines,tech_,cdn,tls_expired,tls_self_signed
123.lenovo.com,,,41,123.lenovo.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,ctls,123.lenovo.com,443,https://123.lenovo.com:443,https,,text/html,GET,47.95.207.235,2,,,,
123.lenovo.com.cn,,,41,123.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,ctls,123.lenovo.com.cn,443,https://123.lenovo.com.cn:443,https,,text/html,GET,47.95.207.235,2,,,,
17shop.lenovo.com.cn,502 Bad Gateway,,172,,,,,,,,,,,,,,80,http://17shop.lenovo.com.cn:80,http,nginx/1.6.2,text/html,GET,43.255.226.75,8,Nginx:1.6.2,,,
17tv.mbgcdn.lenovo.com.cn,403 Forbidden,,548,17tv.mbgcdn.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,CN=*.17tv.com,*.17tv.com,,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,17tv.mbgcdn.lenovo.com.cn,443,https://17tv.mbgcdn.lenovo.com.cn:443,https,nginx,text/html,GET,103.212.12.6,14,Nginx,,,
365.lenovo.com.cn,403 Forbidden,,174,365.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-25T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,365.lenovo.com.cn,443,https://365.lenovo.com.cn:443,https,openresty/1.9.3.1,text/html,GET,43.255.226.109,8,OpenResty:1.9.3.1,,,
3g.lenovo.com.cn,联想商城,,69304,m.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,m.lenovo.com.cn,443,https://3g.lenovo.com.cn:443,https,waf/4.34.2-0.el7,text/html,GET,163.171.132.220,1354,,,,
3g.mbgstore.lenovo.com.cn,联想应用商店,,22470,3g.mbgstore.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,"CN=*.lenovomm.com, O=北京神奇工场科技有限公司, ST=北京市, C=CN",*.lenovomm.com,北京神奇工场科技有限公司,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,ctls,3g.mbgstore.lenovo.com.cn,443,https://3g.mbgstore.lenovo.com.cn:443,https,Tengine,text/html,GET,8.131.56.69,605,Tengine,,,
58867000.lenovo.com.cn,,,251,58867000.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,58867000.lenovo.com.cn,443,https://58867000.lenovo.com.cn:443,https,nginx/1.22.0,text/html,GET,43.255.227.105,16,Nginx:1.22.0,,,
a.lenovo.com,联想商城,,69304,m.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,m.lenovo.com.cn,443,https://a.lenovo.com:443,https,waf/4.34.2-0.el7,text/html,GET,139.219.6.18,1354,,,,
a.lenovo.com.cn,,,4,a.lenovo.com.cn,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-03T00:00:00Z,"CN=*.lenovo.com.cn, O=Lenovo (Beijing) Limited, ST=Beijing, C=CN",*.lenovo.com.cn,Lenovo (Beijing) Limited,"CN=Secure Site Pro CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site Pro CA G2,DigiCert Inc,ctls,a.lenovo.com.cn,443,https://a.lenovo.com.cn:443,https,istio-envoy,text/plain,GET,43.255.226.145,1,Kong:2.0.4,,,
