new,host,a,cname,soa,status_code,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,caa
[x],019-isales.merck.com,155.91.34.219,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],020-isales.merck.com,155.91.34.220,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],022-isales.merck.com,155.91.34.223,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],024-isales.merck.com,155.91.34.232,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],025-isales.merck.com,155.91.34.227,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],026-isales.merck.com,155.91.34.228,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],071-isales.merck.com,155.91.34.226,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],65.emeac.email.msd.com,80.250.97.65,,"ns1.anlx.net, hostmaster.anlx.net",NOERROR,,,,,,,,,
[x],aas.merck.com,54.101.183.161,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aasdev.merck.com,54.101.183.167,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aastst.merck.com,54.101.183.164,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],abacus.merck.com,,,,NOERROR,,,,,,,,,
[x],accesscenter-it.merck.com,155.91.60.34,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],accesscenter.merck.com,155.91.34.218,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],account-ut.merck.com,"18.164.96.82, 18.164.96.46, 18.164.96.121, 18.164.96.76",d104yt9exn8aut.cloudfront.net,"ns-1697.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-755.awsdns-30.net, ns-50.awsdns-06.com, ns-1697.awsdns-20.co.uk, ns-1447.awsdns-52.org",True,cloudfront,,,,,,
[x],account.msd.com,"108.157.229.57, 108.157.229.30, 108.157.229.8, 108.157.229.80",d1r2eomk5u0ohb.cloudfront.net,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1411.awsdns-48.org, ns-1589.awsdns-06.co.uk, ns-351.awsdns-43.com, ns-890.awsdns-47.net",True,cloudfront,,,,,,
[x],adfs.ghhvpc.merck.com,"52.85.151.2, 52.85.151.7, 52.85.151.97, 52.85.151.100, 205.251.193.231, 205.251.195.77, 205.251.197.5, 205.251.198.18",d3fn18py3ecu6d.cloudfront.net,"ns-487.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1554.awsdns-02.co.uk, ns-845.awsdns-41.net, ns-487.awsdns-60.com, ns-1285.awsdns-32.org",True,cloudfront,,,,,,
[x],admin.email.msd.com,81.91.104.52,,"ns1.anlx.net, hostmaster.anlx.net",NOERROR,,,,,,,,,
[x],adp-aus.msd.com,"99.83.236.178, 75.2.16.51",*.apps.americas.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],adp-brazil.msd.com,"75.2.16.51, 99.83.236.178",,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],adp-ut.merck.com,155.91.31.25,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],adp.merck.com,155.91.7.25,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],advances-in-psa-webcast-noon.msd.com,78.136.60.134,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aim.msd.com,"13.248.206.15, 76.223.76.171",*.apps.asia.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],alerting-ut.merck.com,155.91.31.27,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,"dbru.br.ns.els-gms.att.net, cbru.br.ns.els-gms.att.net, dmtu.mt.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net, ns6.customer.level3.net, ns9.customer.level3.net",,,,,,,,
[x],allergic-rhinitis-webcast.msd.com,78.136.60.134,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],alsc.merck.com,129.147.73.217,iad-ad2-mckc-mckcidmpr1-pvtlbaas001.opc.oracleoutsourcing.com,"ns1.p04.dynect.net, hostmaster.oracle.com",NOERROR,,,,,,,,,
[x],amplify.msd.com,161.129.72.21,merck.voicestorm.com,"ns-1637.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,v=spf1 ip4:208.117.58.65 ip4:198.21.0.79 ip4:149.72.232.189 ~all,,,,,
[x],anes-symposium-profoundendometriosis.msd.com,78.136.60.134,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],anes-symposium3.2013.msd.com,78.136.60.134,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],anz-isales.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ap-trk.email.msd.com,81.91.104.166,,"ns1.anlx.net, hostmaster.anlx.net",NOERROR,"ns1.anlx.net, ns2.anlx.net, ns3.anlx.net, ns4.anlx.net, ns5.anlx.net",,,,,,,,
[x],ap-uat.email.msd.com,,,"ns1.anlx.net, hostmaster.anlx.net",NOERROR,"ns1.anlx.net, ns2.anlx.net, ns3.anlx.net, ns4.anlx.net, ns5.anlx.net",,,,,,,,
[x],apac.email.msd.com,80.250.97.33,,"ns1.anlx.net, hostmaster.anlx.net",NOERROR,,,,,,,,,
[x],api-pre-prod.merck.com,"35.71.154.34, 52.223.61.181",ad60a7793db7c7b49.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-qa.merck.com,"99.83.213.53, 75.2.22.170",a5e386e0631872555.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-staging.merck.com,"75.2.22.170, 99.83.213.53",a5e386e0631872555.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api-test.merck.com,"75.2.22.170, 99.83.213.53",a5e386e0631872555.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.merck.com,"52.223.61.181, 35.71.154.34",ad60a7793db7c7b49.awsglobalaccelerator.com,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],api.ukchatbottest.msd.com,54.40.206.11,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],app.qetsthub-dev.merck.com,"108.157.4.88, 108.157.4.72, 108.157.4.105, 108.157.4.95",d1c35982ltqoki.cloudfront.net,"ns-50.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1137.awsdns-14.org, ns-1653.awsdns-14.co.uk, ns-50.awsdns-06.com, ns-1021.awsdns-63.net",True,cloudfront,,,,,,
[x],app.qetsthub-perf.merck.com,"99.86.4.40, 99.86.4.121, 99.86.4.24, 99.86.4.116",d2y8645xi65y7l.cloudfront.net,"ns-81.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1237.awsdns-26.org, ns-1550.awsdns-01.co.uk, ns-787.awsdns-34.net, ns-81.awsdns-10.com",True,cloudfront,,,,,,
[x],app.qetsthub-uat.merck.com,"99.86.4.15, 99.86.4.14, 99.86.4.10, 99.86.4.100",dity7dozqn1ew.cloudfront.net,"ns-1746.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1374.awsdns-43.org, ns-639.awsdns-15.net, ns-1746.awsdns-26.co.uk, ns-288.awsdns-36.com",True,cloudfront,,,,,,
[x],app.qetsthub.merck.com,"108.138.7.115, 108.138.7.37, 108.138.7.40, 108.138.7.111",d2bfxow8c7cf8k.cloudfront.net,"ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-696.awsdns-23.net, ns-1499.awsdns-59.org, ns-67.awsdns-08.com, ns-1707.awsdns-21.co.uk",True,cloudfront,,,,,,
[x],appmaturitytracker-tst.merck.com,"18.244.146.115, 18.244.146.5, 18.244.146.22, 18.244.146.127, 205.251.192.70",d1lz5i423k6c29.cloudfront.net,"ns-70.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1150.awsdns-15.org, ns-996.awsdns-60.net, ns-70.awsdns-08.com, ns-1661.awsdns-15.co.uk",True,cloudfront,,,,,,
[x],aragorn.merck.com,155.91.34.50,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aravo.msd.com,"75.2.16.51, 99.83.236.178",*.apps.americas.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],argusmart.merck.com,129.147.73.199,lbaas-shared-prodpvt-02.opc.oracleoutsourcing.com,"ns1.p04.dynect.net, hostmaster.oracle.com",NOERROR,,,,,,,,,
[x],as.merck.com,155.91.27.91,webim.merck.com,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aspera-ut.merck.com,155.91.38.41,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],aspera.merck.com,155.91.38.94,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],asperaprod.merck.com,155.91.38.42,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],assapprd.merck.com,155.91.59.131,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],assaptst.merck.com,155.91.27.73,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ausydf-vpn.merck.com,155.91.139.220,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],autodiscover.merck.com,54.62.192.7,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],autodiscover.msd.com,54.62.192.7,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,"ns6.customer.level3.net, ns9.customer.level3.net, cbru.br.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net",,,,,,,,
[x],avedge.merck.com,155.91.38.31,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],awsuipbotprd01.merck.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],axonify.msd.com,"99.83.236.178, 75.2.16.51",,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],azurefed-ut.merck.com,155.91.60.29,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-d0.merck.com,155.91.60.56,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-d1.merck.com,155.91.60.53,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-pp.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-q0.merck.com,155.91.60.57,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-q2.merck.com,155.91.60.55,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-s1.merck.com,155.91.60.58,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-sap-sl-ktc.merck.com,155.91.31.85,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-v1.merck.com,155.91.60.60,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b-w1.merck.com,155.91.60.59,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2b.merck.com,155.91.26.161,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2ba-dr.merck.com,155.91.31.165,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2ba-sap-ktc.merck.com,155.91.37.8,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2ba-sap.merck.com,155.91.26.195,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2ba.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2baa-cmpfit.merck.com,155.91.26.81,b2baa-cmpfit.merck.com.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],b2baa-cmsit.merck.com,155.91.26.81,b2baa-cmsit.merck.com.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],b2baa-cmslte.merck.com,155.91.31.81,b2baa-cmslte.merck.com.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],b2baa-cmtprd.merck.com,155.91.26.196,b2baa-cmtprd.merck.com.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],b2baa-cmtut.merck.com,155.91.26.81,b2baa-cmtut.merck.com.akadns.net,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],b2baa-ct.merck.com,155.91.26.196,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2baa-ctsl.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2baa-kt.merck.com,155.91.31.166,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2baa-ktsl.merck.com,155.91.31.81,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2baa-npdev.merck.com,"18.173.233.16, 18.173.233.49, 18.173.233.37, 18.173.233.123",d1n1mw81xiam3k.cloudfront.net,"ns-578.awsdns-08.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-578.awsdns-08.net, ns-93.awsdns-11.com, ns-1380.awsdns-44.org, ns-2006.awsdns-58.co.uk",True,cloudfront,,,,,,
[x],b2bweb.merck.com,155.91.26.164,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2bweba.merck.com,155.91.26.167,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],b2pwebapp-uat.msd.com,"10.87.72.149, 10.87.72.169",internal-mrltm-b2p-uat-alb-1100621116.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.87.72.149, 10.87.72.169",,,
[x],b2pwebapp.msd.com,"10.79.20.120, 10.79.20.201",internal-mrltm-b2p-production-alb-775412754.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,"10.79.20.120, 10.79.20.201",,,
[x],backoffice.commerce-hh-d3.merck.com,40.71.88.131,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],backup-portal-dev.merck.com,,,,NOERROR,,,,,,,,,
[x],barvie.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,v=spf1 a -all,,,,,
[x],bb1uccls.merck.com,,,,NOERROR,,,,,,,,,
[x],bb1ucmcls.merck.com,,,,NOERROR,,,,,,,,,
[x],be-isales.merck.com,155.91.34.109,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],beantt1-expwye.merck.com,155.91.78.9,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],bebrapt10034.merck.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],bebrapt650013.merck.com,,,,NOERROR,,,,,,,,,
[x],bg-isales.merck.com,155.91.34.215,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],bill.merck.com,155.91.6.90,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],boromir.merck.com,155.91.34.53,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],bounces.merck.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net",,,"202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",,,smtp.sparkpostmail.com,,
[x],brcmpf-sfn-bas-59.merck.com,,,,NOERROR,,,,,,,,,
[x],bugs.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,"ns9.customer.level3.net, dbru.br.ns.els-gms.att.net, cbru.br.ns.els-gms.att.net, dmtu.mt.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net, ns6.customer.level3.net",,,v=spf1 a -all,,,,,
[x],builds.merck.com,,,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,v=spf1 -all,,,,,
[x],canada.commerce-hh-d1.merck.com,,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],canada.commerce-hh-d3.merck.com,40.71.88.131,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],canada.commerce-hh-s1.merck.com,23.96.41.198,,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,True,azure,,,,,,
[x],catalysissymposium.merck.com,"75.2.16.51, 99.83.236.178",,"dbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],cce.merck.com,"13.248.206.15, 76.223.76.171",redirect-prod-asia.apps.asia.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ccp-dev.msd.com,"76.223.68.176, 13.248.198.0",*.apps.europe.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ccp-qa.msd.com,"13.248.198.0, 76.223.68.176",*.apps.europe.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ccp-sbx.msd.com,"13.248.198.0, 76.223.68.176",*.apps.europe.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
[x],ccp.msd.com,"13.248.198.0, 76.223.68.176",*.apps.europe.cf.webappsp.com,"cbru.br.ns.els-gms.att.net, rm-hostmaster.ems.att.com",NOERROR,,,,,,,,,
