new,host,a,soa,status_code,ns,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
,account.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,api-staging.flickr.com,"10.78.13.90, 10.78.17.107, 10.78.41.68","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,staging.flickr.com,,,True,"10.78.13.90, 10.78.17.107, 10.78.41.68",,,
,api.flickr.com,54.192.86.140,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,"2600:9000:2204:b400:1b:3d3c:224a:1261, 2600:9000:2204:3200:1b:3d3c:224a:1261, 2600:9000:2204:1000:1b:3d3c:224a:1261, 2600:9000:2204:2600:1b:3d3c:224a:1261, 2600:9000:2204:9c00:1b:3d3c:224a:1261, 2600:9000:2204:ac00:1b:3d3c:224a:1261, 2600:9000:2204:4c00:1b:3d3c:224a:1261, 2600:9000:2204:f000:1b:3d3c:224a:1261",,True,cloudfront,,,,,
,apiv2.flickr.com,54.192.86.140,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,appletv-production.flickr.com,"18.206.80.193, 54.156.156.230, 34.238.223.180","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,appletv-real.flickr.com,"54.156.156.230, 18.206.80.193, 34.238.223.180","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,appletv.flickr.com,"54.156.156.230, 34.238.223.180, 18.206.80.193","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ats-rw.www.flickr.com,54.144.128.85,,NOERROR,,,,,,,,,,
,auto-up.flickr.com,54.144.128.85,,NOERROR,,,,,,,,,,
,bounce.flickr.com,,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org, ns-1855.awsdns-39.co.uk",,sparkpostmail.com,,,,,smtp.sparkpostmail.com,"202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all",
,bup-resume.flickr.com,"3.233.249.62, 52.44.231.182, 3.209.61.136, 54.224.156.243","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,bup.flickr.com,"52.44.231.182, 54.224.156.243, 3.233.249.62, 3.209.61.136","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,code.flickr.com,192.0.66.95,"ns1.go-vip.net, hostmaster.go-vip.net",NOERROR,,2a04:fa87:fffd::c000:425f,flickr-blog.go-vip.net,,,,,,,
,dagobah.flickr.com,"34.224.107.183, 18.215.17.20, 44.213.178.53, 44.194.133.23","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,downloadr.flickr.com,143.204.209.183,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,downloads.flickr.com,"13.224.245.36, 13.224.245.59, 13.224.245.41, 13.224.245.110","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,embedr-production.flickr.com,"34.230.162.212, 54.208.78.231, 52.71.27.124","ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,farm2.static.flickr.com,108.138.45.84,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm3.static.flickr.com,18.66.105.80,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm4.static.flickr.com,18.160.38.87,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm5.static.flickr.com,13.227.198.97,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm6.static.flickr.com,18.66.105.80,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm66.static.flickr.com,,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm7.hv-static.flickr.com,,,NOERROR,,,,,,,,,,
,farm7.static.flickr.com,65.9.56.79,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
,farm8.static.flickr.com,143.204.230.93,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1244.awsdns-27.org, ns-1683.awsdns-18.co.uk, ns-421.awsdns-52.com, ns-573.awsdns-07.net",,,True,cloudfront,,,,,
,fl1-sitecode-int.flickr.com,10.78.128.41,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.78.128.41,,,
,fl1-sitecode.flickr.com,10.78.128.41,"ns-573.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.78.128.41,,,
