new,host,a,cname,soa,ns,status_code,cdn,cdn-name,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],alliance.mercadolibre.com,"13.227.153.88, 13.227.153.118, 13.227.153.25, 13.227.153.33",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],analytics.mercadolibre.com,"108.138.51.91, 108.138.51.115, 108.138.51.51, 108.138.51.69, 205.251.195.204, 205.251.196.150",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-355.awsdns-44.com, ns-1916.awsdns-47.co.uk, ns-1174.awsdns-18.org, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],aragorn.mercadolibre.com,216.58.215.243,ghs.google.com,"ns1.google.com, dns-admin.google.com",,NOERROR,,,,,,,,2a00:1450:4017:811::2013
[x],artifacts.mercadolibre.com,"3.218.64.58, 107.23.48.178",public.artifacts.furycloud.io,"ns-1318.awsdns-36.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],career.mercadolibre.com,"13.32.99.77, 13.32.99.89, 13.32.99.108, 13.32.99.54",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-183.awsdns-22.com, ns-755.awsdns-30.net, ns-1158.awsdns-16.org, ns-2019.awsdns-60.co.uk",NOERROR,True,cloudfront,,,,,,
[x],careers-meli.mercadolibre.com,"108.156.60.124, 108.156.60.12, 108.156.60.104, 108.156.60.44",dbjfce6tekir0.cloudfront.net,"ns-183.awsdns-22.com, awsdns-hostmaster.amazon.com","ns-183.awsdns-22.com, ns-2019.awsdns-60.co.uk, ns-755.awsdns-30.net, ns-1158.awsdns-16.org",NOERROR,True,cloudfront,,,,,,
[x],cbt.mercadolibre.com,"13.227.219.127, 13.227.219.8, 13.227.219.3, 13.227.219.78",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-355.awsdns-44.com, ns-972.awsdns-57.net, ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk",NOERROR,True,cloudfront,,,,,,
[x],chat.admin.mercadolibre.com,64.14.124.97,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],chattest.mercadolibre.com,"13.32.99.118, 13.32.99.99, 13.32.99.25, 13.32.99.31",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-355.awsdns-44.com, ns-1174.awsdns-18.org, ns-972.awsdns-57.net, ns-1916.awsdns-47.co.uk",NOERROR,True,cloudfront,,,,,,
[x],correo.mercadolibre.com,200.51.47.100,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
[x],csp.mercadolibre.com,"13.227.219.127, 13.227.219.3, 13.227.219.8, 13.227.219.78",d2g9ak52q0ogkf.cloudfront.net,"ns-355.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-1174.awsdns-18.org, ns-1916.awsdns-47.co.uk, ns-355.awsdns-44.com, ns-972.awsdns-57.net",NOERROR,True,cloudfront,,,,,,
[x],data.mercadolibre.com,"13.227.219.8, 13.227.219.78, 13.227.219.3, 13.227.219.127",,"ns-1667.awsdns-16.co.uk, awsdns-hostmaster.amazon.com","ns-481.awsdns-60.com, ns-806.awsdns-36.net, ns-1055.awsdns-03.org, ns-1667.awsdns-16.co.uk",NOERROR,True,cloudfront,inbound-smtp.us-east-1.amazonaws.com,,,,,
[x],dc4-iron08-c.mercadolibre.com,3.208.44.183,,"ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
